,activity,extra_tooltip,x,y
CHEMBL10309,inactive,,6.250547,-7.119111
CHEMBL103529,inactive,,-2.48454,-11.52317
CHEMBL104355,inactive,,-4.760792,-0.235543
CHEMBL104681,inactive,,1.587068,12.910209
CHEMBL105160,inactive,,-7.256005,-8.501796
CHEMBL106082,inactive,,-3.105741,7.055388
CHEMBL106344,inactive,,-0.931603,5.611508
CHEMBL106782,inactive,,-4.886444,-13.739085
CHEMBL106936,inactive,,-8.168136,-9.972835
CHEMBL107254,inactive,,-5.125502,-3.685735
CHEMBL107680,inactive,,2.634308,13.654486
CHEMBL107892,inactive,,-5.314781,-5.489969
CHEMBL1083925,active,,6.542871,13.315902
CHEMBL1084993,inactive,,1.853505,8.804294
CHEMBL1090096,inactive,,-3.787245,16.505863
CHEMBL1090097,inactive,,-0.961622,2.249738
CHEMBL109051,active,,0.118079,-14.796054
CHEMBL109068,inactive,,6.874389,20.764412
CHEMBL109120,inactive,,5.579549,21.257259
CHEMBL1092,active,,6.576551,4.20189
CHEMBL1093933,inactive,,-5.302455,10.371197
CHEMBL109593,inactive,,6.701612,21.132744
CHEMBL109597,inactive,,1.679429,15.073613
CHEMBL109647,inactive,,8.396067,21.16592
CHEMBL109727,inactive,,6.333349,20.907391
CHEMBL109815,active,,1.387084,14.482268
CHEMBL109866,inactive,,5.919218,19.172596
CHEMBL109985,inactive,,8.385593,21.117226
CHEMBL110744,active,,4.601749,-11.700103
CHEMBL110845,inactive,,5.338252,19.448904
CHEMBL111120,inactive,,0.723494,22.807135
CHEMBL111123,inactive,,6.052227,21.134699
CHEMBL111224,active,,3.819505,5.580811
CHEMBL111229,inactive,,0.129878,20.807344
CHEMBL111369,inactive,,-0.496081,22.104933
CHEMBL111679,inactive,,-0.949833,20.106064
CHEMBL113436,inactive,,5.737362,-10.957275
CHEMBL11527,active,,4.310793,-13.060155
CHEMBL115642,active,,-0.267342,-16.475157
CHEMBL115681,active,,2.439369,-14.346784
CHEMBL115807,active,,0.930394,-17.366705
CHEMBL1162116,active,,4.227829,18.867424
CHEMBL1162964,inactive,,0.878221,-11.724984
CHEMBL116404,active,,-3.57791,-18.134691
CHEMBL116777,active,,1.097353,-16.850769
CHEMBL116781,active,,1.48754,4.674994
CHEMBL11690,active,,2.064147,-10.70134
CHEMBL1169543,active,,8.337831,-6.919722
CHEMBL11710,inactive,,4.591102,-10.124995
CHEMBL1172,active,,-2.207124,21.59272
CHEMBL117351,active,,0.456854,-17.051664
CHEMBL117414,active,,-2.012939,-18.278641
CHEMBL11756,active,,3.191483,-7.500737
CHEMBL117797,active,,4.124033,-11.581383
CHEMBL117817,active,,4.852232,-12.8847
CHEMBL11794,active,,5.641871,-11.01741
CHEMBL1180343,inactive,,-8.831379,-3.112128
CHEMBL11816,active,,1.883785,-15.770067
CHEMBL118391,active,,-2.271719,-17.969246
CHEMBL118553,inactive,,-3.6881,-6.368912
CHEMBL11892,active,,-0.645069,-16.823229
CHEMBL11893,active,,5.557898,-11.007677
CHEMBL119131,active,,-1.710701,-18.455742
CHEMBL119168,active,,0.170774,-17.920807
CHEMBL119294,active,,0.954185,-17.431501
CHEMBL119985,inactive,,0.405753,19.725006
CHEMBL1200604,active,,5.513459,8.80277
CHEMBL120080,active,,-1.756628,15.855972
CHEMBL120539,inactive,,6.902681,14.092049
CHEMBL12064,active,,4.790107,-12.570881
CHEMBL120706,inactive,,-1.808419,19.862629
CHEMBL12085,active,,1.553026,-15.485632
CHEMBL12098,active,,5.583923,-11.586395
CHEMBL121298,inactive,,-3.956326,-6.137084
CHEMBL12150,active,,5.822626,-11.607727
CHEMBL12153,active,,-1.045937,-17.640121
CHEMBL1221512,inactive,,1.692476,-10.686882
CHEMBL12228,active,,5.907349,-11.008575
CHEMBL123099,inactive,,-8.834417,-3.096299
CHEMBL12354,active,,1.791103,-15.723658
CHEMBL12419,active,,0.728958,-16.978327
CHEMBL12542,active,,5.758806,-11.424646
CHEMBL1258452,inactive,,-7.714515,-9.193607
CHEMBL1258671,inactive,,-0.658623,-9.670227
CHEMBL1289081,active,,-4.290129,-7.659443
CHEMBL1289082,active,,7.093176,-6.362791
CHEMBL1289201,active,,7.084781,-5.990482
CHEMBL1289314,active,,-1.556356,15.106967
CHEMBL1289315,active,,6.265634,-5.016706
CHEMBL1289544,active,,6.70437,0.411227
CHEMBL1289545,active,,7.292,-5.856874
CHEMBL1289653,active,,5.330413,-9.716033
CHEMBL1289654,active,,0.317441,-8.551133
CHEMBL1289758,active,,6.980275,-1.263492
CHEMBL1289865,active,,6.52417,-9.135203
CHEMBL1289982,active,,-1.771193,-14.909019
CHEMBL1290294,active,,6.947173,-5.382772
CHEMBL1290409,active,,-1.210057,15.286327
CHEMBL1290410,active,,6.914676,-5.56243
CHEMBL1290634,active,,7.383366,0.573749
CHEMBL1290635,active,,7.122693,-6.328809
CHEMBL1290752,active,,4.403776,-1.502023
CHEMBL1290753,active,,6.926719,-5.456938
CHEMBL12980,active,,8.827252,-5.772696
CHEMBL1319362,active,,4.684562,7.225979
CHEMBL135645,active,,0.610091,22.773882
CHEMBL138502,inactive,,3.789788,-3.466455
CHEMBL139311,active,,2.05015,-15.531148
CHEMBL140490,inactive,,4.809196,-11.885965
CHEMBL140827,inactive,,4.540844,-15.950712
CHEMBL143469,active,,-0.984404,-19.147722
CHEMBL144247,inactive,,2.559623,18.592642
CHEMBL144493,inactive,,-1.974356,21.674356
CHEMBL144580,inactive,,7.327798,2.690013
CHEMBL145301,inactive,,1.979353,19.402451
CHEMBL145533,inactive,,-5.167765,14.643205
CHEMBL14580,inactive,,3.773211,23.034224
CHEMBL1459098,inactive,,-3.737807,10.337359
CHEMBL145913,active,,3.948704,0.555665
CHEMBL146249,inactive,,1.150092,-11.458686
CHEMBL146291,inactive,,2.804996,-7.473861
CHEMBL146307,inactive,,2.487749,-4.091275
CHEMBL146351,inactive,,0.655895,-12.504535
CHEMBL1464005,active,,2.232327,-7.685417
CHEMBL146464,active,,4.123926,0.188461
CHEMBL147105,inactive,,-3.184511,4.614047
CHEMBL147554,inactive,,0.576848,7.534707
CHEMBL147672,inactive,,7.096803,-2.235752
CHEMBL147695,inactive,,-1.979496,-1.928475
CHEMBL147778,inactive,,3.664624,13.658043
CHEMBL148129,inactive,,1.381581,-10.921575
CHEMBL148310,inactive,,0.00019,-2.283542
CHEMBL148328,inactive,,1.338682,0.254444
CHEMBL1490,active,,6.577854,4.184114
CHEMBL1493369,active,,-2.706446,14.934864
CHEMBL149486,active,,0.783398,4.245146
CHEMBL149769,inactive,,1.437728,-9.115641
CHEMBL150219,inactive,,4.124141,-10.200511
CHEMBL150624,active,,3.503767,-14.881288
CHEMBL150707,active,,1.97535,-14.692912
CHEMBL150845,active,,2.217374,-9.184661
CHEMBL1535,inactive,,5.07289,-0.40997
CHEMBL154087,inactive,,-0.619301,22.64492
CHEMBL1628706,inactive,,-4.653778,-2.691533
CHEMBL1632158,inactive,,-3.081695,4.556028
CHEMBL163658,active,,0.135024,-2.945765
CHEMBL163714,active,,2.681491,-14.765607
CHEMBL163777,active,,2.749523,-1.785882
CHEMBL163887,active,,-2.165614,-7.056587
