,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,2.569799,-14.933976
CHEMBL10309,inactive,,2.675878,-11.247614
CHEMBL103529,inactive,,-2.026861,-11.244692
CHEMBL104804,inactive,,-2.378555,10.154042
CHEMBL105674,inactive,,-5.791213,-8.783728
CHEMBL106219,active,,0.157547,-7.084919
CHEMBL106224,active,,2.198886,4.804186
CHEMBL106505,inactive,,-0.89477,-2.222785
CHEMBL107680,inactive,,-6.28591,-2.15806
CHEMBL1080155,inactive,,-3.214212,3.442485
CHEMBL1080389,inactive,,3.672915,1.101268
CHEMBL1080735,inactive,,-3.550421,13.033729
CHEMBL1081648,inactive,,-1.731297,17.681227
CHEMBL1082209,inactive,,-2.150777,9.605171
CHEMBL1083402,active,,1.409941,-5.347814
CHEMBL1083618,inactive,,3.689619,13.456594
CHEMBL1084850,active,,-3.376147,-4.46227
CHEMBL1085507,inactive,,0.162652,11.488467
CHEMBL1090094,inactive,,-3.523647,3.513016
CHEMBL1090095,inactive,,-3.41543,15.403378
CHEMBL1090096,inactive,,-5.113883,10.521107
CHEMBL1090097,inactive,,-8.494101,1.973168
CHEMBL109068,inactive,,6.816965,20.871025
CHEMBL109120,inactive,,7.977852,21.208006
CHEMBL1092,active,,-2.507684,-10.280211
CHEMBL1092460,inactive,,-3.596103,10.112642
CHEMBL1092461,inactive,,-5.046994,10.26988
CHEMBL1093775,inactive,,-5.224303,10.371333
CHEMBL1093933,inactive,,-3.296109,16.363682
CHEMBL109593,inactive,,6.791939,20.869493
CHEMBL109597,inactive,,6.904885,20.727604
CHEMBL109647,inactive,,-0.052111,21.604012
CHEMBL109727,inactive,,6.527597,21.126516
CHEMBL109866,inactive,,5.932845,19.21442
CHEMBL109985,inactive,,8.320153,21.152653
CHEMBL110339,active,,-2.228935,-9.572813
CHEMBL110808,active,,-1.655439,-8.826017
CHEMBL110845,inactive,,8.432973,21.168804
CHEMBL111120,inactive,,8.291603,21.178406
CHEMBL111123,inactive,,6.393836,21.142149
CHEMBL111229,inactive,,8.372738,21.029816
CHEMBL111369,inactive,,8.300982,20.960648
CHEMBL111529,inactive,,6.890414,17.309559
CHEMBL111615,inactive,,8.402429,21.163336
CHEMBL111679,inactive,,4.932003,22.31884
CHEMBL1169543,active,,8.014934,-7.683845
CHEMBL1182657,active,,-4.750089,18.709007
CHEMBL118553,inactive,,-3.536039,-12.066831
CHEMBL1187846,active,,4.374774,12.628028
CHEMBL1200406,active,,5.064395,13.392674
CHEMBL1200604,active,,-6.182397,4.491121
CHEMBL120080,active,,-4.957524,-5.463898
CHEMBL1201024,active,,3.995842,15.816745
CHEMBL1201027,active,,7.538105,-10.934653
CHEMBL1201335,active,,7.521565,-10.936309
CHEMBL120135,inactive,,-2.023633,-4.758251
CHEMBL1201353,inactive,,3.019839,11.170784
CHEMBL120539,inactive,,3.41352,13.133465
CHEMBL121298,inactive,,-4.571116,-6.141359
CHEMBL1221,inactive,,-9.284991,1.279664
CHEMBL122353,inactive,,7.003282,13.563293
CHEMBL1231,active,,1.445939,0.422739
CHEMBL1242950,inactive,,0.620534,-5.544772
CHEMBL1258452,inactive,,-2.617321,-8.330538
CHEMBL1258671,inactive,,-8.177099,-14.425255
CHEMBL1289081,active,,-1.46546,-10.221543
CHEMBL1289082,active,,-3.714474,-7.019544
CHEMBL1289201,active,,1.787375,-9.300425
CHEMBL1289202,active,,-6.148069,-3.650248
CHEMBL1289314,active,,-3.694107,5.462986
CHEMBL1289544,active,,-2.652756,-14.131929
CHEMBL1289545,active,,-0.886444,-14.626082
CHEMBL1289653,active,,-1.177432,-7.562734
CHEMBL1289654,active,,-3.002468,-5.269044
CHEMBL1289758,active,,-0.116615,-14.546452
CHEMBL1289865,active,,-2.368685,-8.510588
CHEMBL1289866,active,,-2.844882,-15.206433
CHEMBL1289982,active,,-4.46963,-10.446194
CHEMBL1289983,active,,-1.289715,-10.820327
CHEMBL1290183,active,,6.76222,-5.858214
CHEMBL1290294,active,,7.710238,0.70331
CHEMBL1290752,active,,-2.856967,-15.414713
CHEMBL1290753,active,,6.981015,-6.611054
CHEMBL1306,inactive,,-2.197646,8.164266
CHEMBL1319362,active,,-7.850663,4.308613
CHEMBL132698,inactive,,-0.468904,23.464695
CHEMBL1346,active,,-1.246455,-11.716606
CHEMBL135645,active,,0.869418,22.952665
CHEMBL136027,active,,-3.024894,-16.631119
CHEMBL143228,active,,0.15255,11.822949
CHEMBL143469,active,,-0.472023,-18.819065
CHEMBL1459098,inactive,,-4.592144,-3.528583
