,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,2.57399,-15.130173
CHEMBL10309,inactive,,3.46868,-16.380636
CHEMBL103529,inactive,,-1.732816,-11.134356
CHEMBL104574,inactive,,-7.793256,-6.819615
CHEMBL104804,inactive,,-3.556997,13.832344
CHEMBL105593,inactive,,-5.501956,3.418618
CHEMBL105674,inactive,,-8.299177,-7.756641
CHEMBL106219,active,,-1.088585,-11.485153
CHEMBL106224,active,,-0.807934,-3.440685
CHEMBL106505,inactive,,-3.402467,-4.184774
CHEMBL107680,inactive,,-8.034852,-8.394471
CHEMBL1080155,inactive,,4.429282,-2.429745
CHEMBL1080907,inactive,,-3.392859,12.540062
CHEMBL1082210,inactive,,-3.36595,12.41794
CHEMBL1083002,inactive,,6.671139,12.31764
CHEMBL1083317,inactive,,7.313706,14.459751
CHEMBL1083402,active,,-0.713682,-1.072363
CHEMBL1083618,inactive,,-0.990383,7.098694
CHEMBL1083926,inactive,,1.963277,-0.783426
CHEMBL1084804,active,,-1.076678,-6.377965
CHEMBL1084850,active,,-3.020429,2.346587
CHEMBL1084851,active,,-2.644635,11.85818
CHEMBL1090095,inactive,,6.153702,-1.34882
CHEMBL1090096,inactive,,-5.303926,10.228777
CHEMBL1090097,inactive,,-5.331921,10.581658
CHEMBL109068,inactive,,6.843732,20.78953
CHEMBL1090759,inactive,,-5.058785,10.660548
CHEMBL109120,inactive,,8.307662,21.102325
CHEMBL1092,active,,-0.103278,-5.042665
CHEMBL1092460,inactive,,-5.043302,10.448155
CHEMBL1092461,inactive,,-3.902368,12.670853
CHEMBL1093775,inactive,,-4.733908,10.772494
CHEMBL1093933,inactive,,-4.953902,10.761637
CHEMBL109593,inactive,,6.749097,20.858324
CHEMBL109597,inactive,,6.926313,20.755165
CHEMBL109647,inactive,,8.400577,21.137146
CHEMBL109727,inactive,,6.329537,20.910763
CHEMBL109866,inactive,,5.918224,19.279051
CHEMBL109985,inactive,,8.387957,21.10339
CHEMBL110339,active,,-0.968502,-10.204351
CHEMBL110808,active,,-1.924672,-9.066078
CHEMBL110845,inactive,,-1.427604,24.036243
CHEMBL111120,inactive,,8.39045,21.111212
CHEMBL111123,inactive,,5.758974,21.284468
CHEMBL111229,inactive,,8.37458,21.018312
CHEMBL111369,inactive,,8.392593,21.071764
CHEMBL111529,inactive,,6.900162,17.257399
CHEMBL111615,inactive,,8.381592,21.19309
CHEMBL111679,inactive,,4.936154,22.280539
CHEMBL1123,active,,0.863754,-7.825191
CHEMBL1180284,inactive,,3.160688,14.843781
CHEMBL1180343,inactive,,2.726756,8.646712
CHEMBL1182657,active,,-8.565152,-8.35423
CHEMBL118553,inactive,,-3.096094,-11.609394
CHEMBL1187846,active,,3.281607,14.205949
CHEMBL1200406,active,,2.907842,13.967249
CHEMBL1200604,active,,2.74775,7.921713
CHEMBL120080,active,,-2.34208,-10.519315
CHEMBL1200803,active,,8.315641,-4.251477
CHEMBL1201027,active,,7.317678,-10.525564
CHEMBL120109,inactive,,3.219709,14.814797
CHEMBL1201203,active,,-2.153033,10.607365
CHEMBL1201335,active,,7.343161,-10.524529
CHEMBL120135,inactive,,-1.078325,-9.416921
CHEMBL120539,inactive,,6.21033,14.217975
CHEMBL121298,inactive,,-7.402442,-9.912699
CHEMBL121385,inactive,,-2.31389,-9.394549
CHEMBL1221,inactive,,-9.416381,1.345502
CHEMBL122353,inactive,,6.832387,13.378369
CHEMBL123099,inactive,,2.688805,8.657255
CHEMBL1231,active,,2.495748,-6.204988
CHEMBL1242950,inactive,,0.830969,-6.940741
CHEMBL1258452,inactive,,-3.919024,-12.182919
CHEMBL1258671,inactive,,-6.332685,-8.087899
CHEMBL1262,inactive,,-9.214379,1.567179
CHEMBL1289082,active,,-2.763674,-13.335449
CHEMBL1289201,active,,-1.394012,9.426871
CHEMBL1289202,active,,-6.310367,-5.620036
CHEMBL1289544,active,,-4.638621,-7.907498
CHEMBL1289545,active,,1.42933,-5.145217
CHEMBL1289654,active,,-4.979748,-9.493205
CHEMBL1289758,active,,-3.256889,-14.643394
CHEMBL1289865,active,,6.990719,-6.195487
CHEMBL1289866,active,,-3.234504,-14.248762
CHEMBL1289982,active,,-2.133142,-8.499014
CHEMBL1289983,active,,-3.043314,-15.584936
CHEMBL1290183,active,,7.452362,0.32621
CHEMBL1290752,active,,3.226842,2.617608
CHEMBL1290753,active,,6.747263,-5.944718
CHEMBL1306,inactive,,2.121461,-18.164148
CHEMBL1319362,active,,-7.844201,4.372088
CHEMBL132698,inactive,,5.456389,19.085154
CHEMBL1346,active,,-3.814139,-13.842021
CHEMBL134641,active,,-1.920817,21.319904
CHEMBL135645,active,,0.852716,23.051928
CHEMBL136027,active,,-3.978261,-15.332967
CHEMBL1382,active,,2.797106,0.596182
CHEMBL1424807,inactive,,-2.818705,19.170063
CHEMBL143228,active,,-4.760166,-4.625305
CHEMBL143469,active,,-0.592953,-19.40667
CHEMBL1459098,inactive,,3.212462,3.189707
CHEMBL145913,active,,-3.119912,10.353483
CHEMBL146249,active,,0.626035,-12.341116
CHEMBL146291,active,,2.798853,-14.124219
CHEMBL146307,active,,3.430847,-4.22155
CHEMBL146351,active,,0.693473,-8.765915
CHEMBL146359,active,,-2.957523,-16.189451
CHEMBL146464,active,,1.898472,-9.356699
CHEMBL146567,active,,5.346711,-2.040353
CHEMBL147105,active,,-1.066774,8.977663
CHEMBL147554,active,,2.246827,1.0786
CHEMBL147653,active,,-3.445992,14.11399
CHEMBL147672,active,,4.471065,-7.647672
CHEMBL147695,active,,3.462732,-11.233354
CHEMBL147778,active,,-4.320267,4.815012
