,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,5.58641,-7.063141
CHEMBL10105,active,,-1.826302,-3.118009
CHEMBL101535,active,,-1.058541,-7.736186
CHEMBL101593,active,,6.185616,-12.902046
CHEMBL102175,active,,-3.784877,-15.595667
CHEMBL102414,inactive,,6.164196,7.317039
CHEMBL102582,active,,5.510968,23.032818
CHEMBL10289,active,,1.989339,12.265325
CHEMBL10316,inactive,,-0.513451,21.09164
CHEMBL10327,active,,6.302992,-0.258928
CHEMBL103441,inactive,,-6.83062,3.182752
CHEMBL10355,inactive,,2.56965,2.270576
CHEMBL103622,active,,5.567278,23.374332
CHEMBL103857,active,,5.438732,23.479792
CHEMBL103912,inactive,,4.793934,6.553365
CHEMBL103983,active,,-4.533521,-11.674837
CHEMBL104063,inactive,,0.930213,-1.570203
CHEMBL104092,inactive,,6.722421,0.723814
CHEMBL104135,inactive,,5.667909,5.985034
CHEMBL104155,inactive,,5.953574,-8.144027
CHEMBL104256,inactive,,4.967101,-2.974907
CHEMBL104273,active,,6.315504,-8.391676
CHEMBL104321,inactive,,5.177359,-8.257673
CHEMBL104399,inactive,,4.130193,-4.935375
CHEMBL104497,inactive,,6.458359,-8.068342
CHEMBL104498,inactive,,3.948735,3.269222
CHEMBL104515,active,,0.530053,-2.666565
CHEMBL104578,active,,-2.416863,17.244822
CHEMBL104700,inactive,,-2.858269,17.08852
CHEMBL104716,active,,6.616812,-8.121684
CHEMBL104719,active,,6.327806,-8.365129
CHEMBL104751,active,,0.532003,6.057271
CHEMBL104788,active,,6.640035,-8.09145
CHEMBL104800,inactive,,6.811747,1.916703
CHEMBL104805,active,,4.096729,10.848091
CHEMBL104832,active,,6.567069,-7.711905
CHEMBL104911,active,,-3.29837,11.786112
CHEMBL104987,inactive,,5.829322,8.273602
CHEMBL105345,active,,-0.388125,4.126707
CHEMBL105454,inactive,,5.084115,-7.92927
CHEMBL105509,inactive,,3.721092,6.745512
CHEMBL105595,inactive,,6.442508,1.510048
CHEMBL105747,active,,1.006419,-0.717682
CHEMBL106007,inactive,,6.145538,-2.785568
CHEMBL106047,inactive,,3.601641,6.091302
CHEMBL106208,inactive,,6.033499,-8.688281
CHEMBL10623,inactive,,-1.999864,9.765867
CHEMBL106283,active,,-3.970955,-15.313066
CHEMBL10658,inactive,,2.728366,0.409961
CHEMBL106622,inactive,,0.31934,12.052671
CHEMBL106660,active,,3.354769,-12.805712
CHEMBL106751,inactive,,4.211052,-2.330902
CHEMBL106886,active,,-1.195082,15.61617
CHEMBL106917,inactive,,5.624962,-4.363364
CHEMBL10692,inactive,,0.751952,4.220567
CHEMBL107041,active,,2.422515,15.050159
CHEMBL107141,active,,1.823746,-2.512649
CHEMBL107151,inactive,,4.049232,12.611605
CHEMBL107338,inactive,,5.626111,-8.187799
CHEMBL107351,inactive,,6.767925,-7.640553
CHEMBL107391,inactive,,-2.493161,9.929202
CHEMBL107492,inactive,,3.97787,8.561653
CHEMBL107503,inactive,,1.059481,-1.873827
CHEMBL107529,inactive,,-2.910219,14.427983
CHEMBL107755,inactive,,3.182244,-9.448941
CHEMBL107804,inactive,,5.404885,-7.177835
CHEMBL1078595,inactive,,1.517599,3.828932
CHEMBL1079497,inactive,,-3.59969,-10.151299
CHEMBL1079577,inactive,,-3.388134,-9.969829
CHEMBL107973,inactive,,-7.033363,-7.510793
CHEMBL1079822,active,,0.147348,-10.744596
CHEMBL1079824,active,,0.139666,-10.606629
CHEMBL107988,inactive,,-3.617305,3.839721
CHEMBL1079938,active,,-4.742027,-10.244177
CHEMBL1080293,inactive,,-3.47099,-10.050022
CHEMBL1080755,inactive,,2.20161,2.451355
CHEMBL1080846,active,,-3.96674,-9.665291
CHEMBL1080907,inactive,,-1.553424,9.572466
CHEMBL1081237,inactive,,2.728271,-10.515183
CHEMBL108186,active,,7.169724,1.683352
CHEMBL1081868,active,,-4.362831,-10.1732
CHEMBL1081957,active,,-4.22017,-9.748244
CHEMBL108229,active,,2.16486,7.595167
CHEMBL1082723,inactive,,-3.000632,20.928156
CHEMBL108480,inactive,,1.605579,-4.759697
CHEMBL108564,inactive,,5.274526,13.829653
CHEMBL1086754,inactive,,-2.307694,6.894842
CHEMBL1086756,inactive,,3.68299,-3.204345
CHEMBL108678,inactive,,-3.579564,16.75926
CHEMBL1086790,inactive,,1.010669,17.930708
CHEMBL1086958,inactive,,-0.477189,10.312853
CHEMBL1087182,inactive,,-5.96061,0.497994
CHEMBL1087452,active,,-1.081843,6.994678
CHEMBL1087585,active,,3.244716,-14.124415
CHEMBL108764,inactive,,-1.574409,-12.085059
CHEMBL1087743,active,,3.726624,-11.352272
CHEMBL1087745,active,,6.072129,-7.449709
CHEMBL1087817,active,,2.479374,-13.329178
CHEMBL108790,active,,-1.990222,18.180967
CHEMBL1088000,active,,3.573849,-13.228729
