,activity,extra_tooltip,x,y
CHEMBL100461,inactive,,1.43469,17.07976
CHEMBL10085,active,,3.531991,-1.593585
CHEMBL102414,active,,6.00341,7.267743
CHEMBL102490,active,,-4.276907,12.644879
CHEMBL102582,active,,5.529685,22.680269
CHEMBL1036,inactive,,5.69362,-3.621567
CHEMBL103622,active,,5.268836,23.405678
CHEMBL103772,inactive,,-2.532269,18.553387
CHEMBL103857,active,,5.429193,23.546844
CHEMBL103912,active,,5.42713,5.808018
CHEMBL104092,inactive,,7.271777,-3.090859
CHEMBL104201,inactive,,7.185042,0.655396
CHEMBL105512,active,,4.536801,7.673595
CHEMBL105977,active,,-0.271031,12.769168
CHEMBL1065,active,,-1.777808,12.61167
CHEMBL106622,inactive,,3.849038,10.053447
CHEMBL106635,inactive,,8.535682,6.505559
CHEMBL106660,active,,2.667359,-12.781838
CHEMBL107529,inactive,,5.372047,3.420122
CHEMBL1077189,inactive,,0.059866,16.931355
CHEMBL1077344,active,,1.266914,7.92758
CHEMBL1079461,active,,-4.172548,-9.876262
CHEMBL1079475,active,,1.672708,-4.61987
CHEMBL1079480,active,,-4.167021,-10.017764
CHEMBL1079481,active,,-3.665489,-10.302879
CHEMBL1079497,active,,-3.787817,-10.181124
CHEMBL1079577,active,,2.295369,-10.326843
CHEMBL1079578,active,,2.904381,-11.03667
CHEMBL1079639,active,,-3.94027,-9.830572
CHEMBL1079640,active,,1.439924,-7.581555
CHEMBL1079667,active,,-4.473931,-9.193025
CHEMBL1079822,active,,0.751589,-10.492463
CHEMBL1079823,active,,0.69349,-10.446178
CHEMBL1079824,active,,0.709906,-10.28106
CHEMBL1079837,active,,3.227798,-9.590796
CHEMBL1079938,active,,-4.130629,-10.10026
CHEMBL1080046,active,,1.858649,2.795365
CHEMBL1080117,active,,1.84298,-12.723438
CHEMBL1080126,active,,-4.62294,-10.339003
CHEMBL1080165,active,,-4.025817,-10.187049
CHEMBL1080189,active,,0.653666,-9.98962
CHEMBL1080293,active,,-3.039083,-10.91665
CHEMBL1080556,inactive,,-1.292173,8.610719
CHEMBL1080735,inactive,,0.71857,-3.390934
CHEMBL1080755,inactive,,-2.568961,9.67044
CHEMBL1080846,active,,-4.450006,-10.367731
CHEMBL1080907,inactive,,0.863449,4.114604
CHEMBL1080926,inactive,,3.429828,1.811237
CHEMBL1081023,active,,-4.45248,-10.138587
CHEMBL1081212,inactive,,1.43391,4.628614
CHEMBL1081237,active,,1.186755,-12.685973
CHEMBL1081311,active,,-1.672686,12.675913
CHEMBL1081401,active,,2.865294,-11.263906
CHEMBL1081408,active,,-3.723129,-10.578129
CHEMBL1081409,active,,-4.273391,-9.942448
CHEMBL1081487,active,,-3.347673,0.383301
