,activity,extra_tooltip,x,y
CHEMBL102162,inactive,,-2.05642,22.810898
CHEMBL103900,active,,-5.205072,10.742795
CHEMBL104035,active,,-7.995,0.175207
CHEMBL104041,active,,-4.778364,3.953016
CHEMBL104063,active,,7.007455,0.578345
CHEMBL104079,active,,1.259162,1.147517
CHEMBL104089,active,,-2.728654,6.315388
CHEMBL104092,inactive,,5.819197,0.004691
CHEMBL104099,inactive,,-5.494258,3.691769
CHEMBL104155,active,,6.659092,-7.673542
CHEMBL104160,active,,4.687419,-6.284456
CHEMBL104216,active,,-0.010359,4.774218
CHEMBL104251,inactive,,3.743578,-0.670595
CHEMBL104256,active,,5.154363,-3.992893
CHEMBL104273,active,,6.25316,-7.991737
CHEMBL104307,active,,-2.239937,7.312595
CHEMBL104321,active,,1.241022,3.262408
CHEMBL104378,active,,-4.633878,4.599238
CHEMBL104399,active,,6.103202,-5.904191
CHEMBL104431,active,,-0.280367,3.084742
CHEMBL104453,active,,1.220287,10.587217
CHEMBL104476,active,,-1.50666,2.226708
CHEMBL104485,active,,-2.732598,7.058094
CHEMBL104497,active,,6.396031,-7.70485
CHEMBL104514,inactive,,6.298662,-6.012932
CHEMBL104550,active,,3.998398,13.47295
CHEMBL104579,active,,6.63282,-8.092539
CHEMBL104614,active,,6.234934,-7.56723
CHEMBL104716,active,,2.321921,2.171982
CHEMBL104719,active,,6.520314,-7.840172
CHEMBL104788,active,,5.828301,-8.855618
CHEMBL104800,active,,2.008033,3.779094
CHEMBL104801,active,,-1.535359,-2.795657
CHEMBL104832,active,,6.53413,-8.22543
CHEMBL104873,active,,-3.629024,5.971301
CHEMBL105011,active,,3.880329,-4.704331
CHEMBL105172,active,,6.273958,-1.016584
CHEMBL105181,active,,-2.209895,-5.760311
CHEMBL105234,active,,2.15105,8.099276
CHEMBL105304,active,,6.9794,-7.349984
CHEMBL105317,active,,3.658132,-2.011332
CHEMBL105354,active,,6.413291,-0.818185
CHEMBL105601,active,,6.450858,-8.138702
CHEMBL105686,active,,-8.553447,0.443082
CHEMBL105696,active,,-0.985014,-1.156747
CHEMBL105745,active,,-5.355928,-1.285296
CHEMBL106007,active,,6.941624,-2.349816
CHEMBL106169,active,,6.755734,-7.984206
CHEMBL106170,inactive,,6.429565,-8.18104
CHEMBL106208,active,,5.589781,-8.599771
CHEMBL106599,active,,-0.808688,6.809597
CHEMBL106635,inactive,,8.256246,6.625527
CHEMBL106665,active,,-0.642638,4.735364
CHEMBL106742,active,,6.549561,-8.251885
CHEMBL106751,active,,6.462603,-8.13625
CHEMBL106827,inactive,,-3.509237,1.86492
CHEMBL106897,active,,5.669178,-8.710657
CHEMBL106914,active,,4.31212,-8.380861
CHEMBL106916,active,,0.439119,1.636211
CHEMBL107019,active,,0.945779,7.109318
CHEMBL107020,active,,4.084301,-0.10004
CHEMBL107068,active,,-1.026929,-8.886967
