,activity,extra_tooltip,x,y
CHEMBL103871,active,,-1.974429,13.030519
CHEMBL103900,active,,-2.676002,14.493773
CHEMBL103951,active,,2.094047,16.405029
CHEMBL104,inactive,,-3.097785,9.861049
CHEMBL104035,active,,-8.266298,0.38525
CHEMBL104041,active,,-2.216929,4.343872
CHEMBL104063,active,,7.230169,1.068267
CHEMBL104079,active,,-0.239713,3.362787
CHEMBL104089,active,,1.446821,12.753536
CHEMBL104092,inactive,,3.153955,1.433171
CHEMBL104155,active,,5.247749,-5.777002
CHEMBL104160,active,,5.032156,-7.282299
CHEMBL104216,active,,-2.520283,7.366654
CHEMBL104238,active,,6.132667,-0.044792
CHEMBL104251,inactive,,6.808829,-6.564075
CHEMBL104256,active,,5.340402,-3.923087
CHEMBL104273,active,,5.796016,-8.182768
CHEMBL104307,active,,-0.259951,4.135327
CHEMBL104321,active,,6.188652,-6.13581
CHEMBL104378,active,,-3.26629,9.282909
CHEMBL104399,active,,5.30998,-3.297831
CHEMBL104431,active,,-2.715106,11.312583
CHEMBL104453,active,,-2.040116,1.005525
CHEMBL104476,active,,0.295926,4.695015
CHEMBL104485,active,,-1.329634,6.823509
CHEMBL104497,active,,1.378855,-4.324795
CHEMBL104579,active,,4.947606,-5.183403
CHEMBL104614,active,,5.762918,-1.084498
CHEMBL104716,active,,5.75303,-6.591765
CHEMBL104719,active,,6.53114,-8.062047
CHEMBL104751,active,,6.297583,-8.837982
CHEMBL104788,active,,6.539423,-8.559829
CHEMBL104801,active,,1.112554,-6.492663
CHEMBL104832,active,,3.939825,-6.492023
CHEMBL104873,active,,-1.991334,2.446458
CHEMBL105011,active,,3.673214,-4.819673
CHEMBL105181,active,,-4.890057,-8.568506
CHEMBL105234,active,,1.392488,0.774678
CHEMBL105304,active,,6.091211,-8.496385
CHEMBL105317,active,,3.982407,0.01031
CHEMBL105354,active,,7.282763,-1.813655
CHEMBL105454,active,,6.264434,-5.959645
CHEMBL105601,active,,-0.963483,5.466062
CHEMBL105686,active,,-8.861069,0.1159
CHEMBL105696,active,,2.485713,3.761344
CHEMBL105745,active,,-3.628836,-11.724772
CHEMBL106007,active,,-4.642201,-4.468204
CHEMBL106169,active,,-0.487675,3.227852
CHEMBL106170,inactive,,5.591321,-9.081519
CHEMBL106208,active,,0.114023,-8.109932
CHEMBL106599,active,,0.952526,4.235309
CHEMBL106635,inactive,,8.526537,6.559218
CHEMBL106665,active,,1.792979,6.769034
CHEMBL106742,active,,6.545833,-8.112983
CHEMBL106751,active,,3.789831,-7.496016
CHEMBL106827,inactive,,-1.652726,6.420985
CHEMBL106897,active,,-1.16555,11.701417
CHEMBL106914,active,,4.699769,-3.792313
CHEMBL106916,active,,3.298631,-4.424474
CHEMBL107019,active,,-5.711685,-0.509868
CHEMBL107020,active,,3.353195,-6.541508
CHEMBL107068,active,,-0.439499,-6.198322
CHEMBL107338,active,,6.203945,-9.772223
CHEMBL107391,active,,5.464029,-9.185422
CHEMBL107691,active,,-0.307397,-6.390053
CHEMBL1077189,inactive,,-0.090365,17.182732
CHEMBL107742,active,,7.290539,-1.816998
CHEMBL107793,active,,-1.481586,6.6742
CHEMBL107804,active,,5.509097,-6.563998
CHEMBL108011,active,,2.997002,-6.944016
CHEMBL108122,active,,-1.619523,6.031178
CHEMBL108157,active,,-2.21695,9.610839
CHEMBL108282,active,,1.380619,6.341026
CHEMBL1086789,inactive,,1.064217,18.244835
CHEMBL1086790,inactive,,0.91176,17.346584
CHEMBL1087300,active,,-0.840667,15.194909
CHEMBL1088073,inactive,,-2.520567,19.933319
CHEMBL1088874,inactive,,-3.134736,-15.070653
CHEMBL1089793,inactive,,2.619807,-14.993768
CHEMBL1089881,inactive,,-4.554505,-17.77541
CHEMBL1092238,inactive,,-5.599504,-17.654261
CHEMBL1092921,inactive,,-5.633856,-13.815807
CHEMBL1092929,inactive,,-2.355418,-12.321433
CHEMBL1093469,inactive,,-5.63923,-17.525631
CHEMBL1093802,inactive,,-5.414215,-17.411215
CHEMBL109472,inactive,,-2.077704,-6.944818
CHEMBL109684,active,,6.160518,4.988665
CHEMBL110120,inactive,,-1.317129,14.163672
CHEMBL110411,inactive,,-2.38781,-6.10644
CHEMBL110435,inactive,,0.032959,-4.058591
CHEMBL1112,active,,0.636807,-1.290693
CHEMBL111749,active,,1.536434,4.794914
CHEMBL112833,active,,-1.021307,-0.830372
CHEMBL113238,active,,-1.709175,16.573402
CHEMBL1169895,active,,-0.233287,-2.935232
CHEMBL1171249,active,,8.20422,6.842565
CHEMBL1172213,active,,-2.48342,5.972741
CHEMBL1173287,active,,-8.08512,0.846686
CHEMBL1173436,inactive,,0.400484,0.267236
CHEMBL118636,inactive,,3.537615,6.183388
CHEMBL118637,inactive,,-1.111032,19.344353
CHEMBL1200986,active,,-1.719526,-18.17934
CHEMBL1202203,inactive,,-3.663157,11.052897
CHEMBL1202204,active,,-2.180063,19.551832
CHEMBL1202205,active,,-0.664217,0.299968
CHEMBL1202209,active,,2.280439,9.225038
CHEMBL1202210,active,,-2.060999,12.253178
CHEMBL1202212,active,,-3.177553,15.501451
CHEMBL1202217,active,,-1.981363,10.342527
CHEMBL1202219,active,,-2.410675,9.949283
CHEMBL1202223,active,,-1.372645,10.795887
CHEMBL1202224,active,,-2.36995,17.858421
CHEMBL1204116,active,,-3.539737,10.268735
CHEMBL1204122,active,,-2.774304,18.119539
CHEMBL121993,active,,-3.368922,17.249096
CHEMBL122116,active,,-2.594335,12.906307
CHEMBL1221497,inactive,,-2.07037,11.294776
CHEMBL1222138,inactive,,5.582123,0.047846
CHEMBL122427,active,,1.950781,16.598621
CHEMBL122531,active,,-1.961637,14.090588
CHEMBL122597,active,,1.344088,13.685542
CHEMBL123031,active,,-3.485115,15.063976
CHEMBL125455,active,,-0.714184,9.390338
CHEMBL125763,active,,-2.559038,13.459514
CHEMBL1257689,active,,5.667877,-2.472762
CHEMBL1257810,active,,3.359221,-6.95532
CHEMBL1257811,active,,-1.139823,-6.30682
CHEMBL1257927,active,,5.033283,-4.904488
CHEMBL1258037,active,,2.027864,11.031317
CHEMBL1258155,active,,2.850002,-3.007926
CHEMBL1258223,active,,2.434707,-10.237252
CHEMBL1258270,active,,2.950055,-6.772123
CHEMBL1258452,inactive,,5.743179,-4.113875
CHEMBL126340,inactive,,-4.594688,2.035754
CHEMBL1270120,active,,1.332884,13.861359
CHEMBL1270121,active,,-3.642838,13.08649
CHEMBL1270227,active,,2.755341,14.834122
CHEMBL1270322,active,,0.30952,13.833077
CHEMBL1270422,active,,-0.927147,12.801497
CHEMBL1270423,active,,-3.116698,15.6671
CHEMBL1270516,active,,2.977096,15.244007
CHEMBL12713,active,,3.751603,-3.56887
CHEMBL127257,active,,-2.84733,15.4345
CHEMBL128222,active,,-3.875184,11.982422
CHEMBL128232,active,,5.092299,13.831095
CHEMBL128276,active,,5.126892,13.901823
CHEMBL128281,active,,4.987617,12.226568
CHEMBL128313,active,,-0.507999,14.411119
CHEMBL128524,active,,1.899177,10.413508
CHEMBL128647,active,,2.734266,13.425704
CHEMBL129534,active,,3.8024,13.361365
CHEMBL129757,active,,5.067562,13.802092
CHEMBL129927,active,,3.803442,11.569434
CHEMBL129931,active,,1.8228,15.214201
CHEMBL1303,active,,-6.582189,3.194891
CHEMBL130347,active,,2.675035,10.355036
CHEMBL130370,active,,5.093285,12.425558
CHEMBL131299,active,,3.447832,13.009114
CHEMBL131357,active,,-0.872109,12.961659
CHEMBL131396,active,,3.654258,14.763485
CHEMBL131484,active,,0.676275,13.128402
CHEMBL131495,active,,-4.174023,6.532334
CHEMBL131851,inactive,,-0.04382,14.939305
CHEMBL131997,active,,-2.23073,5.939496
CHEMBL132455,active,,4.715749,16.452387
CHEMBL132884,active,,0.614921,10.410535
CHEMBL133830,inactive,,2.192948,22.992565
CHEMBL134326,inactive,,-1.134716,14.956264
CHEMBL134571,inactive,,5.391025,23.43325
CHEMBL134747,active,,6.059151,5.153648
CHEMBL134759,inactive,,3.341388,17.084377
CHEMBL134807,active,,0.862081,13.279542
CHEMBL135954,active,,5.8559,5.044584
CHEMBL137781,active,,3.782238,4.977499
CHEMBL138989,active,,3.976171,4.739389
CHEMBL139722,active,,5.253811,12.689401
CHEMBL139926,inactive,,-2.716739,-5.276696
CHEMBL140006,active,,-3.369847,14.700927
CHEMBL140872,active,,0.192559,8.092937
CHEMBL140968,active,,-7.028198,-4.542535
CHEMBL141035,active,,6.931603,2.287639
CHEMBL141845,active,,-2.484871,6.287036
CHEMBL143352,active,,3.181852,2.911666
CHEMBL143355,active,,0.403275,6.211658
CHEMBL144811,active,,3.069182,-4.749414
CHEMBL146757,active,,6.67062,1.127363
CHEMBL147059,active,,6.200636,1.92438
CHEMBL147130,active,,-1.00831,12.150189
CHEMBL147159,active,,-1.774777,10.52323
CHEMBL149497,active,,-0.477503,9.18347
CHEMBL149596,active,,6.615185,1.156511
CHEMBL150181,active,,-3.262625,10.888994
CHEMBL151286,active,,6.264285,1.374876
CHEMBL152159,active,,-0.532872,8.057487
CHEMBL152391,active,,-1.834101,-7.410885
CHEMBL15242,active,,-4.232517,3.642912
CHEMBL152869,active,,-2.645962,0.119737
CHEMBL154286,active,,-0.293764,17.158304
CHEMBL154482,active,,6.4994,1.188049
CHEMBL155207,active,,-1.461361,10.723148
CHEMBL156732,active,,6.406257,0.049119
CHEMBL156896,active,,-3.190722,17.415867
CHEMBL157222,active,,-2.618927,12.599489
CHEMBL157388,active,,-1.307114,12.08657
CHEMBL15928,inactive,,1.297936,2.700305
CHEMBL159742,active,,3.105021,-5.250281
CHEMBL159903,active,,3.585078,-1.085178
CHEMBL160536,active,,4.545054,-9.309025
CHEMBL160749,active,,6.619534,0.799376
CHEMBL160952,active,,-1.015671,13.95166
CHEMBL161507,inactive,,-1.908823,17.267927
CHEMBL161982,active,,-0.278297,-1.131402
CHEMBL162265,active,,-0.378938,-0.585748
CHEMBL1627,active,,0.498644,-14.765239
CHEMBL1627305,inactive,,-0.458471,-6.800226
CHEMBL1627306,inactive,,-0.639647,-6.692197
CHEMBL1627307,inactive,,-0.411945,-6.773679
CHEMBL1627308,inactive,,-6.916976,-5.029006
CHEMBL1627310,inactive,,-4.006921,-10.359523
CHEMBL1627312,inactive,,8.028645,6.783767
CHEMBL1627314,inactive,,-5.159521,-13.570276
CHEMBL1627315,inactive,,-4.35982,-11.096658
CHEMBL1627316,inactive,,-4.048888,-11.367479
CHEMBL1627317,inactive,,-5.980113,-5.165495
CHEMBL1627318,inactive,,-3.869989,-9.965565
CHEMBL1627319,inactive,,-5.376354,-13.753661
CHEMBL1627321,inactive,,-4.158601,-5.683083
CHEMBL163009,active,,0.104416,8.995678
CHEMBL1632158,inactive,,-4.440294,-13.575112
CHEMBL1632174,inactive,,1.265203,-6.87447
CHEMBL163863,active,,-3.104666,16.534395
CHEMBL1642116,inactive,,7.094581,-1.334402
CHEMBL1642118,inactive,,-3.553766,9.716533
CHEMBL1642123,inactive,,3.368598,2.079071
CHEMBL1642126,inactive,,7.844941,-2.380894
CHEMBL164631,inactive,,5.627777,23.441973
CHEMBL164950,inactive,,0.718272,6.438869
CHEMBL165022,inactive,,-1.017837,10.997319
CHEMBL165171,inactive,,0.740201,5.587755
CHEMBL165504,active,,-0.161358,-0.57085
CHEMBL166269,active,,3.616998,-0.934466
CHEMBL166321,active,,3.347218,-6.637103
CHEMBL166325,inactive,,4.369235,8.147253
CHEMBL166587,active,,-4.361416,0.633085
CHEMBL1672288,inactive,,-2.535734,23.434275
CHEMBL168372,inactive,,-0.290772,-4.727739
CHEMBL168611,active,,-0.515677,-13.298965
CHEMBL1688992,inactive,,-7.757536,-12.838829
CHEMBL169193,active,,2.62469,-9.254487
CHEMBL169222,active,,-0.741412,-2.061409
CHEMBL169631,inactive,,-4.785813,-7.986021
CHEMBL175734,inactive,,-4.577801,2.335549
CHEMBL1765629,active,,-1.03518,-13.777762
CHEMBL1765631,inactive,,-1.716938,-14.726712
CHEMBL1771106,active,,1.26307,6.366228
CHEMBL1771109,active,,-4.524058,-4.688267
CHEMBL1771110,active,,-6.559097,-7.743745
CHEMBL1771111,active,,1.042068,-9.927414
CHEMBL1771112,active,,-3.131972,-12.15299
CHEMBL1774384,inactive,,2.225919,-5.110016
CHEMBL1774386,inactive,,-5.108238,-11.655463
CHEMBL1774534,inactive,,-5.636175,-9.692494
CHEMBL1774535,inactive,,-4.021234,-11.305237
CHEMBL1774536,inactive,,0.747516,-11.052279
CHEMBL1794855,inactive,,5.47953,23.568264
CHEMBL179757,inactive,,-0.233102,-11.168798
