,activity,extra_tooltip,x,y
CHEMBL1000,active,,0.317124,-11.028227
CHEMBL100454,active,,-2.031991,18.334776
CHEMBL101634,inactive,,0.570898,-2.505187
CHEMBL101691,inactive,,1.038379,-7.949992
CHEMBL101748,inactive,,-0.342946,-5.290974
CHEMBL102331,inactive,,-0.991039,6.491641
CHEMBL102384,inactive,,0.86619,-5.561068
CHEMBL102390,inactive,,1.744021,-12.032642
CHEMBL102452,inactive,,5.750755,1.383288
CHEMBL102840,inactive,,-0.884457,-4.555719
CHEMBL102925,inactive,,1.404567,-5.183995
CHEMBL102929,inactive,,0.920881,-4.582863
CHEMBL102984,inactive,,3.459975,3.292413
CHEMBL103027,inactive,,2.125386,-9.352209
CHEMBL103828,inactive,,1.64407,-4.082705
CHEMBL104344,inactive,,3.657248,-4.778277
CHEMBL104618,inactive,,1.391867,-8.975571
CHEMBL104669,inactive,,-7.081564,-3.822597
CHEMBL104808,inactive,,0.182016,-2.588133
CHEMBL104809,inactive,,0.760048,-2.094473
CHEMBL104947,inactive,,1.970754,11.51566
CHEMBL104994,inactive,,-5.232731,-2.745939
CHEMBL105515,inactive,,7.036675,-5.099641
CHEMBL105594,inactive,,5.563419,15.415402
CHEMBL105967,inactive,,-0.223801,2.90047
CHEMBL106596,inactive,,6.625093,-4.749981
CHEMBL107162,inactive,,0.781618,-5.777994
CHEMBL107293,inactive,,1.677766,-1.817413
CHEMBL1082036,inactive,,3.8996,-8.569686
CHEMBL1084132,inactive,,4.545246,8.092415
CHEMBL1085672,inactive,,1.967089,9.419592
CHEMBL1087089,active,,2.687736,2.140374
CHEMBL1090175,active,,-1.584719,13.574109
CHEMBL1090432,active,,4.65081,5.615602
CHEMBL1091790,inactive,,4.235063,3.289318
CHEMBL1091792,active,,1.678769,-0.406322
CHEMBL1091793,active,,1.935724,5.70834
CHEMBL1092118,active,,-1.988574,6.922825
CHEMBL1092767,active,,0.009885,6.298759
CHEMBL1093044,inactive,,-0.161665,4.727274
CHEMBL1093623,active,,2.685349,3.161413
CHEMBL1094510,active,,-2.916854,-0.867637
CHEMBL1095819,active,,2.597739,2.134583
CHEMBL11879,inactive,,2.340612,2.772591
CHEMBL1189234,inactive,,-2.051976,19.384438
CHEMBL1243335,inactive,,-0.657886,6.829099
CHEMBL1243366,inactive,,-0.873377,9.809491
CHEMBL1259172,active,,1.593353,2.534683
CHEMBL1259187,active,,-1.591393,-7.491427
CHEMBL1276860,active,,3.626226,-1.930555
CHEMBL1277126,active,,-1.891344,13.369593
CHEMBL1277679,active,,6.306656,-13.143156
CHEMBL1277935,active,,5.360368,-2.616957
CHEMBL1278112,active,,2.367946,2.614334
CHEMBL1278114,active,,1.260041,12.772554
