,activity,extra_tooltip,x,y
CHEMBL104,inactive,,-3.4766,9.728776
CHEMBL104076,inactive,,-7.641483,-16.447784
CHEMBL104127,inactive,,2.68019,14.48779
CHEMBL104180,inactive,,-3.825935,0.248576
CHEMBL104193,active,,-1.995649,-5.703594
CHEMBL104377,inactive,,3.440813,11.534487
CHEMBL10453,active,,6.011967,15.603196
CHEMBL104551,inactive,,-6.583771,-6.447059
CHEMBL10494,inactive,,7.401076,14.677142
CHEMBL104981,inactive,,-7.398237,-11.10681
CHEMBL105434,inactive,,-0.08843,13.286108
CHEMBL105968,inactive,,-4.623789,-0.941581
CHEMBL106487,inactive,,-7.415283,-10.308416
CHEMBL107681,inactive,,-1.222466,7.369498
CHEMBL1077199,inactive,,-2.368769,1.270762
CHEMBL1077238,inactive,,-3.834453,4.191593
CHEMBL1077273,inactive,,-3.526558,-1.07844
CHEMBL1078395,inactive,,1.595819,3.932997
CHEMBL1078465,inactive,,0.621413,-4.789301
CHEMBL1078495,inactive,,-2.045241,0.017918
CHEMBL1078496,inactive,,-7.325635,-7.888996
CHEMBL1078576,inactive,,-7.534633,-5.040646
CHEMBL1078696,inactive,,1.439723,-10.217354
CHEMBL1078749,inactive,,2.770137,2.535984
CHEMBL1078876,inactive,,-4.251236,-11.639212
CHEMBL1082500,active,,1.568104,-13.315145
CHEMBL1082501,active,,0.069538,-7.894537
CHEMBL1082827,active,,-1.151816,-6.746007
CHEMBL1082828,active,,-0.895367,-15.808467
CHEMBL1083216,inactive,,1.39457,1.689846
CHEMBL1083363,active,,2.320861,-16.411064
CHEMBL1083364,inactive,,-2.357813,-16.749414
CHEMBL1083368,active,,-3.106678,-14.015861
CHEMBL1083668,active,,0.617027,11.683674
CHEMBL1083670,active,,9.75898,-8.444983
CHEMBL1083831,inactive,,-6.201775,0.439004
CHEMBL1083832,inactive,,0.484284,-5.415422
CHEMBL1083995,inactive,,-3.902629,-14.452533
CHEMBL1084136,inactive,,-5.781518,-4.682888
CHEMBL1084138,inactive,,-3.409422,0.052644
CHEMBL1084144,inactive,,-3.330319,-1.736193
CHEMBL1084145,inactive,,-5.284997,3.032383
CHEMBL1084274,inactive,,0.621058,-16.792601
CHEMBL1084527,inactive,,1.349038,-15.458614
CHEMBL1084667,inactive,,-2.709736,-0.172779
CHEMBL1084707,active,,0.537861,-16.245871
CHEMBL1084772,active,,-5.71036,-16.222672
CHEMBL1085441,inactive,,-2.041635,16.789595
CHEMBL1085442,inactive,,-2.461391,-0.674639
CHEMBL1085694,inactive,,-7.594806,-6.086706
CHEMBL1085897,inactive,,0.099901,11.129615
CHEMBL1085898,inactive,,0.4451,10.317657
CHEMBL1085929,inactive,,-3.170548,3.137619
CHEMBL1086005,active,,2.449417,-14.078855
CHEMBL1086411,inactive,,1.640097,9.708801
CHEMBL1086542,active,,2.688444,-10.926551
CHEMBL1088076,inactive,,-7.832657,-11.219899
CHEMBL1089053,inactive,,1.893278,-0.585338
CHEMBL1089386,inactive,,-7.315039,-4.040212
CHEMBL1089387,inactive,,-2.147989,2.350328
CHEMBL1089395,inactive,,-5.659698,-8.64303
CHEMBL1089396,inactive,,-5.141764,-3.958756
