,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-6.463539,-7.643846
CHEMBL104076,inactive,,-2.315636,-6.754722
CHEMBL104127,inactive,,-1.5185,6.94191
CHEMBL104180,inactive,,-1.719097,8.854982
CHEMBL104222,inactive,,-2.603245,3.669321
CHEMBL104377,inactive,,-1.72333,4.658904
CHEMBL10453,active,,6.763997,14.743143
CHEMBL104551,inactive,,-3.243905,-4.734648
CHEMBL10494,inactive,,4.90038,15.360296
CHEMBL104981,inactive,,-0.728406,6.327658
CHEMBL105434,inactive,,2.89537,16.534815
CHEMBL105968,inactive,,-2.574401,-1.580471
CHEMBL106487,inactive,,-3.532601,-5.396916
CHEMBL107681,inactive,,-2.983604,3.709832
CHEMBL1077199,inactive,,0.268055,3.696485
CHEMBL1077238,inactive,,-5.195375,-0.779995
CHEMBL1077273,inactive,,-1.548454,9.094106
CHEMBL1078394,inactive,,-2.320333,8.17369
CHEMBL1078395,inactive,,-1.598646,-11.712659
CHEMBL1078465,inactive,,-2.79708,-2.37835
CHEMBL1078495,inactive,,-6.1099,-6.222965
CHEMBL1078496,inactive,,-3.268336,-11.919756
CHEMBL1078576,inactive,,-6.468169,-0.316981
CHEMBL1078696,inactive,,-1.266026,-4.967616
CHEMBL1078749,inactive,,-2.55488,-0.184159
CHEMBL1078876,inactive,,0.831838,-1.612726
CHEMBL1082500,active,,0.153293,-14.470816
CHEMBL1082501,active,,4.228504,-3.175736
CHEMBL1082827,active,,-0.353354,-10.371093
CHEMBL1082828,active,,4.053005,-9.434988
CHEMBL1083216,inactive,,-2.200676,-8.023398
CHEMBL1083363,active,,2.326809,-16.400948
CHEMBL1083364,inactive,,5.015426,-11.215156
CHEMBL1083368,active,,7.163677,-6.105441
CHEMBL1083668,active,,0.405396,4.864878
CHEMBL1083670,active,,9.803379,-8.615121
CHEMBL1083831,inactive,,0.162061,3.769661
CHEMBL1083832,inactive,,-1.895609,-12.245995
CHEMBL1083995,inactive,,-0.57923,-10.333538
CHEMBL1084136,inactive,,-1.830325,7.625457
CHEMBL1084138,inactive,,-4.615568,-2.043077
CHEMBL1084144,inactive,,-3.608361,12.373759
CHEMBL1084145,inactive,,-1.139391,5.436743
CHEMBL1084274,inactive,,0.135694,-17.127129
CHEMBL1084527,inactive,,1.47362,-14.545886
CHEMBL1084667,inactive,,-2.47045,2.568179
CHEMBL1084707,active,,1.205688,-16.777874
CHEMBL1084772,active,,0.670353,-10.178763
CHEMBL1085441,inactive,,-3.695966,-1.607825
CHEMBL1085442,inactive,,4.079563,10.577962
CHEMBL1085694,inactive,,5.40576,10.913927
CHEMBL1085897,inactive,,2.844828,10.877916
CHEMBL1085898,inactive,,0.668662,11.40529
CHEMBL1085929,inactive,,-2.954934,4.57668
CHEMBL1086005,active,,3.890262,-10.681971
CHEMBL1086149,inactive,,-2.756757,4.401693
CHEMBL1086411,inactive,,0.165626,3.67186
CHEMBL1086542,active,,3.779982,-3.37701
CHEMBL1088076,inactive,,2.580939,-1.423225
CHEMBL1089053,inactive,,0.383111,9.663874
CHEMBL1089386,inactive,,-3.524086,3.128867
CHEMBL1089387,inactive,,-0.795431,13.18618
CHEMBL1089395,inactive,,1.508133,0.987749
CHEMBL1090416,inactive,,-2.5994,3.512375
CHEMBL1090425,inactive,,-2.723927,3.726216
CHEMBL1091478,inactive,,-2.540782,13.10919
CHEMBL1091479,inactive,,1.944542,-2.87396
CHEMBL1091816,inactive,,-0.162809,1.018962
CHEMBL1092502,inactive,,0.420817,8.917808
CHEMBL1093086,inactive,,-3.38783,6.036014
CHEMBL1093385,inactive,,-2.77843,-4.823784
CHEMBL1093387,inactive,,-1.615656,3.594483
CHEMBL1094715,inactive,,1.422869,9.440805
CHEMBL1095042,inactive,,-0.048658,13.680222
CHEMBL115280,inactive,,2.413004,3.002965
CHEMBL11629,inactive,,-5.777714,-7.406048
CHEMBL117405,active,,6.344974,14.62969
CHEMBL1192069,inactive,,-3.755788,0.319131
CHEMBL11944,inactive,,-3.74409,-7.307261
CHEMBL1201237,active,,5.329682,12.774419
CHEMBL1204416,inactive,,-2.753094,-4.743546
CHEMBL1221636,active,,0.942514,12.67012
CHEMBL1221682,active,,-2.670266,15.246332
CHEMBL1221803,active,,-0.106524,13.960264
CHEMBL1221804,active,,-1.813272,17.055859
CHEMBL1221861,active,,-3.161882,13.252192
CHEMBL1221862,active,,2.322957,4.8237
CHEMBL124584,inactive,,-6.175942,-3.633482
CHEMBL124929,active,,3.678535,-14.011046
CHEMBL1257204,inactive,,-3.285086,-18.010004
CHEMBL1257438,inactive,,-6.376123,-8.094293
CHEMBL1257554,inactive,,-2.821867,-9.788808
CHEMBL1257674,inactive,,-6.277606,-3.0232
CHEMBL1257798,inactive,,-0.917898,-12.872434
CHEMBL1258025,active,,-1.100347,-13.615904
CHEMBL1258143,inactive,,-5.01291,-10.428908
CHEMBL1258223,inactive,,-0.905533,-10.237308
CHEMBL1258260,inactive,,1.766839,-10.193548
CHEMBL1258452,inactive,,1.014915,4.107506
CHEMBL1258485,inactive,,-6.853864,-7.89573
CHEMBL1258598,inactive,,-4.23776,-14.281465
CHEMBL1258599,active,,-2.458307,8.590854
CHEMBL1258671,inactive,,6.673163,-4.573561
CHEMBL1258706,inactive,,-4.501699,0.450099
CHEMBL1258707,inactive,,-6.983818,-7.846774
CHEMBL1258825,inactive,,-2.018916,-14.743811
CHEMBL1258940,inactive,,1.218409,-11.946477
CHEMBL125963,inactive,,-6.894444,-5.2179
CHEMBL12633,active,,0.984248,8.092923
CHEMBL12674,active,,-0.817812,-0.385962
CHEMBL12718,active,,-2.977648,12.058159
CHEMBL12762,active,,2.308507,12.809501
CHEMBL12939,active,,0.361784,-7.857738
CHEMBL12945,inactive,,-2.100057,4.253164
CHEMBL12994,active,,4.17512,12.978174
CHEMBL13132,active,,-7.379806,-12.931385
CHEMBL13238,active,,-2.584141,2.351029
CHEMBL140908,active,,4.502327,12.152523
CHEMBL142995,inactive,,-5.11471,-7.148207
CHEMBL143463,active,,-3.76623,-15.487749
CHEMBL143865,inactive,,-0.919932,19.863459
CHEMBL162095,inactive,,0.658037,2.790989
CHEMBL162182,inactive,,-1.84888,9.029957
CHEMBL162513,active,,-0.264926,-0.28551
CHEMBL163153,inactive,,-0.666255,-0.360978
CHEMBL1632158,inactive,,2.293751,-2.347799
CHEMBL1632174,inactive,,3.915755,-7.197382
CHEMBL163363,inactive,,-3.284489,3.956857
CHEMBL164401,inactive,,-7.443433,-5.656539
CHEMBL165015,inactive,,3.124714,1.30516
CHEMBL166013,inactive,,1.055947,-2.291467
CHEMBL1684585,inactive,,-2.191292,3.36186
CHEMBL177442,active,,-2.287634,-14.343177
CHEMBL1794855,inactive,,0.810116,17.873047
CHEMBL1800934,inactive,,-1.906704,14.47022
CHEMBL1800935,inactive,,-3.468517,-16.263042
CHEMBL1800936,inactive,,-2.449436,17.29611
CHEMBL1800960,inactive,,-1.323371,13.833234
CHEMBL1800962,inactive,,-0.503101,17.889906
CHEMBL1800963,inactive,,-2.585076,15.982238
CHEMBL1807817,active,,-3.749364,-5.316326
CHEMBL1807820,active,,-3.244545,-3.913752
CHEMBL1807821,active,,-1.783878,-4.56916
CHEMBL1807822,active,,-7.734523,-7.532608
CHEMBL1807825,active,,-6.573041,-9.350673
CHEMBL1807827,active,,-7.097808,-10.323143
CHEMBL1807829,active,,-4.836997,-12.655493
CHEMBL1807832,active,,-6.484763,0.592953
CHEMBL1807871,active,,-3.705229,-8.222651
CHEMBL1807872,active,,-6.484105,-12.543343
CHEMBL1807873,active,,-8.231318,-14.684175
CHEMBL1824264,inactive,,-2.590308,5.305471
CHEMBL1824266,inactive,,-5.954246,-0.458699
CHEMBL183460,inactive,,5.654528,-7.988128
CHEMBL186247,active,,-3.751198,-11.936285
CHEMBL1902627,inactive,,3.283153,18.859024
CHEMBL1944690,active,,-7.859882,-7.150212
CHEMBL1944691,active,,-8.573156,-12.652338
CHEMBL1945031,active,,-5.715877,-16.0044
CHEMBL1945033,active,,-7.077031,-5.427687
CHEMBL1945035,active,,-6.270688,-5.506315
CHEMBL1945037,active,,1.569336,6.075075
CHEMBL1945038,active,,-7.746387,-5.836119
CHEMBL1945039,active,,1.597852,10.158368
CHEMBL1945041,active,,-4.391001,2.062863
CHEMBL1945042,active,,-7.770219,-5.422616
CHEMBL1945043,active,,-7.580956,-5.561918
CHEMBL1945044,active,,-1.955209,-3.149378
CHEMBL1945289,active,,-6.331736,-12.169409
CHEMBL1945290,active,,-6.210775,-13.301809
CHEMBL1945291,active,,-4.295805,-14.612256
CHEMBL1945292,active,,-4.371373,-0.016795
CHEMBL1945296,active,,-8.16301,-11.982144
CHEMBL1945297,active,,-8.477716,-13.169024
CHEMBL1945298,active,,-5.74318,-13.31876
CHEMBL1945299,active,,-7.854187,-5.004745
CHEMBL1945300,inactive,,-7.366495,-13.126085
CHEMBL1945503,inactive,,-7.708185,-5.092769
CHEMBL1947157,active,,-6.796534,-11.666106
CHEMBL2011214,active,,-3.159508,6.661583
CHEMBL2011215,active,,-5.117514,-1.832895
CHEMBL2011216,active,,-6.70247,-4.366778
CHEMBL2011217,active,,-7.514535,-7.505725
CHEMBL2011218,active,,-8.346195,-8.245454
CHEMBL2011219,active,,-0.760013,-2.684138
CHEMBL2011220,active,,-3.018286,5.919627
CHEMBL2011223,active,,-5.58751,0.199503
CHEMBL2011224,active,,7.338832,13.252962
CHEMBL2011225,active,,6.3182,13.916646
CHEMBL2011226,active,,-7.98303,-0.574443
CHEMBL2011227,active,,-7.825689,-2.210435
CHEMBL2011228,active,,2.597759,9.260859
CHEMBL2011230,active,,-9.030849,-10.168835
CHEMBL2011231,active,,-8.025102,-10.317351
CHEMBL2011232,active,,3.407726,12.054668
CHEMBL2011233,active,,4.292774,12.69137
CHEMBL2011234,active,,4.075067,11.724777
CHEMBL2011235,active,,3.570445,9.853542
CHEMBL2012522,active,,-5.167614,-5.992911
CHEMBL201878,inactive,,-6.881911,5.023571
CHEMBL201946,inactive,,-6.852558,5.018973
CHEMBL202434,inactive,,-4.748938,6.454618
CHEMBL2031737,inactive,,-0.169217,0.464549
CHEMBL2088195,inactive,,-2.104435,-0.525052
CHEMBL2088201,active,,-1.697323,11.16721
CHEMBL2107826,inactive,,0.954664,4.742303
CHEMBL21343,inactive,,-2.342282,10.055888
CHEMBL2204360,active,,-3.295608,14.366185
CHEMBL22317,inactive,,2.079856,-2.878767
CHEMBL22386,inactive,,-6.878638,-16.470581
CHEMBL2261429,inactive,,-4.256044,-4.837481
CHEMBL226292,inactive,,5.762523,14.361079
CHEMBL226293,inactive,,0.708826,11.853103
CHEMBL228417,inactive,,-0.677352,16.079332
CHEMBL228996,inactive,,0.62112,12.080029
CHEMBL228998,inactive,,0.04923,14.718592
CHEMBL229388,inactive,,0.82659,14.778199
CHEMBL229400,inactive,,2.875571,12.268261
CHEMBL229401,inactive,,-1.137593,13.172309
CHEMBL229442,inactive,,-1.506678,19.878899
CHEMBL229477,inactive,,-1.005959,15.668015
CHEMBL229615,inactive,,-1.14435,18.047853
CHEMBL229616,inactive,,-1.344723,19.089458
CHEMBL2335156,inactive,,-2.429655,18.312023
CHEMBL2335158,active,,-2.293235,19.418993
CHEMBL236514,active,,0.706081,10.620256
CHEMBL238732,inactive,,5.000231,-7.695322
CHEMBL2391541,inactive,,2.240523,12.797301
CHEMBL2436555,inactive,,-2.568168,24.289505
CHEMBL2448165,inactive,,-12.507494,-33.167263
CHEMBL248548,inactive,,-7.569168,-9.506607
CHEMBL249359,inactive,,-4.847309,-5.111038
CHEMBL251580,inactive,,-2.948899,-4.756019
CHEMBL251581,inactive,,0.064339,-4.190495
CHEMBL251764,inactive,,-6.121214,-16.188412
CHEMBL266290,inactive,,6.022192,8.006257
CHEMBL268881,inactive,,0.039296,18.594427
CHEMBL26917,active,,3.30165,10.399826
CHEMBL269538,inactive,,-0.791281,23.642603
CHEMBL275291,active,,-7.239156,-14.327388
