,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-2.926978,-1.498406
CHEMBL102194,active,,3.519502,-3.538883
CHEMBL104076,inactive,,-3.137233,-6.971433
CHEMBL104127,inactive,,-1.782412,5.434597
CHEMBL104180,inactive,,-3.030969,5.552205
CHEMBL104193,active,,-5.558204,-17.578875
CHEMBL104222,inactive,,-4.768707,-4.165628
CHEMBL104377,inactive,,-1.758767,13.054504
CHEMBL10453,active,,3.046644,14.554544
CHEMBL104551,inactive,,-5.645644,-11.305235
CHEMBL10494,inactive,,6.435798,14.054756
CHEMBL104981,inactive,,-0.629258,3.440723
CHEMBL105434,inactive,,2.325927,16.24613
CHEMBL105968,inactive,,-7.422941,1.393206
CHEMBL106487,inactive,,-9.214114,-9.568089
CHEMBL107681,inactive,,-1.682021,-0.44544
CHEMBL1077199,inactive,,-2.496424,14.875513
CHEMBL1077238,inactive,,-5.816662,-6.699465
CHEMBL1077273,inactive,,2.217319,13.132483
CHEMBL1078394,inactive,,0.177178,0.876033
CHEMBL1078395,inactive,,-8.049487,-5.742779
CHEMBL1078465,inactive,,-4.496845,1.257156
CHEMBL1078495,inactive,,-8.090356,-10.733413
CHEMBL1078496,inactive,,-6.481317,-11.806504
CHEMBL1078576,inactive,,-1.943092,1.738261
CHEMBL1078696,inactive,,2.959918,-0.639486
CHEMBL1078749,inactive,,-8.228443,-11.938294
CHEMBL1078876,inactive,,2.701884,0.132865
CHEMBL1082500,active,,2.603409,-7.876764
CHEMBL1082501,active,,4.837087,-6.491252
CHEMBL1082827,active,,1.262977,-8.402303
CHEMBL1082828,active,,4.813251,-10.427321
CHEMBL1083216,inactive,,-5.880608,-6.082916
CHEMBL1083363,active,,2.245279,-16.302416
CHEMBL1083364,inactive,,2.116214,-8.224339
CHEMBL1083368,active,,5.00396,-6.931071
CHEMBL1083668,active,,3.082281,12.815792
CHEMBL1083670,active,,9.749263,-8.597667
CHEMBL1083832,inactive,,-2.616552,-5.118459
CHEMBL1083995,inactive,,-3.513744,-11.582411
CHEMBL1084136,inactive,,-7.843659,-6.094046
CHEMBL1084138,inactive,,4.180199,-3.780858
CHEMBL1084144,inactive,,2.185389,5.297534
CHEMBL1084145,inactive,,4.017623,14.136846
CHEMBL1084274,inactive,,0.827928,-16.671751
CHEMBL1084527,inactive,,2.375044,-9.701399
CHEMBL1084667,inactive,,-7.289912,-11.769294
CHEMBL1084707,active,,2.133086,-15.984815
CHEMBL1084772,active,,4.88598,-10.247376
CHEMBL1085441,inactive,,-0.003132,-4.950156
CHEMBL1085442,inactive,,-5.041922,-2.974163
CHEMBL1085693,inactive,,-8.185131,-3.797474
CHEMBL1085694,inactive,,-7.582589,-5.396234
CHEMBL1085897,inactive,,-3.7819,3.041999
CHEMBL1085898,inactive,,-0.747731,3.150325
CHEMBL1085929,inactive,,-3.251621,0.399175
CHEMBL1086005,active,,4.096596,-11.638682
CHEMBL1086149,inactive,,-1.463996,1.074431
CHEMBL1086411,inactive,,-3.67988,2.613482
CHEMBL1086542,active,,3.089926,-0.523614
CHEMBL1088076,inactive,,-0.381385,-6.44942
CHEMBL1089053,inactive,,2.420174,6.113703
CHEMBL1089386,inactive,,-2.872166,1.934448
CHEMBL1089395,inactive,,-0.377596,-3.139539
CHEMBL1089396,inactive,,-5.214784,-5.668181
CHEMBL1089735,inactive,,-4.393754,-0.159059
CHEMBL1090416,inactive,,-8.083738,-5.412539
CHEMBL1090424,inactive,,-8.080013,-3.788953
CHEMBL1090425,inactive,,-6.065628,-1.572026
CHEMBL1091478,inactive,,1.179024,8.33604
CHEMBL1091479,inactive,,1.156153,-8.842722
CHEMBL1091816,inactive,,-7.380071,-6.727272
CHEMBL1092502,inactive,,-6.19766,-1.56046
CHEMBL1093086,inactive,,-7.097013,-4.241629
CHEMBL1093385,inactive,,-6.668267,-4.289019
CHEMBL1093387,inactive,,-1.915103,7.447206
CHEMBL1094715,inactive,,5.56157,12.429767
CHEMBL1095042,inactive,,4.087859,10.026858
CHEMBL111201,inactive,,-7.162616,-12.140291
CHEMBL11629,inactive,,-5.516222,-2.614288
CHEMBL117405,active,,-0.036191,17.748192
CHEMBL1192069,inactive,,-7.990375,-12.809131
CHEMBL11944,inactive,,-1.100654,-7.266332
CHEMBL1204416,inactive,,-6.745169,-4.333244
CHEMBL1214999,inactive,,0.162976,10.611074
CHEMBL1215,inactive,,2.575683,20.95787
CHEMBL1221587,active,,1.1755,13.033929
CHEMBL1221636,active,,-2.099066,11.200863
CHEMBL1221637,active,,-3.060985,16.67371
CHEMBL1221733,inactive,,-5.141078,-2.209421
CHEMBL1221734,inactive,,-0.60639,10.173844
CHEMBL1221803,active,,-0.591271,13.25584
CHEMBL1221804,active,,4.025434,13.429731
CHEMBL1221862,active,,-2.678843,-1.555433
CHEMBL124584,inactive,,-5.653982,-5.888032
CHEMBL124929,active,,0.543976,-10.422531
CHEMBL125246,inactive,,-4.33751,-0.326252
CHEMBL1257204,inactive,,1.865447,-15.084044
CHEMBL1257438,inactive,,-4.816175,-10.074833
CHEMBL1257554,inactive,,-4.198909,-10.194078
CHEMBL1257674,inactive,,-6.148516,-0.083117
CHEMBL1257798,inactive,,1.091172,-9.770139
CHEMBL1258025,active,,1.992287,-10.734982
CHEMBL1258143,inactive,,-4.930488,-14.917844
CHEMBL1258223,inactive,,0.197886,-8.125334
CHEMBL1258260,inactive,,-5.041761,-15.84144
CHEMBL1258452,inactive,,-7.65802,-6.60464
CHEMBL1258485,inactive,,-3.957733,-3.01172
CHEMBL1258486,active,,0.170404,9.745428
CHEMBL1258598,inactive,,-4.442286,-4.333595
CHEMBL1258599,active,,-1.724598,5.069986
CHEMBL1258671,inactive,,6.194614,-4.604556
CHEMBL1258706,inactive,,-2.753062,-2.803827
CHEMBL1258707,inactive,,0.589438,1.926806
CHEMBL1258825,inactive,,0.291547,-12.901053
CHEMBL1258940,inactive,,-1.074757,-12.628921
CHEMBL125963,inactive,,-3.711411,-5.728837
CHEMBL12633,active,,-1.452902,17.957363
CHEMBL12674,active,,-4.32518,-2.950986
CHEMBL12718,active,,-2.111292,-5.81116
CHEMBL12762,active,,-0.817256,5.906796
CHEMBL12939,active,,-7.436327,-15.953617
CHEMBL12945,inactive,,-2.12911,-7.21928
CHEMBL12994,active,,4.151898,13.319268
CHEMBL13102,active,,0.396815,12.71255
CHEMBL13132,active,,0.854052,5.593871
CHEMBL13238,active,,-2.956692,0.545126
CHEMBL140908,active,,3.063096,8.935696
CHEMBL142995,inactive,,-2.04883,-8.49286
CHEMBL143463,active,,-2.00031,-14.971305
CHEMBL143865,inactive,,-0.813114,19.961462
CHEMBL162095,inactive,,-2.006789,1.351457
CHEMBL162182,inactive,,-0.945128,2.28206
CHEMBL162513,active,,-1.897846,6.919189
CHEMBL163153,inactive,,-2.206902,8.273883
CHEMBL1632158,inactive,,-0.438291,-7.328465
CHEMBL1632174,inactive,,0.096534,-3.192573
CHEMBL163363,inactive,,-3.918186,4.378892
CHEMBL164401,inactive,,-7.184596,-12.082556
CHEMBL165015,inactive,,-6.593452,-15.865536
CHEMBL165513,inactive,,-0.141729,-12.932456
CHEMBL166188,inactive,,-3.113465,-13.895836
CHEMBL166330,inactive,,-1.90716,20.316092
CHEMBL1684581,inactive,,-5.778873,-17.860416
CHEMBL1684585,inactive,,-3.243296,3.564933
CHEMBL177442,active,,-5.431821,-15.758116
CHEMBL1794855,inactive,,5.358881,23.892231
CHEMBL1800934,inactive,,1.685307,10.474907
CHEMBL1800935,inactive,,-2.33325,-16.542196
CHEMBL1800936,inactive,,1.205646,12.524341
CHEMBL1800960,inactive,,-2.065949,22.633766
CHEMBL1800961,inactive,,-0.008375,16.935907
CHEMBL1800962,inactive,,0.38602,13.502376
CHEMBL1807817,active,,-6.891487,-5.10588
CHEMBL1807820,active,,-7.230521,-10.267238
CHEMBL1807825,active,,-8.816884,-10.592927
CHEMBL1807827,active,,-9.110119,-10.950322
CHEMBL1807829,active,,-9.146893,-10.930379
CHEMBL1807832,active,,-3.726181,-6.600077
CHEMBL1807871,active,,-7.422573,-10.779637
