,activity,extra_tooltip,x,y
CHEMBL102194,active,,2.428512,-13.652341
CHEMBL104076,inactive,,-7.705308,-14.913671
CHEMBL104127,inactive,,-1.195035,2.472178
CHEMBL104180,inactive,,-3.290556,-0.850072
CHEMBL104377,inactive,,3.524658,9.066986
CHEMBL10453,active,,6.962058,14.527658
CHEMBL104551,inactive,,-7.679839,-6.756896
CHEMBL10494,inactive,,7.286535,14.528242
CHEMBL104981,inactive,,-3.172889,-3.576196
CHEMBL105383,inactive,,4.190551,19.011494
CHEMBL105434,inactive,,5.060813,13.755834
CHEMBL105968,inactive,,-3.272551,6.396113
CHEMBL107681,inactive,,0.053913,0.893312
CHEMBL1077199,inactive,,-4.155892,2.404751
CHEMBL1077238,inactive,,2.837229,15.05297
CHEMBL1078394,inactive,,-0.563571,8.389574
CHEMBL1078465,inactive,,-3.165347,-10.277548
CHEMBL1078495,inactive,,-0.773286,4.406369
CHEMBL1078496,inactive,,-1.967175,-5.650329
CHEMBL1078576,inactive,,-4.156058,9.152243
CHEMBL1078696,inactive,,1.464363,-0.727378
CHEMBL1078749,inactive,,1.701093,-1.804399
CHEMBL1082500,active,,0.678444,-14.270222
CHEMBL1082501,active,,3.222862,-9.209079
CHEMBL1082827,active,,2.603378,0.798852
CHEMBL1082828,active,,-0.527729,-14.747449
CHEMBL1083216,inactive,,-2.460438,-3.289136
CHEMBL1083363,active,,2.01757,-16.489456
CHEMBL1083364,inactive,,-1.619464,-16.26161
CHEMBL1083368,active,,1.167316,-13.39863
CHEMBL1083668,active,,7.039419,13.562018
CHEMBL1083670,active,,9.783192,-8.565434
CHEMBL1083831,inactive,,-3.70758,-11.912108
CHEMBL1083832,inactive,,-4.01368,-5.098262
CHEMBL1083995,inactive,,-2.365431,-6.549189
CHEMBL1084136,inactive,,-2.250639,0.883598
CHEMBL1084138,inactive,,-3.602664,-1.125138
CHEMBL1084144,inactive,,-5.696115,-8.746195
CHEMBL1084145,inactive,,1.995193,6.358449
CHEMBL1084274,inactive,,-1.29651,-17.04915
CHEMBL1084527,inactive,,0.643876,-14.111943
CHEMBL1084667,inactive,,-6.88982,-7.927378
