,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.702315,-6.742498
CHEMBL102194,active,,4.269012,-12.339628
CHEMBL104076,inactive,,-6.508287,-11.540804
CHEMBL104127,inactive,,-3.261396,0.689764
CHEMBL104180,inactive,,-5.311914,0.528803
CHEMBL104193,active,,-7.625691,-16.302036
CHEMBL104222,inactive,,-7.214029,-6.548387
CHEMBL104377,inactive,,-8.359789,-4.526075
CHEMBL10453,active,,6.110691,13.159251
CHEMBL10494,inactive,,5.497768,11.308285
CHEMBL104981,inactive,,-3.555388,3.01223
CHEMBL105383,inactive,,1.51184,21.156246
CHEMBL105434,inactive,,3.384398,17.216326
CHEMBL105968,inactive,,-4.824903,0.144165
CHEMBL106487,inactive,,0.790999,6.188816
CHEMBL107681,inactive,,-1.754829,3.824152
CHEMBL1077199,inactive,,-5.031104,0.51748
CHEMBL1077238,inactive,,-1.214357,7.1363
CHEMBL1077273,inactive,,-1.980748,11.558274
CHEMBL1078394,inactive,,-4.938782,5.692348
CHEMBL1078395,inactive,,-6.915237,-6.568326
CHEMBL1078465,inactive,,-0.869339,4.425535
CHEMBL1078495,inactive,,-3.558565,-8.251197
CHEMBL1078576,inactive,,-8.910233,-10.113832
CHEMBL1078696,inactive,,1.288399,2.198565
CHEMBL1082500,active,,4.145383,-10.087834
CHEMBL1082501,active,,5.361259,-8.791012
CHEMBL1082827,active,,1.48392,-10.121058
CHEMBL1082828,active,,1.120248,-13.945404
CHEMBL1083216,inactive,,0.850133,-8.211176
CHEMBL1083363,active,,2.328281,-16.477854
CHEMBL1083364,inactive,,-0.788016,-13.855617
CHEMBL1083368,active,,0.981282,-14.815353
CHEMBL1083668,active,,3.093914,10.060103
CHEMBL1083670,active,,9.763431,-8.594548
CHEMBL1083831,inactive,,-1.616548,1.601024
CHEMBL1083832,inactive,,1.59678,-4.702619
CHEMBL1083995,inactive,,-3.154619,-9.254578
CHEMBL1084136,inactive,,-2.577713,-0.206071
CHEMBL1084144,inactive,,-1.730113,-5.962718
CHEMBL1084145,inactive,,-2.535447,11.901082
CHEMBL1084274,inactive,,0.984616,-16.573946
CHEMBL1084527,inactive,,0.296906,-14.521876
CHEMBL1084667,inactive,,-6.870842,-7.739077
CHEMBL1084707,active,,1.020595,-16.914814
CHEMBL1084772,active,,-0.341337,-15.512316
CHEMBL1085441,inactive,,-3.390251,-0.533907
CHEMBL1085442,inactive,,0.24731,4.629865
CHEMBL1085694,inactive,,-0.751694,-1.877314
CHEMBL1085897,inactive,,-2.825211,16.542046
CHEMBL1085898,inactive,,0.174127,12.081429
CHEMBL1085929,inactive,,-5.507564,-4.356553
CHEMBL1086005,active,,0.996546,-15.347402
CHEMBL1086411,inactive,,2.570129,12.485936
CHEMBL1086542,active,,4.098689,-9.515439
CHEMBL1088076,inactive,,-1.821314,-7.56913
CHEMBL1089053,inactive,,-3.916484,-0.397099
CHEMBL1089386,inactive,,-3.150665,2.115489
CHEMBL1089387,inactive,,-2.397858,16.690098
CHEMBL1089395,inactive,,4.714854,2.773446
CHEMBL1089396,inactive,,-8.761234,-9.288286
CHEMBL1089735,inactive,,-6.923697,-7.542846
CHEMBL1090416,inactive,,-0.013947,9.650888
CHEMBL1090424,inactive,,3.672523,13.689405
CHEMBL1090425,inactive,,-7.787832,-3.810865
CHEMBL1091478,inactive,,-1.841805,9.055964
CHEMBL1091479,inactive,,-3.019909,-1.452326
CHEMBL1091816,inactive,,-6.855069,-4.897041
CHEMBL1092502,inactive,,0.084516,-2.776181
CHEMBL1093086,inactive,,-0.715489,16.131573
CHEMBL1093385,inactive,,-2.879802,-1.923002
CHEMBL1093387,inactive,,-3.408544,0.870857
CHEMBL1094715,inactive,,4.515479,11.657787
CHEMBL1095042,inactive,,-1.262452,13.837699
CHEMBL1095777,active,,4.109063,2.803765
CHEMBL11629,inactive,,-5.101754,-6.211202
CHEMBL117405,active,,6.239757,13.487536
CHEMBL1192069,inactive,,-6.247145,-5.746491
CHEMBL11944,inactive,,-6.01848,-10.444957
CHEMBL1204416,inactive,,-2.808633,-1.867246
CHEMBL1214998,inactive,,7.339863,0.410886
CHEMBL1215,inactive,,3.588078,19.697002
CHEMBL1221542,active,,-3.334638,6.102674
CHEMBL1221543,active,,1.259826,10.796169
CHEMBL1221587,active,,3.906257,11.949322
CHEMBL1221589,active,,4.618649,10.995934
CHEMBL1221636,active,,-1.155771,4.090907
CHEMBL1221638,active,,-2.205153,12.394945
CHEMBL1221680,active,,1.783863,1.339133
CHEMBL1221683,active,,-2.741455,-1.907743
CHEMBL1221732,active,,0.286324,-2.574799
