,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-5.783061,-5.466047
CHEMBL104127,inactive,,2.259156,10.02834
CHEMBL104180,inactive,,-6.730855,-6.168858
CHEMBL104222,inactive,,-0.014445,-6.320589
CHEMBL104377,inactive,,-1.801679,17.233175
CHEMBL10453,active,,6.145717,13.366574
CHEMBL104551,inactive,,-7.952201,-10.467708
CHEMBL10494,inactive,,7.379082,14.446064
CHEMBL104981,inactive,,-2.982594,-9.172961
CHEMBL105383,inactive,,5.432713,18.703079
CHEMBL105434,inactive,,3.254074,16.043446
CHEMBL107681,inactive,,-2.890342,12.812812
CHEMBL1077199,inactive,,4.047086,10.469676
CHEMBL1077238,inactive,,0.399192,-2.872083
CHEMBL1077273,inactive,,-8.278783,-4.46032
CHEMBL1078394,inactive,,-6.651248,-10.961349
CHEMBL1078465,inactive,,-0.877296,-3.250885
CHEMBL1078495,inactive,,-3.388904,-10.585217
CHEMBL1078496,inactive,,-7.770246,-11.637787
CHEMBL1078576,inactive,,-3.476516,14.717411
CHEMBL1078696,inactive,,2.390438,2.139012
CHEMBL1078749,inactive,,0.441299,6.315561
CHEMBL1078876,inactive,,-0.391542,-4.894691
CHEMBL1082500,active,,3.578164,-9.210026
CHEMBL1082501,active,,5.027899,-6.122252
CHEMBL1082827,active,,0.347665,-14.332334
CHEMBL1082828,active,,-2.354728,-15.50072
CHEMBL1083216,inactive,,1.730629,-4.713192
CHEMBL1083363,active,,2.429266,-16.312874
CHEMBL1083364,inactive,,-1.297913,-16.759033
CHEMBL1083368,active,,1.886134,-13.691033
CHEMBL1083668,active,,2.99804,9.256836
CHEMBL1083670,active,,9.71158,-8.471697
CHEMBL1083831,inactive,,-2.475112,1.470825
CHEMBL1083832,inactive,,-2.754918,-2.946212
CHEMBL1083995,inactive,,3.747605,-6.882122
CHEMBL1084136,inactive,,-5.09103,-3.369824
CHEMBL1084138,inactive,,-6.936085,-5.097317
CHEMBL1084144,inactive,,-6.707573,-4.343942
CHEMBL1084145,inactive,,-0.239856,5.448716
CHEMBL1084274,inactive,,1.19554,-16.437054
CHEMBL1084527,inactive,,1.176638,-15.288385
CHEMBL1084667,inactive,,-5.275149,-7.201945
CHEMBL1084707,active,,1.91583,-16.217052
CHEMBL1084772,active,,2.057442,-12.720806
CHEMBL1085441,inactive,,-2.365114,0.804365
CHEMBL1085442,inactive,,-2.823404,0.839767
CHEMBL1085693,inactive,,-7.714749,-5.520367
CHEMBL1085694,inactive,,-4.496995,-4.111222
CHEMBL1085897,inactive,,0.003159,0.994062
CHEMBL1085898,inactive,,-4.535762,-0.835206
CHEMBL1085929,inactive,,4.20892,2.146356
CHEMBL1086005,active,,0.664688,-15.595409
CHEMBL1086149,inactive,,-4.109676,0.842511
CHEMBL1086411,inactive,,-5.024476,-2.268248
CHEMBL1086542,active,,5.217538,-5.54864
CHEMBL1088076,inactive,,3.449329,-8.770566
CHEMBL1089053,inactive,,-2.343084,2.260355
CHEMBL1089386,inactive,,-3.057545,4.081345
CHEMBL1089387,inactive,,0.302466,6.998369
CHEMBL1089395,inactive,,-6.658752,-4.37615
CHEMBL1089396,inactive,,1.010646,7.504112
CHEMBL1089735,inactive,,-6.18949,-8.910018
CHEMBL1090416,inactive,,-0.25571,10.080646
CHEMBL1090424,inactive,,-0.456014,-1.370656
CHEMBL1090425,inactive,,3.118244,14.113227
CHEMBL1091478,inactive,,4.105196,6.922928
CHEMBL1091479,inactive,,-0.016405,-2.554347
CHEMBL1091816,inactive,,-6.003029,-7.360435
CHEMBL1092502,inactive,,-4.076392,-1.091888
CHEMBL1093086,inactive,,-7.137338,-3.685014
CHEMBL1093385,inactive,,-1.388863,-1.871771
