,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.5742,-6.420182
CHEMBL102194,active,,-4.721172,-17.359591
CHEMBL104076,inactive,,-0.521859,-3.347922
CHEMBL104127,inactive,,-2.834262,2.03691
CHEMBL104180,inactive,,2.965978,12.871135
CHEMBL104193,active,,-5.445193,-15.955351
CHEMBL104222,inactive,,-6.622969,-12.567455
CHEMBL104377,inactive,,-4.266512,-0.722066
CHEMBL10453,active,,5.896789,15.041093
CHEMBL104551,inactive,,-7.21698,-6.07726
CHEMBL10494,inactive,,7.180936,15.031178
CHEMBL104981,inactive,,4.619692,-6.793637
CHEMBL105434,inactive,,-0.121782,15.706927
CHEMBL105968,inactive,,-7.721217,1.582541
CHEMBL106487,inactive,,-2.702285,-1.928729
CHEMBL107681,inactive,,-5.877145,-1.789446
CHEMBL1077199,inactive,,0.505261,12.212358
CHEMBL1077238,inactive,,-5.640481,-4.830523
CHEMBL1077273,inactive,,-2.224834,4.748121
CHEMBL1078394,inactive,,-2.069003,-1.942832
CHEMBL1078395,inactive,,-5.84718,-6.779904
CHEMBL1078465,inactive,,-5.931378,-9.116208
CHEMBL1078495,inactive,,-5.683879,-11.128315
CHEMBL1078496,inactive,,-8.370757,-11.632684
CHEMBL1078576,inactive,,-3.689171,1.444909
CHEMBL1078696,inactive,,2.253924,-6.917987
CHEMBL1078876,inactive,,-1.637799,-2.343579
CHEMBL1082500,active,,4.631599,-6.824746
CHEMBL1082501,active,,5.055148,-3.657322
CHEMBL1082827,active,,-3.767121,-3.857992
CHEMBL1082828,active,,-1.062694,-13.085211
CHEMBL1083216,inactive,,-2.060982,0.078908
CHEMBL1083363,active,,2.375213,-16.426447
CHEMBL1083364,inactive,,2.590898,-7.300481
CHEMBL1083368,active,,-1.258451,-6.402455
CHEMBL1083668,active,,2.924247,10.128241
CHEMBL1083670,active,,0.700702,-4.978471
CHEMBL1083831,inactive,,-2.407279,8.305632
CHEMBL1083832,inactive,,-0.491729,-4.760269
CHEMBL1083995,inactive,,-4.926423,-15.047013
CHEMBL1084136,inactive,,-3.830124,-0.474055
CHEMBL1084138,inactive,,-7.352359,-14.82497
CHEMBL1084144,inactive,,-7.163723,-4.869051
CHEMBL1084145,inactive,,-8.440113,-5.326674
CHEMBL1084274,inactive,,0.876706,-16.606323
CHEMBL1084527,inactive,,0.828189,-4.933292
CHEMBL1084667,inactive,,-6.411795,-6.708787
CHEMBL1084707,active,,3.618826,-12.766384
CHEMBL1084772,active,,-0.44592,-15.024519
CHEMBL1085441,inactive,,-4.077206,-1.731641
CHEMBL1085442,inactive,,6.458734,12.841158
CHEMBL1085693,inactive,,-6.223457,-3.974538
CHEMBL1085694,inactive,,-5.501345,-2.494804
CHEMBL1085897,inactive,,-1.683959,4.694329
CHEMBL1085898,inactive,,3.374676,11.446094
CHEMBL1085929,inactive,,-3.005504,-1.304746
CHEMBL1086005,active,,4.090327,-12.045281
CHEMBL1086149,inactive,,-6.854166,-4.604666
CHEMBL1086411,inactive,,-3.469009,2.301939
CHEMBL1086542,active,,3.379489,-8.282201
CHEMBL1089053,inactive,,-6.514791,-5.098747
CHEMBL1089386,inactive,,-7.420859,-4.090091
CHEMBL1089387,inactive,,-8.647282,-5.780203
CHEMBL1089396,inactive,,-5.047152,-5.361127
CHEMBL1089735,inactive,,-2.526252,-0.385759
CHEMBL1090416,inactive,,-6.393485,-6.754064
CHEMBL1090424,inactive,,-5.829848,-1.239041
CHEMBL1090425,inactive,,-3.678463,1.741942
CHEMBL1091478,inactive,,1.799438,7.078595
CHEMBL1091479,inactive,,-3.503263,-4.888619
CHEMBL1091816,inactive,,-7.297171,-5.886796
CHEMBL1092502,inactive,,-7.67077,-4.114202
CHEMBL1093385,inactive,,-3.730252,-1.283956
CHEMBL1093387,inactive,,-7.528117,-7.682109
CHEMBL1094715,inactive,,2.034656,10.706686
CHEMBL1095042,inactive,,-3.178221,-0.811064
CHEMBL1095777,active,,-1.886288,17.708954
CHEMBL11629,inactive,,-4.659039,-6.647258
CHEMBL117405,active,,2.411928,15.304609
CHEMBL1192069,inactive,,-3.774975,3.454657
CHEMBL11944,inactive,,-5.774017,-8.678686
CHEMBL1204416,inactive,,-3.751053,-1.138122
CHEMBL1214998,inactive,,3.61524,11.930662
CHEMBL1214999,inactive,,4.283933,9.656489
CHEMBL1221541,active,,2.670821,6.794945
CHEMBL1221542,active,,0.761109,15.079577
CHEMBL1221587,active,,2.820529,12.362869
CHEMBL1221589,active,,-2.519911,15.358493
CHEMBL1221636,active,,1.744387,10.923685
CHEMBL1221682,active,,1.104029,6.827981
CHEMBL1221732,active,,3.988302,3.660634
CHEMBL1221734,inactive,,0.717426,9.220086
CHEMBL1221803,active,,2.065243,15.202865
CHEMBL1221804,active,,-4.406027,1.176085
CHEMBL1221861,active,,1.365895,12.902744
CHEMBL1221862,active,,-6.318718,-5.166223
CHEMBL123745,active,,-6.983948,-14.986588
CHEMBL124584,inactive,,5.445221,12.422882
CHEMBL125246,inactive,,-6.074092,-2.720324
CHEMBL1257204,inactive,,2.373718,-15.546326
CHEMBL1257438,inactive,,-5.052514,-8.411594
CHEMBL1257554,inactive,,-4.103927,-11.306451
CHEMBL1257674,inactive,,3.166445,1.907191
CHEMBL1257798,inactive,,-3.812858,-9.394219
CHEMBL1258025,active,,-1.02926,-5.554925
CHEMBL1258143,inactive,,1.702574,-12.198971
CHEMBL1258223,inactive,,6.030926,-6.797506
CHEMBL1258260,inactive,,-5.501157,-15.675016
CHEMBL1258452,inactive,,-3.994736,-2.126349
CHEMBL1258485,inactive,,-0.929298,-13.045299
CHEMBL1258486,active,,-3.492937,-0.870871
CHEMBL1258598,inactive,,-3.782543,-11.053774
CHEMBL1258599,active,,-3.626794,0.326685
CHEMBL1258671,inactive,,-0.547424,4.33277
CHEMBL1258706,inactive,,-3.378736,-2.448262
CHEMBL1258707,inactive,,-4.700409,-3.095309
CHEMBL1258825,inactive,,-0.829961,-12.590865
CHEMBL1258940,inactive,,2.489647,-9.543228
CHEMBL12633,active,,0.164952,13.795554
CHEMBL12674,active,,-1.142497,-7.446219
CHEMBL12718,active,,-6.225208,-12.13838
CHEMBL12762,active,,2.143492,12.678793
CHEMBL12939,active,,-4.965427,-10.662511
CHEMBL12945,inactive,,-7.487667,-12.13222
CHEMBL12994,active,,-2.423759,5.249208
CHEMBL13102,active,,2.413877,12.195436
CHEMBL13132,active,,-6.537662,-15.900353
CHEMBL13238,active,,-0.534564,-2.03578
CHEMBL140908,active,,2.596822,7.449995
CHEMBL142995,inactive,,6.42725,-7.175241
CHEMBL143463,active,,-5.084325,-17.759073
CHEMBL143865,inactive,,-0.958846,19.582102
CHEMBL162095,inactive,,-2.0126,4.647379
CHEMBL162182,inactive,,-2.538025,0.952265
CHEMBL162513,active,,3.184678,-0.47645
