,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-8.517529,-5.985489
CHEMBL102194,active,,0.628002,-4.492536
CHEMBL104076,inactive,,-7.233487,-13.350365
CHEMBL104127,inactive,,1.706742,13.92531
CHEMBL104180,inactive,,-2.869615,3.102255
CHEMBL104222,inactive,,-3.872242,-4.558439
CHEMBL104377,inactive,,-1.870269,15.404992
CHEMBL10453,active,,2.634175,15.559519
CHEMBL104551,inactive,,-1.557274,0.460097
CHEMBL10494,inactive,,7.364727,15.076517
CHEMBL104981,inactive,,-1.790266,0.861648
CHEMBL105383,inactive,,0.691956,20.744183
CHEMBL105434,inactive,,5.08753,16.803295
CHEMBL105968,inactive,,-2.675846,0.116126
CHEMBL107681,inactive,,0.327135,6.184337
CHEMBL1077199,inactive,,-4.118587,-0.91147
CHEMBL1077238,inactive,,-7.588257,-5.211415
CHEMBL1077273,inactive,,-4.112062,-0.380066
CHEMBL1078394,inactive,,-1.386739,2.192789
CHEMBL1078395,inactive,,-6.819287,-11.96451
CHEMBL1078465,inactive,,-3.70022,-13.167546
CHEMBL1078495,inactive,,-4.342849,1.438474
CHEMBL1078496,inactive,,-6.038709,-8.083715
CHEMBL1078576,inactive,,-7.711792,-12.517248
CHEMBL1078696,inactive,,3.355445,11.405379
CHEMBL1078876,inactive,,1.97661,-9.079436
CHEMBL1082500,active,,4.59836,-2.438592
CHEMBL1082501,active,,5.032046,-4.685169
CHEMBL1082827,active,,0.072262,-6.643474
CHEMBL1082828,active,,-2.676916,-8.013324
CHEMBL1083216,inactive,,-0.245165,-1.623467
CHEMBL1083363,active,,2.746526,-15.739249
CHEMBL1083364,inactive,,4.731461,-11.397461
CHEMBL1083368,active,,3.871285,-3.051804
CHEMBL1083668,active,,-0.856018,12.108449
CHEMBL1083670,active,,9.748497,-8.48824
CHEMBL1083831,inactive,,-2.037571,-7.503674
CHEMBL1083832,inactive,,-1.250914,7.518802
CHEMBL1083995,inactive,,-1.810566,-12.026413
CHEMBL1084136,inactive,,2.240252,7.710808
CHEMBL1084138,inactive,,-7.509148,-12.810344
CHEMBL1084144,inactive,,3.033381,6.420897
CHEMBL1084274,inactive,,0.94963,-16.621332
CHEMBL1084527,inactive,,2.706095,-6.234472
CHEMBL1084667,inactive,,-6.309137,-6.520115
CHEMBL1084707,active,,1.736745,-16.657694
CHEMBL1084772,active,,4.834921,-10.318345
CHEMBL1085441,inactive,,-6.169003,-3.795647
CHEMBL1085442,inactive,,-6.564547,-4.689239
CHEMBL1085693,inactive,,-6.332351,-4.074408
CHEMBL1085694,inactive,,-5.514766,1.775485
CHEMBL1085897,inactive,,-3.862702,1.478215
CHEMBL1085898,inactive,,1.569229,12.705359
CHEMBL1085929,inactive,,2.861617,8.507644
CHEMBL1086005,active,,3.485759,-10.433182
CHEMBL1086149,inactive,,-8.478639,-11.681273
CHEMBL1086411,inactive,,-3.171535,0.394527
CHEMBL1086542,active,,5.138999,-5.021654
CHEMBL1088076,inactive,,-3.789334,-0.300775
CHEMBL1089053,inactive,,-3.584592,0.94824
