,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.44786,-3.671444
CHEMBL102194,active,,-2.438387,-15.726492
CHEMBL104076,inactive,,-0.755236,3.132631
CHEMBL104127,inactive,,0.246514,6.354963
CHEMBL104180,inactive,,2.215497,11.34869
CHEMBL104193,active,,-6.202685,-9.252458
CHEMBL104222,inactive,,-6.473298,-10.095464
CHEMBL104377,inactive,,-0.126894,9.529552
CHEMBL10453,active,,6.006239,12.30073
CHEMBL104551,inactive,,-0.952114,-6.601671
CHEMBL10494,inactive,,3.073987,12.7921
CHEMBL104981,inactive,,-3.567044,-0.260324
CHEMBL105434,inactive,,3.88227,15.81494
CHEMBL105968,inactive,,-6.920247,1.115854
CHEMBL106487,inactive,,-6.256788,-5.920265
CHEMBL107681,inactive,,0.969145,8.69047
CHEMBL1077199,inactive,,4.996383,11.411994
CHEMBL1077273,inactive,,-3.726377,0.108414
CHEMBL1078394,inactive,,-0.600958,10.327791
CHEMBL1078395,inactive,,-3.406222,-1.215281
CHEMBL1078465,inactive,,-8.266728,-12.684112
CHEMBL1078495,inactive,,-2.89355,-2.473633
CHEMBL1078576,inactive,,-7.412027,-3.941378
CHEMBL1078696,inactive,,0.725357,-3.456551
CHEMBL1078749,inactive,,1.636816,1.795182
CHEMBL1078876,inactive,,-2.597032,-3.021583
CHEMBL1082500,active,,3.00173,-10.092926
CHEMBL1082501,active,,5.292545,-3.575135
CHEMBL1082827,active,,-0.443769,-10.497945
CHEMBL1082828,active,,0.52173,-13.440512
CHEMBL1083363,active,,1.917309,-15.906825
CHEMBL1083364,inactive,,-3.734936,-17.166359
CHEMBL1083368,active,,0.541629,-12.606311
CHEMBL1083668,active,,3.447683,10.293007
CHEMBL1083670,active,,9.703358,-8.571562
CHEMBL1083831,inactive,,-5.782874,-13.373743
CHEMBL1083832,inactive,,-0.438323,-8.191689
CHEMBL1083995,inactive,,2.534723,-12.026675
CHEMBL1084136,inactive,,2.577221,3.835348
CHEMBL1084144,inactive,,-5.075809,0.620533
CHEMBL1084145,inactive,,7.031731,13.49238
CHEMBL1084274,inactive,,1.190062,-16.487782
CHEMBL1084527,inactive,,-3.326981,-14.676025
CHEMBL1084667,inactive,,-6.069174,-6.837014
CHEMBL1084707,active,,1.720554,-16.585663
CHEMBL1084772,active,,6.521961,-7.520374
CHEMBL1085441,inactive,,-6.529346,-5.207546
CHEMBL1085442,inactive,,3.915888,11.508058
CHEMBL1085693,inactive,,-7.730277,-6.282887
CHEMBL1085694,inactive,,0.26776,-0.060529
CHEMBL1085897,inactive,,-7.874877,-4.127123
CHEMBL1085898,inactive,,-6.174835,-3.664526
CHEMBL1085929,inactive,,-0.410793,-2.438477
CHEMBL1086005,active,,1.249628,-14.891031
CHEMBL1086149,inactive,,1.047377,10.460581
CHEMBL1086411,inactive,,-5.013302,1.214007
CHEMBL1086542,active,,0.209603,-3.877114
CHEMBL1088076,inactive,,-9.564244,-7.646132
CHEMBL1089053,inactive,,-3.428403,0.372975
CHEMBL1089386,inactive,,-3.503367,1.066604
CHEMBL1089387,inactive,,0.662755,9.505337
CHEMBL1089395,inactive,,-1.187478,5.311415
CHEMBL1089396,inactive,,-3.266086,2.630224
CHEMBL1089735,inactive,,-1.306266,3.180781
CHEMBL1090416,inactive,,-4.999068,-3.243866
CHEMBL1090424,inactive,,-3.185318,4.00989
CHEMBL1091478,inactive,,-0.525659,2.209799
CHEMBL1091479,inactive,,-0.653888,-4.591079
CHEMBL1091816,inactive,,-4.278831,-0.822487
CHEMBL1092502,inactive,,-3.533141,-2.364431
CHEMBL1093086,inactive,,-4.632903,1.010196
CHEMBL1093385,inactive,,-5.798022,-6.078756
CHEMBL1093387,inactive,,-4.770781,0.781739
CHEMBL1094715,inactive,,-8.045589,-4.595141
CHEMBL1095777,active,,2.341662,0.249967
CHEMBL117405,active,,4.786465,10.680082
CHEMBL1192069,inactive,,-3.417963,11.036971
CHEMBL11944,inactive,,-0.356465,3.737634
CHEMBL1201237,active,,-1.8509,13.6021
CHEMBL1204416,inactive,,-5.739393,-6.281857
CHEMBL1221541,active,,2.863822,10.969421
CHEMBL1221636,active,,-2.873193,13.451694
CHEMBL1221638,active,,-0.947611,12.16692
CHEMBL1221733,inactive,,0.239248,0.122613
CHEMBL1221734,inactive,,-3.26152,9.846879
CHEMBL1221803,active,,2.090859,14.503766
CHEMBL1221862,active,,2.931686,6.170386
CHEMBL123745,active,,2.095224,-13.673104
CHEMBL124584,inactive,,-5.42194,-6.410873
CHEMBL125246,inactive,,-2.347029,-5.375193
CHEMBL1257204,inactive,,0.095681,-13.311614
CHEMBL1257438,inactive,,-6.140651,-10.435114
CHEMBL1257554,inactive,,3.820735,3.591336
CHEMBL1257798,inactive,,-1.313062,-9.6022
CHEMBL1258025,active,,1.545003,-4.761133
CHEMBL1258143,inactive,,-5.204781,-9.938331
CHEMBL1258223,inactive,,5.527994,-7.368737
CHEMBL1258260,inactive,,-3.559211,-9.418177
CHEMBL1258452,inactive,,6.491309,-4.689477
CHEMBL1258485,inactive,,-2.168768,-9.73954
CHEMBL1258486,active,,-3.908003,-3.888388
CHEMBL1258598,inactive,,-6.37789,-8.796747
CHEMBL1258599,active,,0.046768,4.985924
CHEMBL1258671,inactive,,6.494775,-4.262122
CHEMBL1258706,inactive,,1.517954,2.724685
CHEMBL1258707,inactive,,-7.069729,-8.553211
CHEMBL1258825,inactive,,-3.871015,-14.411563
CHEMBL1258940,inactive,,-0.917106,-11.943416
CHEMBL125963,inactive,,-7.514712,-14.05246
CHEMBL12633,active,,3.344719,11.854194
CHEMBL12674,active,,-7.367619,-5.181959
CHEMBL12718,active,,-3.654375,2.980865
CHEMBL12762,active,,-5.129259,2.261586
CHEMBL12945,inactive,,0.171401,-6.969497
CHEMBL12994,active,,-0.031698,10.655975
CHEMBL13102,active,,0.364824,9.219432
CHEMBL13238,active,,-1.684026,18.880814
CHEMBL140908,active,,-5.570455,1.590559
CHEMBL142995,inactive,,3.565077,-8.418302
CHEMBL143463,active,,-3.61172,-15.49364
CHEMBL143865,inactive,,-0.862488,19.928045
CHEMBL162095,inactive,,-4.317033,2.883249
CHEMBL162182,inactive,,-0.134453,7.520103
CHEMBL162513,active,,-1.74001,5.288952
