,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-4.691657,-6.131567
CHEMBL104076,inactive,,-6.78506,-13.452601
CHEMBL104127,inactive,,1.101237,9.726378
CHEMBL104180,inactive,,-5.55098,0.664656
CHEMBL104193,active,,-5.921025,-13.730876
CHEMBL104222,inactive,,-3.830301,-6.876701
CHEMBL104377,inactive,,-0.004268,-1.967688
CHEMBL10453,active,,5.97741,14.780124
CHEMBL104551,inactive,,2.324492,3.583042
CHEMBL10494,inactive,,5.448483,14.733521
CHEMBL104981,inactive,,-0.669864,0.063125
CHEMBL105434,inactive,,5.26214,17.412186
CHEMBL105968,inactive,,0.178966,-1.363587
CHEMBL106487,inactive,,-5.134779,-5.848872
CHEMBL107681,inactive,,-6.147174,-12.657269
CHEMBL1077199,inactive,,4.07278,11.648446
CHEMBL1077238,inactive,,-0.616655,2.759025
CHEMBL1077273,inactive,,-7.223819,-5.394241
CHEMBL1078394,inactive,,-1.822544,3.654628
CHEMBL1078395,inactive,,-1.27981,-3.510592
CHEMBL1078465,inactive,,2.704299,2.556459
CHEMBL1078495,inactive,,-6.103762,-9.751224
CHEMBL1078496,inactive,,-6.608855,-5.024369
CHEMBL1078696,inactive,,1.262057,-0.526895
CHEMBL1078749,inactive,,-6.49782,-12.515873
CHEMBL1078876,inactive,,-6.634602,-6.71115
CHEMBL1082500,active,,5.011463,-7.362497
CHEMBL1082501,active,,3.332731,-2.408994
CHEMBL1082827,active,,5.109143,-8.773771
CHEMBL1082828,active,,1.938743,-8.593379
CHEMBL1083216,inactive,,-6.5054,-12.377209
CHEMBL1083363,active,,2.711065,-15.950383
CHEMBL1083364,inactive,,5.264606,-6.455373
CHEMBL1083368,active,,2.484405,-6.64518
CHEMBL1083668,active,,3.411428,9.971508
CHEMBL1083670,active,,9.710346,-8.346036
CHEMBL1083831,inactive,,-4.491995,-6.664349
CHEMBL1083832,inactive,,-7.672637,-4.436119
CHEMBL1083995,inactive,,-3.193412,-15.974511
CHEMBL1084136,inactive,,-6.318131,-6.096254
CHEMBL1084138,inactive,,-7.635696,-7.05589
CHEMBL1084144,inactive,,-1.026172,7.637033
CHEMBL1084145,inactive,,-8.219953,-6.060096
CHEMBL1084274,inactive,,1.319359,-16.398293
CHEMBL1084527,inactive,,1.474666,-11.890947
CHEMBL1084667,inactive,,-6.018173,-11.763632
CHEMBL1084707,active,,1.838232,-16.643206
CHEMBL1084772,active,,4.477817,-10.32091
CHEMBL1085441,inactive,,-4.335392,7.159592
CHEMBL1085442,inactive,,-7.21447,-8.265821
CHEMBL1085693,inactive,,-3.761992,0.860935
CHEMBL1085694,inactive,,-8.094637,-11.352449
CHEMBL1085897,inactive,,1.266928,6.379068
CHEMBL1085898,inactive,,2.874378,8.131045
CHEMBL1085929,inactive,,2.088014,3.121989
CHEMBL1086005,active,,3.755672,-11.780069
CHEMBL1086411,inactive,,-4.151258,-2.806254
CHEMBL1086542,active,,3.656086,-4.033185
CHEMBL1088076,inactive,,-2.784999,1.550034
