,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-4.42494,3.062791
CHEMBL104127,inactive,,2.575111,11.130623
CHEMBL104180,inactive,,-3.423274,5.892559
CHEMBL104193,active,,-0.338229,-11.902188
CHEMBL104222,inactive,,-7.301632,-9.954316
CHEMBL104377,inactive,,-1.388269,2.293666
CHEMBL10453,active,,4.361113,15.376276
CHEMBL104551,inactive,,-5.604558,-9.415306
CHEMBL10494,inactive,,1.999114,15.326345
CHEMBL104981,inactive,,2.799637,6.014294
CHEMBL105434,inactive,,4.36422,15.754943
CHEMBL105968,inactive,,5.041876,-0.029585
CHEMBL106487,inactive,,0.27858,-0.394526
CHEMBL107681,inactive,,-2.282579,8.001972
CHEMBL1077199,inactive,,1.295136,4.596745
CHEMBL1077238,inactive,,-1.272747,-1.827106
CHEMBL1077273,inactive,,-2.653651,8.586935
CHEMBL1078394,inactive,,0.825382,8.525012
CHEMBL1078395,inactive,,3.558271,-2.145308
CHEMBL1078465,inactive,,-6.609095,-3.383825
CHEMBL1078495,inactive,,-0.101315,2.223971
CHEMBL1078496,inactive,,-2.973996,15.8117
CHEMBL1078576,inactive,,-2.613476,16.780493
CHEMBL1078696,inactive,,-3.461431,-1.227061
CHEMBL1078749,inactive,,-8.993341,-10.254324
CHEMBL1078876,inactive,,-0.843395,-4.900174
CHEMBL1082500,active,,2.726035,-10.658639
CHEMBL1082501,active,,5.487034,-5.678587
CHEMBL1082827,active,,3.877831,-1.726106
CHEMBL1082828,active,,-2.081814,-10.204643
CHEMBL1083216,inactive,,-5.568316,-11.560965
CHEMBL1083363,active,,2.429781,-16.269735
CHEMBL1083364,inactive,,1.587147,-10.782728
CHEMBL1083368,active,,4.65646,-7.509869
CHEMBL1083668,active,,4.058788,9.975668
CHEMBL1083670,active,,9.76416,-8.371879
CHEMBL1083832,inactive,,0.0905,-6.067777
CHEMBL1083995,inactive,,0.989871,-8.12919
CHEMBL1084136,inactive,,-8.073246,-3.862577
CHEMBL1084138,inactive,,-9.048874,-10.346461
CHEMBL1084145,inactive,,-3.949835,-3.687393
CHEMBL1084274,inactive,,1.026266,-16.643074
CHEMBL1084527,inactive,,-3.0986,-7.862744
CHEMBL1084667,inactive,,-6.821134,-9.997541
CHEMBL1084707,active,,0.915497,-17.099499
CHEMBL1084772,active,,0.8161,-13.840899
CHEMBL1085441,inactive,,-2.372295,5.243409
CHEMBL1085442,inactive,,0.610159,1.5535
CHEMBL1085693,inactive,,3.804224,12.995756
CHEMBL1085694,inactive,,-3.992853,-2.496135
CHEMBL1085897,inactive,,2.301958,13.712317
CHEMBL1085929,inactive,,-4.264723,-8.181821
CHEMBL1086005,active,,2.121005,-15.191545
CHEMBL1086149,inactive,,-8.281525,-5.92812
CHEMBL1086411,inactive,,-7.590006,-7.95297
CHEMBL1086542,active,,0.478573,-2.073781
CHEMBL1088076,inactive,,-4.944963,-10.484367
CHEMBL1089053,inactive,,-6.324901,-10.080637
CHEMBL1089386,inactive,,1.297799,8.892807
CHEMBL1089395,inactive,,-3.865954,-2.431717
CHEMBL1089396,inactive,,-7.041041,-7.249368
CHEMBL1090416,inactive,,2.583128,8.182561
CHEMBL1090424,inactive,,-3.655113,-0.787913
CHEMBL1090425,inactive,,-6.254865,-2.035643
CHEMBL1091478,inactive,,2.103227,10.558336
CHEMBL1091479,inactive,,-0.119487,-2.078109
CHEMBL1091816,inactive,,0.151513,-3.644975
CHEMBL1092502,inactive,,-2.01883,11.218987
CHEMBL1093086,inactive,,3.589142,11.119431
CHEMBL1093385,inactive,,-3.719435,-2.182719
CHEMBL1093387,inactive,,-0.02211,4.028533
CHEMBL1094715,inactive,,-3.251006,0.314873
CHEMBL1095042,inactive,,-1.77037,2.739284
CHEMBL1095777,active,,5.05842,12.221563
CHEMBL115280,inactive,,3.159562,2.572371
CHEMBL11629,inactive,,-5.503715,-2.171349
CHEMBL117405,active,,0.21502,18.944759
CHEMBL1192069,inactive,,-3.369987,11.662143
CHEMBL11944,inactive,,-3.658045,-10.228592
CHEMBL1204416,inactive,,-3.713199,-2.177695
CHEMBL1214998,inactive,,6.94386,0.839118
CHEMBL1215,inactive,,2.647018,20.824396
CHEMBL1221542,active,,2.130785,5.525789
CHEMBL1221543,active,,-0.133637,8.735369
CHEMBL1221587,active,,3.772809,12.313799
CHEMBL1221589,active,,-3.713919,1.674546
CHEMBL1221636,active,,-1.771731,11.824037
CHEMBL1221638,active,,5.90878,14.018137
CHEMBL1221679,active,,2.831512,9.752361
CHEMBL1221803,active,,5.334606,11.973828
CHEMBL1221804,active,,2.207274,10.695293
CHEMBL1221862,active,,-3.213912,1.98876
CHEMBL124584,inactive,,-4.01544,5.06366
CHEMBL124929,active,,-6.170551,-16.827572
CHEMBL1257204,inactive,,2.043746,-15.69923
CHEMBL1257438,inactive,,-0.764474,-8.896961
CHEMBL1257554,inactive,,-5.407333,-9.719015
