,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,0.485768,-0.792227
CHEMBL104076,inactive,,-8.150372,-11.080023
CHEMBL104127,inactive,,7.16718,13.066836
CHEMBL104193,active,,1.557042,-0.858645
CHEMBL104377,inactive,,-2.070513,-6.261659
CHEMBL10453,active,,4.746307,14.24973
CHEMBL104551,inactive,,-2.822186,7.792099
CHEMBL10494,inactive,,4.41188,11.915384
CHEMBL104981,inactive,,0.656982,-3.180619
CHEMBL105383,inactive,,1.262137,21.782196
CHEMBL105434,inactive,,4.550866,16.033915
CHEMBL105968,inactive,,-1.441827,-4.676966
CHEMBL106487,inactive,,4.067457,-4.376809
CHEMBL107681,inactive,,-0.278816,6.293068
CHEMBL1077199,inactive,,0.383878,9.955051
CHEMBL1077238,inactive,,-2.149664,16.486301
CHEMBL1077273,inactive,,-1.836023,17.887159
CHEMBL1078394,inactive,,-0.441996,9.655619
CHEMBL1078395,inactive,,-7.498013,-10.191071
CHEMBL1078495,inactive,,-1.139049,-3.741784
CHEMBL1078496,inactive,,-2.021186,1.169049
CHEMBL1078749,inactive,,-4.652807,-6.736856
CHEMBL1082500,active,,0.563658,-13.305203
CHEMBL1082501,active,,-0.128545,-10.163886
CHEMBL1082827,active,,-2.443429,-16.011713
CHEMBL1082828,active,,6.817634,-3.478891
CHEMBL1083363,active,,2.529604,-16.383041
CHEMBL1083364,inactive,,1.721846,-10.987631
CHEMBL1083368,active,,2.439506,-13.080849
CHEMBL1083668,active,,3.480474,10.2294
CHEMBL1083670,active,,9.792087,-8.625812
CHEMBL1083831,inactive,,-4.136511,-11.506249
CHEMBL1083832,inactive,,-6.284391,-6.417324
CHEMBL1084136,inactive,,-0.488792,12.287205
CHEMBL1084144,inactive,,-0.432257,-0.355384
CHEMBL1084145,inactive,,2.67575,2.094218
CHEMBL1084274,inactive,,1.094452,-15.33249
CHEMBL1084527,inactive,,3.607497,-10.365626
CHEMBL1084667,inactive,,-3.413004,0.446843
