,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-2.76206,4.835593
CHEMBL102194,active,,-3.136956,-17.060896
CHEMBL104127,inactive,,1.141507,14.899149
CHEMBL104180,inactive,,2.554246,12.818785
CHEMBL104222,inactive,,-0.743425,-2.08861
CHEMBL104377,inactive,,1.402735,0.521715
CHEMBL10453,active,,6.422257,14.419241
CHEMBL104551,inactive,,1.232594,13.302037
CHEMBL10494,inactive,,6.627542,14.121763
CHEMBL104981,inactive,,-4.275753,1.297854
CHEMBL105383,inactive,,0.587304,21.223989
CHEMBL105434,inactive,,4.284336,18.067667
CHEMBL105968,inactive,,-9.033278,1.813474
CHEMBL106487,inactive,,-2.5736,-6.146882
CHEMBL107681,inactive,,-3.69997,-2.844551
CHEMBL1077199,inactive,,-0.820964,5.075117
CHEMBL1077238,inactive,,-0.38896,14.836454
CHEMBL1077273,inactive,,-1.776636,4.499505
CHEMBL1078394,inactive,,-1.544588,2.466132
CHEMBL1078395,inactive,,-1.424096,5.341593
CHEMBL1078465,inactive,,-2.026111,-4.773656
CHEMBL1078495,inactive,,-0.958834,-11.936538
CHEMBL1078496,inactive,,3.190591,0.413453
CHEMBL1078576,inactive,,4.713791,12.8415
CHEMBL1078696,inactive,,1.351642,15.341542
CHEMBL1078749,inactive,,-1.752692,2.733933
CHEMBL1078876,inactive,,0.349266,2.27687
CHEMBL1082500,active,,0.553357,-8.933966
CHEMBL1082501,active,,4.508516,-8.555901
CHEMBL1082827,active,,5.549984,-4.221403
CHEMBL1082828,active,,-4.226333,-5.815454
CHEMBL1083216,inactive,,-0.294383,-10.528378
CHEMBL1083363,active,,2.695277,-16.32296
CHEMBL1083364,inactive,,1.998672,-12.412601
CHEMBL1083368,active,,4.295901,-6.836723
CHEMBL1083668,active,,3.184836,10.183302
CHEMBL1083670,active,,9.697474,-8.566076
CHEMBL1083831,inactive,,-3.729635,-1.64995
CHEMBL1083832,inactive,,2.350567,0.688696
CHEMBL1083995,inactive,,3.448,-3.066855
CHEMBL1084136,inactive,,-0.441722,-1.019175
CHEMBL1084138,inactive,,-1.457539,1.928025
CHEMBL1084144,inactive,,-2.082403,0.598379
CHEMBL1084145,inactive,,-2.333388,1.659726
