,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-5.57997,-5.945946
CHEMBL104076,inactive,,-6.581661,-17.300858
CHEMBL104127,inactive,,0.904636,9.983353
CHEMBL104180,inactive,,-1.76209,6.397045
CHEMBL104193,active,,-1.975727,-0.386268
CHEMBL104222,inactive,,-1.908124,-2.78885
CHEMBL104377,inactive,,1.479355,9.540122
CHEMBL10453,active,,6.158898,14.281029
CHEMBL104551,inactive,,-3.248841,-12.131145
CHEMBL10494,inactive,,2.897846,13.328441
CHEMBL104981,inactive,,-3.567266,-3.585233
CHEMBL105968,inactive,,-4.239146,-5.622447
CHEMBL106487,inactive,,-0.996798,-2.416757
CHEMBL107681,inactive,,-4.539278,-7.86024
CHEMBL1077199,inactive,,5.368877,12.172886
CHEMBL1077238,inactive,,-2.737728,4.893088
CHEMBL1077273,inactive,,-4.83281,-1.356428
CHEMBL1078394,inactive,,-2.162592,0.704393
CHEMBL1078395,inactive,,1.576967,-5.152531
CHEMBL1078465,inactive,,-4.234917,-5.440047
CHEMBL1078495,inactive,,3.206051,-9.498202
CHEMBL1078496,inactive,,-8.236069,-5.564245
CHEMBL1078576,inactive,,-9.125826,-10.763999
CHEMBL1078696,inactive,,-0.90398,-11.842402
CHEMBL1078749,inactive,,-6.638529,-4.720884
CHEMBL1078876,inactive,,-5.353638,-6.408717
CHEMBL1082500,active,,0.546772,-15.135186
CHEMBL1082501,active,,0.462972,-12.459793
CHEMBL1082827,active,,0.127471,-14.688678
CHEMBL1082828,active,,-3.697269,-12.47958
CHEMBL1083363,active,,2.453635,-16.257116
CHEMBL1083364,inactive,,1.283303,-11.318351
CHEMBL1083368,active,,0.304697,-7.934319
CHEMBL1083668,active,,-5.193824,1.959457
CHEMBL1083670,active,,-0.541465,-3.105074
CHEMBL1083831,inactive,,-7.419563,-15.389176
CHEMBL1083832,inactive,,2.641848,-1.373177
CHEMBL1083995,inactive,,-4.625378,-14.253545
CHEMBL1084136,inactive,,4.235893,12.896554
CHEMBL1084138,inactive,,-7.110171,-6.344778
CHEMBL1084144,inactive,,-2.415717,-3.82636
CHEMBL1084145,inactive,,-1.124459,1.23186
CHEMBL1084274,inactive,,0.137689,-17.044094
CHEMBL1084527,inactive,,-1.605534,-15.66028
CHEMBL1084667,inactive,,-5.103288,-11.748307
CHEMBL1084707,active,,1.525233,-16.508104
CHEMBL1084772,active,,0.368529,-15.097831
CHEMBL1085442,inactive,,-0.573922,4.985362
CHEMBL1085693,inactive,,5.472496,-0.927089
CHEMBL1085694,inactive,,-4.890676,-13.90142
CHEMBL1085897,inactive,,-7.593015,-4.208904
CHEMBL1085898,inactive,,-3.857941,-0.517363
CHEMBL1085929,inactive,,-6.310981,-3.203074
CHEMBL1086005,active,,0.938471,-15.345993
CHEMBL1086149,inactive,,-6.821994,-6.274516
CHEMBL1086411,inactive,,-5.389832,-2.660073
CHEMBL1086542,active,,-0.374594,-13.372212
CHEMBL1088076,inactive,,-6.76654,-9.695017
CHEMBL1089053,inactive,,-6.844574,-5.046965
CHEMBL1089386,inactive,,-9.137178,-6.811869
CHEMBL1089387,inactive,,-9.119744,-9.993328
CHEMBL1089395,inactive,,-2.135288,-4.993655
CHEMBL1089396,inactive,,-6.06511,-1.88707
CHEMBL1089735,inactive,,0.564062,-5.767371
CHEMBL1090416,inactive,,4.12361,10.616082
CHEMBL1090424,inactive,,1.66587,6.26402
CHEMBL1090425,inactive,,1.743439,10.210175
CHEMBL1091478,inactive,,-1.815871,2.693407
CHEMBL1091479,inactive,,-7.303621,-12.75393
CHEMBL1091816,inactive,,-4.743493,-6.940625
CHEMBL1092502,inactive,,-3.550807,-1.525818
CHEMBL1093086,inactive,,-8.17146,-3.858447
CHEMBL1093385,inactive,,-7.124352,-11.769749
CHEMBL1093387,inactive,,-3.501799,3.715003
CHEMBL1094715,inactive,,-4.709254,-1.904455
CHEMBL1095042,inactive,,-7.995988,-5.77778
CHEMBL111201,inactive,,-6.263489,-13.665159
CHEMBL115280,inactive,,-0.515167,7.55261
CHEMBL11629,inactive,,-7.643871,-10.327602
CHEMBL117405,active,,5.252113,13.27272
CHEMBL1192069,inactive,,7.837224,14.406776
CHEMBL11944,inactive,,-5.635546,-12.416442
CHEMBL1201237,active,,0.837247,14.574664
CHEMBL1204416,inactive,,-7.141172,-11.860393
CHEMBL1214999,inactive,,2.262837,11.762591
CHEMBL1221541,active,,2.74648,8.876448
CHEMBL1221587,active,,0.768158,13.092824
CHEMBL1221589,active,,1.62247,14.014955
CHEMBL1221590,active,,-3.139343,11.61786
CHEMBL1221636,active,,-3.114537,3.517589
CHEMBL1221680,active,,-6.013942,-1.330693
CHEMBL1221682,active,,0.335187,7.341998
CHEMBL1221683,active,,1.997479,5.530842
CHEMBL1221733,inactive,,0.461964,-3.832778
CHEMBL1221734,inactive,,4.282849,-3.143501
CHEMBL1221803,active,,2.34869,15.522582
CHEMBL1221804,active,,-2.531215,4.464028
CHEMBL1221861,active,,5.706089,14.667529
CHEMBL1221862,active,,2.35043,9.968086
CHEMBL124584,inactive,,-6.943046,-8.646174
CHEMBL124929,active,,-5.514256,-17.641747
CHEMBL125246,inactive,,-3.552958,-2.611418
CHEMBL1257204,inactive,,-4.32532,-18.335905
CHEMBL1257438,inactive,,-4.879972,-14.968406
CHEMBL1257554,inactive,,-4.677352,-14.882262
CHEMBL1257674,inactive,,-5.371303,-4.979955
CHEMBL1257798,inactive,,-5.293404,-15.302367
CHEMBL1258025,active,,-5.470763,-13.509403
CHEMBL1258143,inactive,,-5.082499,-15.586777
CHEMBL1258223,inactive,,-1.79213,-2.001036
CHEMBL1258260,inactive,,-5.448934,-15.347668
CHEMBL1258452,inactive,,6.141173,-5.352761
CHEMBL1258485,inactive,,-5.235295,-15.05336
CHEMBL1258486,active,,-4.807014,-4.689264
CHEMBL1258598,inactive,,-7.619741,-13.450519
CHEMBL1258599,active,,-2.944527,-3.176902
CHEMBL1258671,inactive,,-1.839304,2.850483
CHEMBL1258706,inactive,,-6.8053,-11.609523
CHEMBL1258707,inactive,,-5.212379,-7.285816
CHEMBL1258825,inactive,,-3.834039,-15.139388
CHEMBL1258940,inactive,,-6.13089,-12.573519
CHEMBL125963,inactive,,-4.59749,-8.491288
CHEMBL12633,active,,-5.532526,-0.338285
CHEMBL12674,active,,-7.808872,-4.513803
CHEMBL12718,active,,-7.654333,-12.696024
CHEMBL12762,active,,5.098544,13.208412
CHEMBL12945,inactive,,-7.78076,-10.735458
CHEMBL12994,active,,5.968332,13.333727
CHEMBL13102,active,,6.807923,13.997155
CHEMBL13132,active,,-8.133296,-12.404817
CHEMBL13467,active,,-3.924406,-14.627309
CHEMBL140908,active,,-4.209337,2.576968
CHEMBL142995,inactive,,-4.832394,-9.78552
CHEMBL143463,active,,0.144911,-15.821963
CHEMBL143865,inactive,,-0.79729,19.949442
