,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-6.463539,-7.643846
CHEMBL100624,inactive,,-3.529837,1.428614
CHEMBL100624,inactive,,-5.053215,-5.709036
CHEMBL100624,inactive,,-6.692801,-6.741132
CHEMBL100624,inactive,,-2.926978,-1.498406
CHEMBL100624,inactive,,-7.702315,-6.742498
CHEMBL100624,inactive,,-5.783061,-5.466047
CHEMBL100624,inactive,,-7.5742,-6.420182
CHEMBL100624,inactive,,-8.517529,-5.985489
CHEMBL100624,inactive,,-7.44786,-3.671444
CHEMBL100624,inactive,,-4.691657,-6.131567
CHEMBL100624,inactive,,-4.42494,3.062791
CHEMBL100624,inactive,,0.485768,-0.792227
CHEMBL100624,inactive,,-2.76206,4.835593
CHEMBL100624,inactive,,-5.57997,-5.945946
CHEMBL102194,active,,-3.564779,-15.7889
CHEMBL102194,active,,3.519502,-3.538883
CHEMBL102194,active,,2.428512,-13.652341
CHEMBL102194,active,,4.269012,-12.339628
CHEMBL102194,active,,-4.721172,-17.359591
CHEMBL102194,active,,0.628002,-4.492536
CHEMBL102194,active,,-2.438387,-15.726492
CHEMBL102194,active,,-3.136956,-17.060896
CHEMBL104,inactive,,-3.4766,9.728776
CHEMBL104076,inactive,,-7.641483,-16.447784
CHEMBL104076,inactive,,-2.315636,-6.754722
CHEMBL104076,inactive,,-7.524236,-16.076233
CHEMBL104076,inactive,,-7.403419,-16.405449
CHEMBL104076,inactive,,-3.137233,-6.971433
CHEMBL104076,inactive,,-7.705308,-14.913671
CHEMBL104076,inactive,,-6.508287,-11.540804
CHEMBL104076,inactive,,-0.521859,-3.347922
CHEMBL104076,inactive,,-7.233487,-13.350365
CHEMBL104076,inactive,,-0.755236,3.132631
CHEMBL104076,inactive,,-6.78506,-13.452601
CHEMBL104076,inactive,,-8.150372,-11.080023
CHEMBL104076,inactive,,-6.581661,-17.300858
CHEMBL104127,inactive,,2.68019,14.48779
CHEMBL104127,inactive,,-1.5185,6.94191
CHEMBL104127,inactive,,2.374138,11.095135
CHEMBL104127,inactive,,2.146093,11.690638
CHEMBL104127,inactive,,1.340897,13.807072
CHEMBL104127,inactive,,-1.782412,5.434597
CHEMBL104127,inactive,,-1.195035,2.472178
CHEMBL104127,inactive,,-3.261396,0.689764
CHEMBL104127,inactive,,2.259156,10.02834
CHEMBL104127,inactive,,-2.834262,2.03691
CHEMBL104127,inactive,,1.706742,13.92531
CHEMBL104127,inactive,,0.246514,6.354963
CHEMBL104127,inactive,,1.101237,9.726378
CHEMBL104127,inactive,,2.575111,11.130623
CHEMBL104127,inactive,,7.16718,13.066836
CHEMBL104127,inactive,,1.141507,14.899149
CHEMBL104127,inactive,,0.904636,9.983353
CHEMBL104180,inactive,,-3.825935,0.248576
CHEMBL104180,inactive,,-1.719097,8.854982
CHEMBL104180,inactive,,-4.011759,2.838654
CHEMBL104180,inactive,,-1.721889,1.424178
CHEMBL104180,inactive,,-2.782281,-0.449733
CHEMBL104180,inactive,,-3.030969,5.552205
CHEMBL104180,inactive,,-3.290556,-0.850072
CHEMBL104180,inactive,,-5.311914,0.528803
CHEMBL104180,inactive,,-6.730855,-6.168858
CHEMBL104180,inactive,,2.965978,12.871135
CHEMBL104180,inactive,,-2.869615,3.102255
CHEMBL104180,inactive,,2.215497,11.34869
CHEMBL104180,inactive,,-5.55098,0.664656
CHEMBL104180,inactive,,-3.423274,5.892559
CHEMBL104180,inactive,,2.554246,12.818785
CHEMBL104180,inactive,,-1.76209,6.397045
CHEMBL104193,active,,-1.995649,-5.703594
