,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-4.578979,-7.757169
CHEMBL104127,inactive,,0.616081,12.717173
CHEMBL104180,inactive,,1.859007,11.218867
CHEMBL104222,inactive,,-8.112183,-12.479452
CHEMBL104377,inactive,,0.080341,13.292299
CHEMBL104551,inactive,,-0.400614,6.393467
CHEMBL104981,inactive,,-4.680903,-4.781517
CHEMBL105968,inactive,,-4.418354,-6.962226
CHEMBL106487,inactive,,-7.327244,-5.808578
CHEMBL106746,inactive,,2.740987,1.597915
CHEMBL1077199,inactive,,-7.984349,-4.821436
CHEMBL1077238,inactive,,-2.862104,16.927961
CHEMBL1078394,inactive,,0.804417,4.482952
CHEMBL1078395,inactive,,0.983928,4.831636
CHEMBL1078495,inactive,,-4.822652,-4.384513
CHEMBL1078575,inactive,,1.039268,3.427397
CHEMBL1078696,inactive,,2.352346,0.078206
CHEMBL1078876,inactive,,-0.96337,9.779513
CHEMBL1082500,active,,2.053086,-2.266883
CHEMBL1082501,active,,-1.046502,2.762614
CHEMBL1082723,inactive,,-2.765779,22.059462
CHEMBL1082827,active,,-3.525558,-8.378483
CHEMBL1082828,active,,1.786177,-11.607012
CHEMBL1083053,active,,1.895357,-9.373384
CHEMBL1083216,inactive,,-3.63566,2.264369
CHEMBL1083363,active,,2.686712,-16.32411
CHEMBL1083364,active,,-1.860445,-14.526355
CHEMBL1083366,active,,0.932376,-16.06864
CHEMBL1083666,active,,1.087459,-16.480137
CHEMBL1083667,active,,-8.821756,-6.402239
CHEMBL1083668,active,,3.617881,10.060236
CHEMBL1083669,active,,-6.148108,2.325568
CHEMBL1083670,active,,9.664467,-8.406327
CHEMBL1083831,inactive,,2.0396,-3.594517
CHEMBL1083832,inactive,,-2.001281,-4.503054
CHEMBL1083994,active,,1.949299,-14.888814
CHEMBL1084136,inactive,,-8.629474,-6.170986
CHEMBL1084144,inactive,,-5.033783,-4.863494
CHEMBL1084145,inactive,,0.097243,8.97194
CHEMBL1084274,inactive,,1.17963,-16.392872
CHEMBL1084527,inactive,,2.740663,-11.080901
CHEMBL1084667,inactive,,-1.615721,1.616006
CHEMBL1084706,active,,-2.111029,-6.833071
CHEMBL1084707,active,,2.062352,-15.987926
CHEMBL1084772,active,,4.967356,-10.100847
CHEMBL1085009,active,,0.788802,-8.763286
CHEMBL1085010,active,,1.956362,-5.782229
CHEMBL1085013,active,,-0.693427,-14.138796
CHEMBL1085016,active,,0.977083,-9.738566
CHEMBL1085270,active,,0.724556,-5.132991
CHEMBL1085441,inactive,,-3.817357,-1.074829
CHEMBL1085442,inactive,,-1.272198,0.346893
CHEMBL1085444,inactive,,-4.976133,-15.477142
CHEMBL1085694,inactive,,-8.418819,-12.278507
CHEMBL1085897,inactive,,-2.75182,13.598739
CHEMBL1085898,inactive,,-3.416939,15.452402
CHEMBL1085928,inactive,,-0.797233,5.981068
CHEMBL1085929,inactive,,2.525193,8.689087
CHEMBL1086005,active,,0.1812,-12.490007
CHEMBL1086077,active,,-2.058356,-9.272067
CHEMBL1086149,inactive,,0.192801,8.179926
CHEMBL1086411,inactive,,0.329599,5.871599
CHEMBL1086542,active,,-0.021219,0.468843
CHEMBL1088076,inactive,,2.242851,1.818853
CHEMBL1089052,inactive,,-1.541288,4.762174
CHEMBL1089053,inactive,,-2.855274,15.446966
CHEMBL1089386,inactive,,0.832418,12.383981
CHEMBL1089387,inactive,,-2.463548,6.076177
CHEMBL1089395,inactive,,-2.195667,0.808802
CHEMBL1089734,active,,-3.924907,-2.898444
CHEMBL1089735,inactive,,-2.738717,-1.646287
CHEMBL1090416,inactive,,-8.777064,-5.571763
CHEMBL1090424,inactive,,-0.821767,9.18753
CHEMBL1090425,inactive,,0.143901,10.867262
CHEMBL1091478,inactive,,-8.127295,-5.675949
CHEMBL1091479,inactive,,1.905919,0.285652
CHEMBL1091816,inactive,,-8.237168,-11.801011
CHEMBL1092502,inactive,,1.30124,9.208072
CHEMBL1093086,inactive,,0.924339,14.235721
CHEMBL1093385,inactive,,-3.489158,0.22312
CHEMBL1093387,inactive,,-1.866763,14.638433
CHEMBL1094715,inactive,,-5.85001,-3.932497
CHEMBL1094785,active,,-0.607823,11.356841
CHEMBL1095042,inactive,,-6.984949,-3.376765
CHEMBL1095305,inactive,,0.785736,-4.673753
CHEMBL117405,active,,4.870069,13.261821
CHEMBL1204009,active,,-4.725875,-5.033538
CHEMBL1204416,inactive,,-3.490549,0.314994
CHEMBL1221540,active,,-1.042016,12.119799
CHEMBL1221541,active,,3.026694,3.963869
CHEMBL1221542,active,,-7.082749,-1.265755
CHEMBL1221543,active,,-1.511942,13.110294
CHEMBL1221588,active,,-7.926823,-4.877912
CHEMBL1221589,active,,7.375603,15.097898
CHEMBL1221590,active,,-2.783255,5.341667
CHEMBL1221634,active,,3.276085,12.318316
CHEMBL1221635,active,,2.53,11.15629
CHEMBL1221636,active,,-3.576412,1.491659
CHEMBL1221637,active,,3.10604,11.464954
CHEMBL1221638,active,,5.540187,13.883029
CHEMBL1221681,active,,-8.447232,-7.892996
CHEMBL1221682,active,,-2.018552,-0.018443
CHEMBL1221683,active,,0.349561,-5.410856
CHEMBL1221732,active,,2.183837,-1.896208
CHEMBL1221734,active,,0.514034,8.587728
CHEMBL1221736,active,,-4.461257,-11.228584
CHEMBL1221802,active,,-3.126195,-0.863287
CHEMBL1221803,active,,3.571639,12.776153
CHEMBL1221804,active,,0.799617,10.463175
CHEMBL1221861,active,,2.942886,12.690215
CHEMBL1221862,active,,-5.335505,-5.008574
CHEMBL122990,active,,-9.246234,0.255059
CHEMBL1233771,active,,-0.388531,15.884782
CHEMBL123745,active,,-2.201523,-16.330482
CHEMBL124584,inactive,,-4.039015,-0.853223
CHEMBL124863,active,,-7.620073,-12.710149
CHEMBL125246,inactive,,-0.194107,-1.092884
CHEMBL1255596,active,,-5.66279,-13.650293
CHEMBL1256786,active,,-7.494531,-5.019409
CHEMBL1257323,inactive,,-5.012103,-8.647592
CHEMBL1257554,active,,-4.230675,-10.292826
CHEMBL1257555,inactive,,-4.654498,-3.6836
CHEMBL1257675,active,,-4.684199,-14.318373
CHEMBL1257676,active,,-3.768152,-13.108645
CHEMBL1257797,active,,0.940481,-9.144248
CHEMBL1257913,active,,-4.77736,-9.863299
CHEMBL1257914,active,,-3.022448,-8.449243
CHEMBL1257915,active,,-5.83288,-13.015474
CHEMBL1257916,inactive,,-0.160015,-3.401219
CHEMBL1258024,active,,0.562634,-10.170876
CHEMBL1258025,active,,-5.700028,-13.660789
CHEMBL1258142,active,,-2.179847,-6.065958
CHEMBL1258143,active,,-4.009419,-9.155542
CHEMBL1258223,inactive,,-7.118326,-10.508163
CHEMBL1258257,active,,-8.066307,-13.167018
CHEMBL1258258,active,,-6.065466,-13.889553
CHEMBL1258260,active,,1.47508,-10.169581
CHEMBL1258370,active,,-5.555929,-12.403694
CHEMBL1258372,active,,-3.22984,-4.226826
CHEMBL1258373,inactive,,-2.411395,-0.956421
CHEMBL1258452,inactive,,6.275594,-5.378152
CHEMBL1258483,active,,-0.031924,-6.400023
CHEMBL1258484,active,,-2.11235,-15.204285
CHEMBL1258596,active,,2.379377,-3.101038
CHEMBL1258597,active,,-2.790025,-11.755074
CHEMBL1258599,active,,-0.151684,3.364794
CHEMBL1258671,inactive,,-4.907592,-1.325347
CHEMBL1258704,active,,-2.552299,-13.003978
CHEMBL1258705,active,,-4.396426,-12.258037
CHEMBL126055,active,,-2.165627,1.780401
CHEMBL12633,active,,3.24878,11.056317
CHEMBL12674,active,,2.028651,9.250323
CHEMBL127422,active,,-2.858669,1.738377
CHEMBL12762,active,,5.157963,15.167786
CHEMBL12876,active,,3.750109,16.231726
CHEMBL12939,active,,-5.007191,-2.983804
CHEMBL12945,inactive,,-2.031955,0.985631
CHEMBL12994,active,,-2.174553,22.588657
CHEMBL12998,inactive,,1.746952,-2.485806
CHEMBL13,inactive,,5.65501,11.507192
CHEMBL13003,active,,-0.406865,-0.21001
CHEMBL13079,active,,-2.841788,0.451691
CHEMBL13102,active,,-3.429459,3.130046
CHEMBL13132,active,,-4.921125,-8.893177
CHEMBL13432,inactive,,1.733241,-0.475766
CHEMBL1346,active,,-2.321061,-13.135784
CHEMBL13467,active,,-1.922199,-0.617381
CHEMBL13560,inactive,,-0.45928,13.874516
CHEMBL1363,active,,1.811394,16.169277
CHEMBL137781,inactive,,3.380928,5.523109
CHEMBL143865,inactive,,-0.769843,20.193655
CHEMBL1478530,active,,5.795964,13.947355
CHEMBL157138,active,,2.959622,5.133685
CHEMBL1620339,inactive,,-0.939555,6.306683
CHEMBL1622248,inactive,,6.111151,14.077196
CHEMBL1632158,inactive,,-7.224304,-8.218484
CHEMBL1632174,inactive,,5.855185,-8.573933
CHEMBL165015,inactive,,1.722533,-8.340758
CHEMBL166013,inactive,,1.199093,-5.454824
CHEMBL1683931,active,,-5.273901,-18.344164
CHEMBL1683935,active,,2.940475,-15.012466
CHEMBL1683938,active,,2.456741,-14.833064
CHEMBL1684580,inactive,,2.806388,-11.771129
CHEMBL1684581,inactive,,-0.283973,-11.907853
CHEMBL1684582,inactive,,-2.953591,-14.11706
