,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,2.537035,-2.042256
CHEMBL104127,inactive,,-2.054999,20.090679
CHEMBL104180,inactive,,1.74712,10.905156
CHEMBL104222,inactive,,-0.382562,12.00395
CHEMBL104377,inactive,,-3.324179,11.961834
CHEMBL104551,inactive,,-6.812355,-10.802125
CHEMBL104981,inactive,,-4.315917,-1.640933
CHEMBL105968,inactive,,-7.330214,-12.073256
CHEMBL106746,inactive,,-1.673164,4.48366
CHEMBL1077199,inactive,,2.602631,12.044785
CHEMBL1077238,inactive,,0.744534,4.734348
CHEMBL1078394,inactive,,-3.236173,13.389102
CHEMBL1078395,inactive,,1.218623,2.270456
CHEMBL1078495,inactive,,0.421728,5.553393
CHEMBL1078575,inactive,,-7.18043,-4.616317
CHEMBL1078695,active,,-3.265892,-4.930144
CHEMBL1078696,inactive,,-2.061922,10.498924
CHEMBL1078876,inactive,,2.112069,-1.327592
CHEMBL1082500,active,,2.312416,-2.362581
CHEMBL1082501,active,,-1.528111,-5.938782
CHEMBL1082723,inactive,,-2.719821,22.163166
CHEMBL1082827,active,,-0.472221,-13.611211
CHEMBL1082828,active,,-0.536184,-3.345326
CHEMBL1083053,active,,3.415798,-9.053514
CHEMBL1083216,inactive,,-0.063708,2.714985
CHEMBL1083363,active,,2.713721,-16.325235
CHEMBL1083364,active,,-2.653557,-14.458365
CHEMBL1083366,active,,0.957795,-16.304153
CHEMBL1083666,active,,1.90391,-16.271061
CHEMBL1083667,active,,5.595826,13.096526
CHEMBL1083668,active,,4.182385,9.797018
CHEMBL1083669,active,,9.715751,-8.524891
CHEMBL1083670,active,,9.722116,-8.386232
CHEMBL1083831,inactive,,0.414876,3.543815
CHEMBL1083832,inactive,,-2.244842,-0.992867
CHEMBL1083994,active,,1.136479,-16.032887
CHEMBL1084136,inactive,,-8.417162,-5.824132
CHEMBL1084138,inactive,,1.437033,12.805781
CHEMBL1084144,inactive,,0.823417,4.373116
CHEMBL1084145,inactive,,-1.888149,7.566066
CHEMBL1084274,inactive,,0.389696,-17.10368
CHEMBL1084527,inactive,,2.245537,-11.55166
CHEMBL1084667,inactive,,-2.349401,0.983713
CHEMBL1084706,active,,5.846023,-10.783574
CHEMBL1084707,active,,1.603228,-16.365086
CHEMBL1084772,active,,0.850598,-14.860234
CHEMBL1085009,active,,0.957828,-12.116625
CHEMBL1085010,active,,2.660308,-10.002622
CHEMBL1085013,active,,-0.97748,-15.759327
CHEMBL1085016,active,,0.49614,-14.229237
CHEMBL1085270,active,,2.166363,-12.211533
CHEMBL1085441,inactive,,-2.561887,3.718655
CHEMBL1085442,inactive,,-2.873405,0.637588
CHEMBL1085444,inactive,,-6.229506,-12.124174
CHEMBL1085694,inactive,,0.406647,-0.363589
CHEMBL1085897,inactive,,4.015178,10.970411
CHEMBL1085898,inactive,,1.117939,10.145452
CHEMBL1085928,inactive,,-0.195004,12.239681
CHEMBL1085929,inactive,,-7.939067,-7.09951
CHEMBL1086005,active,,1.336437,-15.203763
CHEMBL1086077,active,,-3.428588,-11.820497
CHEMBL1086149,inactive,,1.430331,11.199944
CHEMBL1086411,inactive,,1.651102,13.847136
CHEMBL1086542,active,,-1.531733,-3.565203
CHEMBL1088076,inactive,,-6.287944,-11.975608
CHEMBL1089052,inactive,,1.815531,9.540293
CHEMBL1089053,inactive,,-1.932613,4.481479
CHEMBL1089386,inactive,,0.957566,10.77421
CHEMBL1089387,inactive,,0.930672,9.772311
CHEMBL1089395,inactive,,-1.93419,3.927407
CHEMBL1089734,active,,-3.937315,1.554501
CHEMBL1089735,inactive,,1.982399,3.287585
CHEMBL1090416,inactive,,3.708406,12.68085
CHEMBL1090424,inactive,,-0.518454,4.566088
CHEMBL1090425,inactive,,-8.411507,-5.740093
CHEMBL1091478,inactive,,-1.720713,3.283406
CHEMBL1091479,inactive,,-1.774552,-4.896728
CHEMBL1091816,inactive,,-1.204952,0.248008
CHEMBL1092502,inactive,,-2.892218,3.102899
CHEMBL1093086,inactive,,-3.308525,13.637946
CHEMBL1093385,inactive,,-8.754393,-9.762938
CHEMBL1093387,inactive,,6.78684,12.964224
CHEMBL1094715,inactive,,-0.105393,9.602827
CHEMBL1094785,active,,0.361159,12.964469
