,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-7.057017,-12.365245
CHEMBL104127,inactive,,-0.04215,8.678473
CHEMBL104377,inactive,,5.411811,12.011341
CHEMBL104551,inactive,,-4.070271,-8.725548
CHEMBL104981,inactive,,-2.541314,-0.160998
CHEMBL105968,inactive,,2.36042,6.334362
CHEMBL106487,inactive,,-1.286259,2.829388
CHEMBL106746,inactive,,-0.470928,4.252161
CHEMBL1077199,inactive,,-5.005066,-2.104453
CHEMBL1077238,inactive,,-3.018014,4.041535
CHEMBL1078394,inactive,,-2.954746,2.667926
CHEMBL1078395,inactive,,-2.274955,1.460878
CHEMBL1078495,inactive,,-3.285416,-2.988416
CHEMBL1078575,inactive,,-2.900186,-0.480068
CHEMBL1078695,active,,-4.453293,-10.430607
CHEMBL1078696,inactive,,-0.164926,5.828517
CHEMBL1078876,inactive,,-1.807185,0.606682
CHEMBL1082500,active,,2.307153,-4.872834
CHEMBL1082501,active,,4.879612,-7.503165
CHEMBL1082827,active,,-1.088928,-9.463789
CHEMBL1082828,active,,4.672193,-8.629664
CHEMBL1083053,active,,1.230207,-12.510636
CHEMBL1083216,inactive,,-3.371883,-8.119988
CHEMBL1083363,active,,2.36032,-16.363756
CHEMBL1083364,active,,-3.052355,-15.038488
CHEMBL1083366,active,,0.922527,-16.650326
CHEMBL1083666,active,,0.847453,-16.838112
CHEMBL1083667,active,,3.456803,13.543622
CHEMBL1083668,active,,1.724104,9.024278
CHEMBL1083669,active,,9.768476,-8.548055
CHEMBL1083670,active,,9.706603,-8.485931
CHEMBL1083831,inactive,,-0.501289,-0.703434
CHEMBL1083832,inactive,,-2.139738,-2.076638
CHEMBL1083994,active,,1.089639,-16.088451
CHEMBL1084136,inactive,,-5.408288,-4.054363
CHEMBL1084138,inactive,,-2.70107,3.233073
CHEMBL1084144,inactive,,-3.983186,0.031413
CHEMBL1084145,inactive,,-4.277296,0.441101
CHEMBL1084274,inactive,,0.802464,-16.760077
CHEMBL1084527,inactive,,0.370069,-14.275859
