,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-5.107204,-11.239811
CHEMBL104127,inactive,,-1.074305,17.118055
CHEMBL104180,inactive,,0.385191,5.285011
CHEMBL104222,inactive,,2.979981,-4.911775
CHEMBL104377,inactive,,-4.41523,1.369135
CHEMBL104551,inactive,,-5.675109,-9.048653
CHEMBL105968,inactive,,-4.281804,6.807268
CHEMBL106487,inactive,,-3.017786,-5.867873
CHEMBL106746,inactive,,-3.460629,-8.382087
CHEMBL1077199,inactive,,0.699139,9.311692
CHEMBL1077238,inactive,,-0.391864,9.28138
CHEMBL1078394,inactive,,3.700774,7.649189
CHEMBL1078395,inactive,,1.574357,1.995104
CHEMBL1078495,inactive,,-3.171867,-2.589122
CHEMBL1078575,inactive,,4.537009,12.879093
CHEMBL1078695,active,,-5.831459,-5.610279
CHEMBL1078696,inactive,,-3.908031,-8.036911
CHEMBL1078876,inactive,,2.808331,-4.570648
CHEMBL1082500,active,,1.680308,-3.337339
CHEMBL1082501,active,,5.463655,-0.350097
CHEMBL1082827,active,,-1.982128,-8.624298
CHEMBL1082828,active,,4.061137,-7.625307
CHEMBL1083053,active,,4.803352,-9.800923
CHEMBL1083363,active,,2.547043,-16.303728
CHEMBL1083364,active,,4.616072,-11.531391
CHEMBL1083366,active,,2.751977,-12.863216
CHEMBL1083666,active,,1.969542,-15.362822
CHEMBL1083667,active,,0.251664,13.384674
CHEMBL1083668,active,,1.696324,12.699258
CHEMBL1083669,active,,9.791162,-8.547726
CHEMBL1083670,active,,9.768443,-8.509186
CHEMBL1083831,inactive,,1.096202,-4.444173
CHEMBL1083832,inactive,,1.319121,-4.638555
CHEMBL1083994,active,,1.41437,-15.540833
CHEMBL1084136,inactive,,-7.917107,-3.953556
CHEMBL1084138,inactive,,2.252336,11.773593
CHEMBL1084145,inactive,,-0.69834,7.390158
CHEMBL1084274,inactive,,1.198601,-16.427654
CHEMBL1084527,inactive,,5.059102,-10.540631
CHEMBL1084667,inactive,,-1.732758,-7.142128
CHEMBL1084706,active,,1.500584,-16.053465
CHEMBL1084707,active,,0.882665,-15.65225
CHEMBL1084772,active,,3.276148,-11.228411
CHEMBL1085009,active,,2.858352,-9.099113
CHEMBL1085010,active,,2.997364,-7.585318
CHEMBL1085013,active,,5.471824,-9.899866
CHEMBL1085016,active,,0.598438,-13.302888
CHEMBL1085270,active,,1.405355,-14.622167
CHEMBL1085441,inactive,,-1.628548,3.73765
CHEMBL1085442,inactive,,2.285353,2.467147
CHEMBL1085444,inactive,,-6.404876,-10.388492
CHEMBL1085694,inactive,,-2.374461,4.41565
CHEMBL1085897,inactive,,3.220417,1.399801
CHEMBL1085898,inactive,,-3.39231,11.919512
CHEMBL1085928,inactive,,3.020594,11.837632
CHEMBL1085929,inactive,,0.827195,0.283209
CHEMBL1086005,active,,1.359757,-15.41184
CHEMBL1086077,active,,0.022825,-3.026146
CHEMBL1086149,inactive,,-3.450609,4.99697
CHEMBL1086411,inactive,,-4.02842,-1.885066
CHEMBL1086542,active,,2.528929,1.65425
CHEMBL1088076,inactive,,-5.345447,-1.111609
CHEMBL1089052,inactive,,-6.285853,-5.902469
CHEMBL1089386,inactive,,-1.419488,18.63349
CHEMBL1089395,inactive,,-2.189579,21.429716
CHEMBL1089734,active,,-3.069786,-11.713379
CHEMBL1089735,inactive,,-0.604703,-4.884696
CHEMBL1090416,inactive,,-1.226699,3.345407
CHEMBL1090424,inactive,,-5.016589,-4.112889
CHEMBL1090425,inactive,,-6.575816,-1.219629
CHEMBL1091478,inactive,,-5.65231,5.784724
CHEMBL1091479,inactive,,1.260001,-5.231185
CHEMBL1091816,inactive,,-5.539581,-0.769347
CHEMBL1093086,inactive,,-6.239946,-3.829976
CHEMBL1093385,inactive,,-0.586415,-7.431126
CHEMBL1093387,inactive,,-4.127964,-0.393085
CHEMBL1094715,inactive,,2.503424,15.628766
CHEMBL1095042,inactive,,-7.938828,-4.011612
CHEMBL1095305,inactive,,-1.543152,-2.257278
CHEMBL117405,active,,4.26784,15.438997
CHEMBL1204009,active,,-0.508525,-10.683803
CHEMBL1204416,inactive,,-0.698703,-7.384417
CHEMBL1221540,active,,0.206137,14.758193
CHEMBL1221542,active,,3.435073,9.86785
CHEMBL1221543,active,,2.011047,6.456509
CHEMBL1221587,active,,-2.554286,15.373775
CHEMBL1221588,active,,0.869152,9.26802
CHEMBL1221589,active,,0.270072,9.656376
CHEMBL1221590,active,,-1.335743,12.581063
CHEMBL1221634,active,,1.54613,12.710144
CHEMBL1221636,active,,0.218721,11.279371
CHEMBL1221637,active,,-3.290069,17.043657
CHEMBL1221638,active,,-0.851071,14.091601
CHEMBL1221681,active,,-2.782812,-2.031472
CHEMBL1221682,active,,2.670971,0.053535
CHEMBL1221734,active,,3.702721,-0.370469
CHEMBL1221736,active,,1.549395,-3.768154
CHEMBL1221804,active,,1.525573,6.283769
CHEMBL1221862,active,,0.647307,10.525216
CHEMBL122990,active,,8.306614,6.806355
CHEMBL124584,inactive,,0.693279,11.626574
CHEMBL124863,active,,-5.453298,-8.522736
CHEMBL125168,active,,4.609772,-16.905319
CHEMBL125246,inactive,,-8.567898,-10.775809
CHEMBL1255596,active,,-2.332716,-8.79142
CHEMBL1256786,active,,-3.255873,-0.748318
CHEMBL1257323,inactive,,-3.87706,-10.137192
CHEMBL1257554,active,,-1.109658,-10.133303
CHEMBL1257555,inactive,,2.80492,-8.034114
CHEMBL1257675,active,,0.015566,-5.100279
CHEMBL1257676,active,,-0.421149,-1.450799
CHEMBL1257797,active,,-0.522555,-11.523696
CHEMBL1257913,active,,-0.056428,-7.825552
CHEMBL1257914,active,,0.90201,-6.975315
CHEMBL1257915,active,,-2.366961,-5.458572
CHEMBL1257916,inactive,,-2.209523,-8.489491
CHEMBL1258024,active,,-2.654002,-9.087332
CHEMBL1258025,active,,-1.370436,-7.787122
CHEMBL1258142,active,,0.067971,-10.110908
CHEMBL1258143,active,,-0.741764,-7.913799
CHEMBL1258223,inactive,,5.692331,-4.239036
CHEMBL1258257,active,,-1.305433,-8.440294
CHEMBL1258258,active,,2.591825,-6.293653
CHEMBL1258260,active,,-0.948667,-13.217995
CHEMBL1258370,active,,-1.362163,-8.382893
CHEMBL1258372,active,,1.668141,-3.343413
CHEMBL1258373,inactive,,-3.288291,-2.615223
CHEMBL1258452,inactive,,5.650437,-4.118147
CHEMBL1258483,active,,-1.258394,-8.980482
CHEMBL1258484,active,,1.657671,-4.958757
CHEMBL1258596,active,,0.831516,-6.839917
CHEMBL1258597,active,,1.253222,-6.542834
CHEMBL1258599,active,,-4.804694,2.641025
CHEMBL1258671,inactive,,-3.709575,1.463866
CHEMBL1258704,active,,3.503947,-7.005571
CHEMBL1258705,active,,-1.672135,-8.909007
CHEMBL126055,active,,-8.527172,0.454036
CHEMBL12633,active,,-0.932098,12.028273
CHEMBL12674,active,,1.291896,11.582491
CHEMBL127422,active,,-2.898152,-0.500745
CHEMBL12762,active,,-0.172326,5.08323
CHEMBL12876,active,,2.118852,13.84625
CHEMBL12939,active,,-4.86759,-16.256321
CHEMBL12945,inactive,,-1.404528,2.765565
CHEMBL12994,active,,0.210725,12.027913
CHEMBL13,inactive,,5.8791,11.599691
CHEMBL13003,active,,-3.102098,12.234666
CHEMBL13079,active,,-0.773481,4.84189
CHEMBL13102,active,,1.98678,14.257366
CHEMBL13132,active,,-4.66876,-15.84245
CHEMBL13432,inactive,,-3.891536,-13.228012
CHEMBL1346,active,,2.644338,-11.261408
CHEMBL13467,active,,-5.048496,-17.784498
CHEMBL1363,active,,-3.21353,-0.314689
CHEMBL137781,inactive,,4.013851,4.301275
CHEMBL143865,inactive,,-0.819634,19.843672
CHEMBL157138,active,,3.354962,3.493288
CHEMBL1620339,inactive,,0.064968,7.856345
CHEMBL1622248,inactive,,3.654456,13.907037
CHEMBL1632158,inactive,,-1.203197,-12.308076
CHEMBL1632174,inactive,,1.756468,-7.178113
CHEMBL165015,inactive,,-3.932571,-12.611867
CHEMBL1683931,active,,2.94075,-15.571819
CHEMBL1683935,active,,-3.834454,-19.001907
CHEMBL1684580,inactive,,-6.956513,-16.366308
CHEMBL1684582,inactive,,-7.325878,-17.231245
CHEMBL1684585,inactive,,-1.796929,7.592479
CHEMBL177442,active,,-4.776779,-16.560928
CHEMBL1794855,inactive,,5.400043,23.556955
CHEMBL1800960,inactive,,-3.663058,0.743752
CHEMBL1806874,inactive,,2.957774,-12.0822
CHEMBL1824264,inactive,,-3.53766,0.32035
CHEMBL1824265,inactive,,-6.76163,-7.965525
CHEMBL1824266,inactive,,-7.025822,-8.165881
CHEMBL183921,active,,-0.986633,-3.96358
CHEMBL183948,active,,-1.426736,3.316854
CHEMBL184407,active,,-0.072364,-6.85884
CHEMBL185052,active,,1.987383,-0.050942
CHEMBL185836,active,,-5.966131,-10.644516
CHEMBL1907082,inactive,,3.080645,12.65609
CHEMBL1940682,inactive,,-5.365491,-15.67192
CHEMBL1940683,inactive,,-5.201019,-16.167528
CHEMBL1940684,inactive,,-4.296535,-14.681763
CHEMBL1940685,inactive,,-2.364944,-19.537626
CHEMBL1940686,inactive,,-4.646586,-14.858143
CHEMBL1940808,inactive,,-4.890294,-14.705414
CHEMBL1940809,inactive,,-4.709677,-14.685595
CHEMBL1940810,inactive,,-4.866852,-14.557201
