,activity,extra_tooltip,x,y
CHEMBL104127,inactive,,0.824478,8.963126
CHEMBL104180,inactive,,-0.659827,7.081944
CHEMBL104222,inactive,,-6.698072,-10.367002
CHEMBL104377,inactive,,-1.274662,10.973038
CHEMBL104551,inactive,,0.153301,2.222664
CHEMBL104981,inactive,,-3.250571,13.584872
CHEMBL105968,inactive,,0.659277,12.220691
CHEMBL106487,inactive,,-8.297856,-11.888428
CHEMBL106746,inactive,,-3.456556,2.391901
CHEMBL1077199,inactive,,-1.563119,13.732229
CHEMBL1077238,inactive,,1.784533,10.541596
CHEMBL1078394,inactive,,1.233723,11.829045
CHEMBL1078395,inactive,,0.153319,1.880185
CHEMBL1078495,inactive,,0.268189,4.909672
CHEMBL1078575,inactive,,-1.641877,3.584079
CHEMBL1078695,active,,1.930143,-2.384876
CHEMBL1078876,inactive,,-1.921109,10.091246
CHEMBL1082500,active,,-0.21118,-14.726224
CHEMBL1082501,active,,-2.362526,-12.370968
CHEMBL1082723,inactive,,-3.028541,21.016428
CHEMBL1082827,active,,-1.430151,-8.317961
CHEMBL1082828,active,,-1.010501,-14.699188
CHEMBL1083053,active,,0.033214,-13.425334
CHEMBL1083216,inactive,,-2.961173,0.758631
CHEMBL1083363,active,,2.339961,-16.459742
CHEMBL1083364,active,,-0.7102,-12.793599
CHEMBL1083366,active,,-4.331583,-15.235565
CHEMBL1083666,active,,1.228801,-16.646111
CHEMBL1083667,active,,3.604423,10.247269
CHEMBL1083668,active,,3.380165,7.931556
CHEMBL1083669,active,,-6.268167,-6.27353
CHEMBL1083670,active,,-3.879943,-11.862497
CHEMBL1083831,inactive,,-0.274626,-1.066603
CHEMBL1083832,inactive,,0.362205,6.907997
CHEMBL1083994,active,,0.840866,-15.532747
CHEMBL1084136,inactive,,3.701351,13.900418
CHEMBL1084138,inactive,,-2.198566,0.216506
CHEMBL1084144,inactive,,1.295488,12.34948
CHEMBL1084145,inactive,,-3.665576,3.589455
CHEMBL1084274,inactive,,1.246568,-16.360228
CHEMBL1084527,inactive,,-3.003433,-14.81211
CHEMBL1084667,inactive,,-2.743963,9.00544
CHEMBL1084706,active,,-1.433911,-16.107616
CHEMBL1084707,active,,1.307451,-16.630287
CHEMBL1084772,active,,-0.61987,-15.430043
CHEMBL1085009,active,,0.52824,-14.182935
CHEMBL1085010,active,,-0.003416,-10.719875
CHEMBL1085013,active,,4.585897,-4.901537
CHEMBL1085016,active,,2.65763,-8.555424
CHEMBL1085270,active,,0.265561,-13.225157
CHEMBL1085441,inactive,,-1.525848,13.478581
CHEMBL1085442,inactive,,1.625313,8.422873
CHEMBL1085444,inactive,,1.177586,-2.239489
CHEMBL1085694,inactive,,-0.549541,11.853507
CHEMBL1085898,inactive,,2.020633,10.878983
CHEMBL1085928,inactive,,4.78132,13.553116
CHEMBL1085929,inactive,,-1.392409,3.822507
CHEMBL1086005,active,,2.052926,-15.278992
CHEMBL1086077,active,,5.926509,-9.595475
CHEMBL1086149,inactive,,-1.528936,11.314692
CHEMBL1086411,inactive,,4.932361,13.176473
CHEMBL1086542,active,,4.058948,-5.653797
CHEMBL1088076,inactive,,0.646403,4.134842
CHEMBL1089052,inactive,,-0.136817,12.813398
CHEMBL1089053,inactive,,-5.384535,0.44498
CHEMBL1089386,inactive,,0.774676,10.320974
CHEMBL1089387,inactive,,-2.091367,2.703372
CHEMBL1089395,inactive,,0.672733,4.252821
CHEMBL1089734,active,,-1.783469,13.710449
CHEMBL1089735,inactive,,-1.278384,1.745018
CHEMBL1090416,inactive,,-0.739345,10.130634
CHEMBL1090424,inactive,,-1.379484,6.841835
CHEMBL1090425,inactive,,4.210078,13.815091
CHEMBL1091478,inactive,,-5.296475,-1.032556
CHEMBL1091479,inactive,,-2.222795,0.110426
CHEMBL1091816,inactive,,-3.106737,2.691215
CHEMBL1092502,inactive,,-1.256737,10.746664
CHEMBL1093086,inactive,,-2.402744,12.928851
CHEMBL1093385,inactive,,-4.563378,3.387918
CHEMBL1093387,inactive,,2.587194,13.579681
CHEMBL1094715,inactive,,-1.145467,8.023294
CHEMBL1094785,active,,1.705778,11.584394
CHEMBL1095042,inactive,,-4.261861,3.244044
CHEMBL1095305,inactive,,1.048416,-4.708289
CHEMBL117405,active,,6.620139,12.509438
CHEMBL1201237,active,,4.585629,10.69563
CHEMBL1204009,active,,-4.962319,-2.541588
CHEMBL1204416,inactive,,-4.568651,3.364068
CHEMBL1221540,active,,5.703751,13.585168
CHEMBL1221541,active,,-1.797226,6.211512
CHEMBL1221542,active,,0.88219,11.316367
