,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-0.366084,5.675322
CHEMBL104127,inactive,,3.36986,12.571265
CHEMBL104377,inactive,,-2.235991,6.751807
CHEMBL104551,inactive,,-1.047258,3.789288
CHEMBL104981,inactive,,-2.41337,1.665317
CHEMBL105968,inactive,,-1.787717,5.74547
CHEMBL106487,inactive,,-6.29868,-7.294229
CHEMBL106746,inactive,,-1.228913,3.756857
CHEMBL1077199,inactive,,0.62269,8.848004
CHEMBL1077238,inactive,,-1.096426,6.767588
CHEMBL1078394,inactive,,2.519578,13.963142
CHEMBL1078495,inactive,,4.2219,-2.052549
CHEMBL1078695,active,,0.516019,-0.111039
CHEMBL1078696,inactive,,0.007974,-8.873106
CHEMBL1082500,active,,3.8579,-8.098335
CHEMBL1082501,active,,2.098809,-2.485805
CHEMBL1082827,active,,-0.079522,-9.724237
CHEMBL1082828,active,,2.721264,-3.493874
CHEMBL1083053,active,,-2.710242,-12.726913
CHEMBL1083363,active,,2.541487,-15.953713
CHEMBL1083364,active,,-0.282696,-6.910599
CHEMBL1083366,active,,1.174787,-15.740865
CHEMBL1083666,active,,1.515417,-16.136539
CHEMBL1083667,active,,3.162628,11.054553
CHEMBL1083668,active,,3.4699,10.539681
CHEMBL1083669,active,,9.758745,-8.52664
CHEMBL1083670,active,,9.740721,-8.590993
CHEMBL1083832,inactive,,-4.251826,-1.672399
CHEMBL1083994,active,,0.035455,-16.499846
CHEMBL1084136,inactive,,-3.952823,-3.204951
CHEMBL1084138,inactive,,-6.082788,-5.474157
CHEMBL1084144,inactive,,-6.375315,-5.017423
CHEMBL1084145,inactive,,1.352572,10.158988
CHEMBL1084274,inactive,,1.301755,-16.267927
CHEMBL1084527,inactive,,2.473884,-1.893175
CHEMBL1084667,inactive,,-1.395304,-10.274836
CHEMBL1084706,active,,1.477938,-15.582143
CHEMBL1084707,active,,0.989764,-16.92625
CHEMBL1084772,active,,-1.565227,-15.950275
CHEMBL1085009,active,,2.680591,-6.649084
CHEMBL1085010,active,,2.891699,-7.811743
CHEMBL1085013,active,,1.119522,-14.225374
CHEMBL1085016,active,,0.767428,-14.920935
CHEMBL1085270,active,,-0.142456,-10.12446
CHEMBL1085441,inactive,,-3.525743,0.738778
CHEMBL1085442,inactive,,-4.307453,-0.060716
CHEMBL1085444,inactive,,-1.186101,-5.319987
CHEMBL1085694,inactive,,-0.721837,4.246878
CHEMBL1085897,inactive,,1.18711,10.423439
CHEMBL1085898,inactive,,-2.561673,2.055507
