,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-0.379174,-6.579765
CHEMBL104127,inactive,,-1.524787,11.700417
CHEMBL104180,inactive,,0.040555,3.215253
CHEMBL104222,inactive,,-6.401177,-8.487366
CHEMBL104377,inactive,,-1.191466,4.705283
CHEMBL104551,inactive,,-4.311339,7.069688
CHEMBL104981,inactive,,0.061192,4.047761
CHEMBL105968,inactive,,-3.314857,-6.59314
CHEMBL106487,inactive,,-2.78277,-7.518101
CHEMBL106746,inactive,,-0.85608,-2.428248
CHEMBL1077199,inactive,,2.733069,10.091635
CHEMBL1077238,inactive,,-1.845461,14.514039
CHEMBL1078394,inactive,,1.46457,6.12881
CHEMBL1078395,inactive,,1.292567,5.962979
CHEMBL1078495,inactive,,-1.378015,7.49168
CHEMBL1078575,inactive,,-3.643012,8.784278
CHEMBL1078695,active,,3.062594,-3.457925
CHEMBL1078696,inactive,,0.530502,-1.429177
CHEMBL1078876,inactive,,4.416885,0.285504
CHEMBL1082500,active,,0.685944,-2.948786
CHEMBL1082501,active,,1.021687,-5.491074
CHEMBL1082827,active,,6.776361,-4.196739
CHEMBL1082828,active,,1.068791,-14.386499
CHEMBL1083216,inactive,,1.027093,0.192175
CHEMBL1083363,active,,7.092165,-6.748333
CHEMBL1083364,active,,1.56492,-11.558581
CHEMBL1083667,active,,4.799637,13.68183
CHEMBL1083668,active,,6.203476,12.714274
CHEMBL1083669,active,,9.785254,-8.573601
CHEMBL1083670,active,,-2.01055,-3.008201
CHEMBL1083831,inactive,,-2.710618,7.106642
CHEMBL1083832,inactive,,1.915812,5.759157
CHEMBL1083994,active,,1.748779,-4.702332
CHEMBL1084145,inactive,,-2.317364,-1.476231
CHEMBL1084274,inactive,,-4.529009,0.368395
CHEMBL1084527,inactive,,4.234578,-7.290505
CHEMBL1084667,inactive,,-5.615384,-6.398318
CHEMBL1084706,active,,-3.853111,-17.822374
CHEMBL1084707,active,,1.727876,-16.271276
CHEMBL1084772,active,,3.274765,-11.316819
CHEMBL1085009,active,,2.169646,-10.055268
CHEMBL1085010,active,,1.993601,-9.477623
CHEMBL1085013,active,,2.186358,-12.984623
CHEMBL1085016,active,,0.080535,-13.304953
CHEMBL1085270,active,,1.270272,-14.962889
CHEMBL1085441,inactive,,-0.081082,12.03682
CHEMBL1085442,inactive,,-0.891732,6.371656
CHEMBL1085444,inactive,,-5.052452,-8.521442
CHEMBL1085694,inactive,,-4.417035,2.300765
CHEMBL1085897,inactive,,-3.018113,0.492146
CHEMBL1085898,inactive,,-2.943758,15.382513
CHEMBL1085929,inactive,,-3.198402,3.232132
CHEMBL1086005,active,,2.031133,-12.203588
CHEMBL1086077,active,,4.478653,-10.065171
CHEMBL1086149,inactive,,1.496777,9.888442
CHEMBL1086411,inactive,,-3.227542,2.037355
CHEMBL1086542,active,,3.668446,-7.831138
CHEMBL1089052,inactive,,-2.274422,2.383237
CHEMBL1089053,inactive,,5.067705,11.550713
CHEMBL1089386,inactive,,0.673589,9.595484
CHEMBL1089387,inactive,,-2.689148,4.849204
CHEMBL1089395,inactive,,-1.237983,7.008461
CHEMBL1089734,active,,-2.467612,16.810616
CHEMBL1089735,inactive,,-0.160361,8.317564
CHEMBL1090416,inactive,,-2.281975,1.440006
CHEMBL1090424,inactive,,-1.944966,16.121334
CHEMBL1090425,inactive,,-3.478122,2.548815
CHEMBL1091478,inactive,,-1.567074,-2.556864
CHEMBL1091479,inactive,,-5.26504,-4.897365
CHEMBL1091816,inactive,,-4.771082,-2.074225
CHEMBL1092502,inactive,,3.77047,10.569342
CHEMBL1093086,inactive,,-7.035185,-2.721482
CHEMBL1093385,inactive,,1.252644,-3.715117
CHEMBL1093387,inactive,,-0.991763,2.753805
CHEMBL1094715,inactive,,1.737361,11.129792
CHEMBL1094785,active,,-0.005026,15.253384
CHEMBL1095042,inactive,,-0.778596,2.527724
CHEMBL1095305,inactive,,-2.438742,11.021313
CHEMBL117405,active,,1.577248,17.381697
CHEMBL1204009,active,,-2.065414,-5.950631
CHEMBL1204416,inactive,,1.29263,-3.769253
CHEMBL1221540,active,,5.631254,13.691926
CHEMBL1221542,active,,1.304529,10.334365
CHEMBL1221587,active,,2.923102,13.344589
CHEMBL1221588,active,,-1.86721,6.132767
CHEMBL1221589,active,,-0.615449,5.427536
CHEMBL1221590,active,,-0.930348,13.394246
CHEMBL1221634,active,,2.483936,13.173661
CHEMBL1221636,active,,-2.022508,4.750298
CHEMBL1221638,active,,-0.121774,12.713212
CHEMBL1221679,active,,-4.504493,3.528029
