,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-0.232425,1.331422
CHEMBL104127,inactive,,3.239843,9.933794
CHEMBL104180,inactive,,-3.896194,1.037615
CHEMBL104222,inactive,,-0.293865,-5.28419
CHEMBL104377,inactive,,3.68235,5.867253
CHEMBL104551,inactive,,-1.996886,1.853183
CHEMBL104981,inactive,,-0.660205,3.788993
CHEMBL105968,inactive,,1.890444,13.407462
CHEMBL106487,inactive,,0.582006,3.919229
CHEMBL106746,inactive,,-2.178767,6.669399
CHEMBL1077199,inactive,,1.880924,8.94584
CHEMBL1077238,inactive,,-0.960914,9.429849
CHEMBL1078394,inactive,,-0.641209,3.818337
CHEMBL1078495,inactive,,4.624063,-2.104583
CHEMBL1078575,inactive,,-5.034611,-12.951656
CHEMBL1078695,active,,0.396301,-2.613344
CHEMBL1078696,inactive,,0.963,-5.218284
CHEMBL1078876,inactive,,-2.837637,-1.352011
CHEMBL1082500,active,,3.774707,-10.54113
CHEMBL1082501,active,,-0.575334,-14.709859
CHEMBL1082827,active,,3.888616,-11.006509
CHEMBL1082828,active,,-0.586067,-13.79221
CHEMBL1083053,active,,3.219551,-9.955252
CHEMBL1083216,inactive,,-3.804398,-15.134891
CHEMBL1083363,active,,2.611868,-16.41078
CHEMBL1083364,active,,-0.427088,-15.384088
CHEMBL1083366,active,,1.572863,-15.734818
CHEMBL1083666,active,,6.532201,-8.418713
CHEMBL1083667,active,,5.341923,13.867368
CHEMBL1083668,active,,3.334048,9.915495
CHEMBL1083669,active,,9.682131,-8.614079
CHEMBL1083670,active,,9.741488,-8.59183
CHEMBL1083831,inactive,,0.973016,2.741552
CHEMBL1083832,inactive,,2.274395,0.391515
CHEMBL1083994,active,,1.069,-16.009176
CHEMBL1084136,inactive,,-1.419248,11.497251
CHEMBL1084138,inactive,,1.901339,-0.469571
CHEMBL1084144,inactive,,0.285623,10.452811
CHEMBL1084145,inactive,,0.548052,7.036302
CHEMBL1084274,inactive,,1.653801,-15.296035
CHEMBL1084527,inactive,,0.928271,-15.005556
CHEMBL1084667,inactive,,-1.924399,9.342941
CHEMBL1084706,active,,0.098396,-15.747268
CHEMBL1084707,active,,-3.545509,-16.207617
CHEMBL1084772,active,,6.434966,-5.992262
CHEMBL1085009,active,,0.469791,-13.947721
CHEMBL1085010,active,,1.046509,-9.269742
CHEMBL1085013,active,,4.951679,-3.940675
CHEMBL1085016,active,,5.444479,-9.180614
CHEMBL1085270,active,,3.449804,-8.705734
CHEMBL1085441,inactive,,-1.491084,6.406117
CHEMBL1085442,inactive,,-0.284551,0.371295
CHEMBL1085444,inactive,,-2.356655,-7.537752
CHEMBL1085694,inactive,,-1.251322,10.029521
CHEMBL1085897,inactive,,1.143389,10.495028
CHEMBL1085898,inactive,,-0.38886,10.591365
CHEMBL1085928,inactive,,-0.604037,5.97743
CHEMBL1085929,inactive,,-1.584064,14.041115
CHEMBL1086005,active,,1.909873,-15.514478
CHEMBL1086077,active,,5.900121,-8.492562
CHEMBL1086149,inactive,,-1.227001,10.562015
CHEMBL1086411,inactive,,-2.135128,15.160182
CHEMBL1086542,active,,-1.696139,-15.23175
CHEMBL1088076,inactive,,2.001618,0.659763
CHEMBL1089052,inactive,,-1.035022,11.598744
CHEMBL1089053,inactive,,1.559979,2.68058
CHEMBL1089386,inactive,,-1.127265,11.61194
CHEMBL1089387,inactive,,-2.694956,15.898967
CHEMBL1089395,inactive,,3.404345,-3.795382
CHEMBL1089734,active,,-3.276832,0.931054
CHEMBL1089735,inactive,,-0.120497,2.558069
CHEMBL1090416,inactive,,-1.033451,12.346128
CHEMBL1090424,inactive,,0.125352,10.901042
CHEMBL1090425,inactive,,-1.210715,6.515103
CHEMBL1091478,inactive,,-7.114995,-4.444526
CHEMBL1091479,inactive,,1.452812,1.572879
CHEMBL1091816,inactive,,-7.514657,-5.791583
CHEMBL1092502,inactive,,-1.352728,11.311507
CHEMBL1093086,inactive,,-2.805391,14.08585
CHEMBL1093385,inactive,,-3.090761,-1.138241
CHEMBL1093387,inactive,,-2.943393,16.165941
CHEMBL1094715,inactive,,-0.284991,10.796533
CHEMBL1095042,inactive,,-3.001669,10.438967
CHEMBL117405,active,,2.89627,11.146998
CHEMBL1204009,active,,-6.76534,-8.692859
CHEMBL1204416,inactive,,-3.123796,-1.279647
CHEMBL1221540,active,,-0.581284,16.119963
CHEMBL1221541,active,,-1.664799,12.108262
CHEMBL1221589,active,,-1.064452,13.987125
CHEMBL1221590,active,,-1.324872,12.132775
CHEMBL1221636,active,,0.100554,12.451694
CHEMBL1221683,active,,1.337295,7.514689
CHEMBL1221736,active,,1.287831,-8.994164
CHEMBL1221802,active,,-1.494658,-15.540743
CHEMBL1221804,active,,0.86172,9.378596
CHEMBL1221861,active,,1.867952,11.603182
CHEMBL1221862,active,,-5.345168,6.180685
CHEMBL122990,active,,8.286395,6.944381
CHEMBL1233771,active,,-0.020099,14.610049
CHEMBL124584,inactive,,-5.314551,-11.468669
CHEMBL124863,active,,2.026561,-2.45689
CHEMBL125168,active,,-0.935346,13.084322
CHEMBL125246,inactive,,-1.08541,2.475902
CHEMBL1255596,active,,-0.537486,-4.064129
CHEMBL1256786,active,,0.1971,9.244384
CHEMBL1257323,inactive,,2.171289,-11.46832
CHEMBL1257554,active,,4.096985,-3.484534
CHEMBL1257675,active,,-4.472042,-10.535054
CHEMBL1257676,active,,3.185817,-7.760954
CHEMBL1257797,active,,-2.814469,-9.277878
CHEMBL1257913,active,,2.720435,-9.517477
CHEMBL1257914,active,,4.135597,-3.341241
CHEMBL1257915,active,,2.522665,-3.198424
CHEMBL1257916,inactive,,3.334548,-9.961997
CHEMBL1258024,active,,1.421648,-6.703973
CHEMBL1258142,active,,3.012414,-8.855116
CHEMBL1258223,inactive,,5.443665,-5.13158
CHEMBL1258257,active,,2.932557,-9.72392
CHEMBL1258258,active,,2.792428,-9.714391
CHEMBL1258260,active,,-2.404734,-8.580829
CHEMBL1258370,active,,3.165198,-0.886182
CHEMBL1258372,active,,-6.579337,-6.884912
CHEMBL1258373,inactive,,-1.720985,-5.399293
CHEMBL1258452,inactive,,6.248225,-5.43023
CHEMBL1258483,active,,7.103808,-11.827783
CHEMBL1258484,active,,3.545833,-4.883944
CHEMBL1258596,active,,2.360136,-7.412416
CHEMBL1258597,active,,3.472357,-5.517457
CHEMBL1258599,active,,-4.265503,-1.954669
CHEMBL1258671,inactive,,4.492111,-6.366259
CHEMBL1258704,active,,4.202121,-12.450147
CHEMBL1258705,active,,7.105673,-11.771192
CHEMBL126055,active,,-3.56679,9.439307
CHEMBL12633,active,,3.00545,11.139583
CHEMBL12674,active,,-4.760095,-7.884381
CHEMBL127422,active,,-1.40055,5.560429
CHEMBL12762,active,,3.295456,10.73406
CHEMBL12876,active,,0.230299,13.893494
CHEMBL12945,inactive,,-2.335936,6.221088
CHEMBL12994,active,,3.980904,13.007642
CHEMBL13,inactive,,5.604609,11.862761
CHEMBL13003,active,,1.013168,-4.499294
CHEMBL13079,active,,-6.319483,-12.075745
CHEMBL13102,active,,-2.958814,5.21288
CHEMBL13432,inactive,,-4.883164,-13.221897
CHEMBL1346,active,,1.0227,-10.883415
CHEMBL137781,inactive,,4.3254,3.85033
CHEMBL157138,active,,-8.119867,-1.876604
CHEMBL1620339,inactive,,1.708221,-3.739493
CHEMBL1632158,inactive,,-2.778205,-16.009762
CHEMBL1632174,inactive,,-1.137882,-8.486027
CHEMBL166013,inactive,,-3.698333,-14.419163
CHEMBL1672288,inactive,,-2.481467,23.384224
CHEMBL1683931,active,,4.314713,-10.1731
CHEMBL1684580,inactive,,-2.860756,-6.735717
CHEMBL1684581,inactive,,1.833996,-10.323024
CHEMBL1684585,inactive,,-0.894499,-1.391979
CHEMBL177442,active,,-1.369898,-14.174136
CHEMBL1794855,inactive,,0.555952,16.820919
CHEMBL1800960,inactive,,-0.603634,14.507929
CHEMBL180672,active,,0.577775,6.09662
CHEMBL1806874,inactive,,0.710053,-11.488542
CHEMBL1824264,inactive,,-2.354714,-3.033788
CHEMBL1824265,inactive,,-6.645722,-6.890382
CHEMBL1824266,inactive,,-6.932648,-6.943016
CHEMBL183921,active,,-6.283875,-8.124021
CHEMBL183948,active,,-8.608493,-6.171508
CHEMBL184407,active,,-4.645995,-9.314094
CHEMBL185262,active,,-7.687842,-4.330768
CHEMBL185836,active,,-3.965812,-5.486938
CHEMBL1907082,inactive,,-4.697652,0.561362
