,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,0.350817,-3.22877
CHEMBL104127,inactive,,2.345626,11.165259
CHEMBL104180,inactive,,-1.228065,6.285333
CHEMBL104222,inactive,,-4.640376,-6.219659
CHEMBL104551,inactive,,-0.383216,5.737851
CHEMBL104981,inactive,,-2.568624,-5.720034
CHEMBL105968,inactive,,-3.464065,4.194369
CHEMBL106487,inactive,,-6.630504,-13.14052
CHEMBL106746,inactive,,0.396943,3.856762
CHEMBL1077199,inactive,,-1.729599,14.758533
CHEMBL1077238,inactive,,-2.800991,12.908613
CHEMBL1078394,inactive,,-6.568009,-4.742634
CHEMBL1078395,inactive,,-5.308279,-4.849716
CHEMBL1078575,inactive,,-7.511273,-4.863873
CHEMBL1078695,active,,2.557828,1.108167
CHEMBL1078696,inactive,,2.658535,4.334342
CHEMBL1078876,inactive,,1.752293,2.079329
CHEMBL1082500,active,,0.446992,-11.838943
CHEMBL1082501,active,,4.77357,-1.917488
CHEMBL1082827,active,,6.238721,-7.173656
CHEMBL1082828,active,,3.762875,-9.636838
CHEMBL1083053,active,,3.034674,-6.894254
CHEMBL1083363,active,,2.529302,-16.036673
CHEMBL1083364,active,,-0.781472,-7.041881
CHEMBL1083366,active,,1.47449,-15.598776
CHEMBL1083666,active,,1.647229,-16.49967
CHEMBL1083667,active,,2.648065,11.86673
CHEMBL1083668,active,,-1.365588,12.639308
CHEMBL1083669,active,,9.71548,-8.635514
CHEMBL1083670,active,,9.715597,-8.311194
CHEMBL1083831,inactive,,1.193595,4.29019
CHEMBL1083994,active,,2.10216,-8.16166
CHEMBL1084136,inactive,,-1.668641,14.728654
CHEMBL1084138,inactive,,-0.545673,11.119081
CHEMBL1084144,inactive,,1.227478,12.865488
CHEMBL1084145,inactive,,-1.589198,4.107805
CHEMBL1084274,inactive,,1.333135,-16.061337
CHEMBL1084527,inactive,,0.975287,-12.536641
CHEMBL1084667,inactive,,-7.62825,-5.176706
CHEMBL1084706,active,,3.110323,-10.969057
CHEMBL1084707,active,,1.42329,-16.672812
CHEMBL1084772,active,,7.617091,-4.599857
CHEMBL1085009,active,,2.253715,-6.355322
CHEMBL1085010,active,,0.830023,-5.349935
CHEMBL1085013,active,,4.379755,-8.92147
CHEMBL1085016,active,,5.818001,-8.911128
CHEMBL1085270,active,,5.339927,-5.236375
CHEMBL1085442,inactive,,5.033426,12.530041
CHEMBL1085444,inactive,,2.071655,-6.130434
CHEMBL1085694,inactive,,-1.369537,5.670473
CHEMBL1085897,inactive,,-4.637107,0.362435
CHEMBL1085898,inactive,,-0.796166,13.758894
CHEMBL1085928,inactive,,0.989027,12.127295
CHEMBL1085929,inactive,,0.258601,11.605799
CHEMBL1086005,active,,0.657801,-15.677963
CHEMBL1086077,active,,6.161117,-9.119252
CHEMBL1086149,inactive,,0.442117,10.229212
CHEMBL1086411,inactive,,-0.762143,14.416543
CHEMBL1086542,active,,3.024582,-6.551675
CHEMBL1089052,inactive,,-4.021106,0.433887
CHEMBL1089053,inactive,,-5.380839,-3.596564
CHEMBL1089386,inactive,,-3.017907,2.366147
CHEMBL1089387,inactive,,-0.431256,8.626762
CHEMBL1089395,inactive,,1.48741,16.529919
CHEMBL1089735,inactive,,-1.048981,-1.583972
CHEMBL1090416,inactive,,-5.937057,-4.427222
CHEMBL1090424,inactive,,-2.73449,15.821875
CHEMBL1090425,inactive,,-8.71607,-9.513056
CHEMBL1091479,inactive,,-5.489932,-3.820621
CHEMBL1091816,inactive,,-3.58736,-4.174169
CHEMBL1092502,inactive,,-6.886587,-4.433414
CHEMBL1093086,inactive,,-1.623009,0.870704
CHEMBL1093385,inactive,,-2.668102,2.027337
CHEMBL1093387,inactive,,-4.794578,-0.012699
CHEMBL1094715,inactive,,-3.446008,1.31149
CHEMBL1095042,inactive,,1.9066,-1.412883
CHEMBL117405,active,,2.133992,10.75399
CHEMBL1204416,inactive,,-2.648767,2.076282
CHEMBL1221540,active,,-2.247453,16.952248
CHEMBL1221542,active,,-3.486768,11.982367
CHEMBL1221587,active,,-2.677172,14.926208
CHEMBL1221589,active,,0.055591,14.053656
CHEMBL1221636,active,,-2.006151,15.065601
CHEMBL1221679,active,,-0.639688,8.516278
CHEMBL1221681,active,,-2.458702,4.315413
CHEMBL1221736,active,,3.332844,-6.710454
CHEMBL1221802,active,,2.902034,1.338271
CHEMBL1221803,active,,1.177981,11.510556
CHEMBL1221861,active,,-4.58748,2.075426
CHEMBL1221862,active,,0.920464,6.071412
CHEMBL122990,active,,8.20287,6.930512
CHEMBL1233771,active,,4.180907,14.692362
CHEMBL124584,inactive,,-0.149025,4.331422
CHEMBL124863,active,,0.348521,12.101284
CHEMBL125246,inactive,,-6.818659,-0.007787
CHEMBL1255596,active,,2.63354,3.440709
CHEMBL1256786,active,,0.361384,10.65716
CHEMBL1257323,inactive,,-1.715332,-7.125146
CHEMBL1257554,active,,2.477031,-0.375411
CHEMBL1257555,inactive,,-0.802724,-3.748096
