,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,1.754343,-2.853894
CHEMBL104127,inactive,,2.431988,14.348692
CHEMBL104180,inactive,,-3.145929,4.263895
CHEMBL104222,inactive,,-4.993187,-8.538115
CHEMBL104377,inactive,,0.133713,10.73389
CHEMBL104551,inactive,,-7.095786,-4.805238
CHEMBL104981,inactive,,-2.279054,-1.210224
CHEMBL105968,inactive,,-6.749321,1.070167
CHEMBL106487,inactive,,3.178068,8.462575
CHEMBL106746,inactive,,-4.281679,-2.516566
CHEMBL1077199,inactive,,-1.675743,17.98814
CHEMBL1077238,inactive,,-3.204999,1.561422
CHEMBL1078394,inactive,,-0.787434,2.493271
CHEMBL1078395,inactive,,0.644553,-1.370008
CHEMBL1078495,inactive,,-4.076731,-1.398455
CHEMBL1078575,inactive,,1.944024,12.122585
CHEMBL1078695,active,,-2.681806,-8.583542
CHEMBL1078696,inactive,,-2.685222,13.633831
CHEMBL1078876,inactive,,1.445554,6.25044
CHEMBL1082500,active,,3.120721,-3.94352
CHEMBL1082501,active,,4.238914,-1.802435
CHEMBL1082827,active,,6.445845,-5.476759
CHEMBL1082828,active,,4.631787,-4.836806
CHEMBL1083053,active,,4.008565,-8.716248
CHEMBL1083216,inactive,,-1.495985,1.804127
CHEMBL1083363,active,,6.986768,-4.620655
CHEMBL1083364,active,,4.944962,-11.248806
CHEMBL1083366,active,,1.064559,-16.588392
CHEMBL1083666,active,,1.30672,-16.609863
CHEMBL1083667,active,,3.176944,10.852989
CHEMBL1083668,active,,5.999434,13.706427
CHEMBL1083669,active,,9.803741,-8.599316
CHEMBL1083670,active,,9.752857,-8.58042
CHEMBL1083831,inactive,,-1.335036,-7.402088
CHEMBL1083994,active,,1.030254,-15.991201
CHEMBL1084136,inactive,,-0.272574,1.179757
CHEMBL1084138,inactive,,-5.387601,-8.040991
CHEMBL1084144,inactive,,-2.947746,-7.011189
CHEMBL1084145,inactive,,0.403545,12.05144
CHEMBL1084274,inactive,,0.670228,-16.873325
CHEMBL1084527,inactive,,0.805457,-14.707644
CHEMBL1084667,inactive,,-2.006809,-3.881528
CHEMBL1084706,active,,1.244327,-15.923794
CHEMBL1084707,active,,1.476797,-16.63336
CHEMBL1084772,active,,4.762603,-10.21072
CHEMBL1085009,active,,6.049631,-8.781701
CHEMBL1085010,active,,2.736824,-9.315507
CHEMBL1085013,active,,3.132553,-8.785061
CHEMBL1085016,active,,3.368123,-11.13075
CHEMBL1085270,active,,2.734531,-7.046711
CHEMBL1085441,inactive,,0.146681,-4.603615
CHEMBL1085442,inactive,,3.037537,6.149013
CHEMBL1085444,inactive,,-2.555578,-10.122333
CHEMBL1085897,inactive,,-1.399094,-6.58517
CHEMBL1085898,inactive,,-8.127313,-4.040286
CHEMBL1085928,inactive,,-2.551056,3.038967
CHEMBL1085929,inactive,,-8.724349,-7.329109
CHEMBL1086005,active,,1.752736,-15.23084
CHEMBL1086077,active,,2.679443,-9.625789
CHEMBL1086149,inactive,,1.093977,9.2337
CHEMBL1086411,inactive,,-4.200731,-3.074814
CHEMBL1086542,active,,4.136321,-7.622883
CHEMBL1088076,inactive,,-2.274792,-5.000749
CHEMBL1089052,inactive,,-8.171259,-4.439707
CHEMBL1089053,inactive,,-5.158751,-3.135568
CHEMBL1089386,inactive,,2.249384,3.716348
CHEMBL1089387,inactive,,0.326812,8.39234
CHEMBL1089395,inactive,,0.774147,12.454974
CHEMBL1089734,active,,3.558283,12.44033
CHEMBL1089735,inactive,,1.234174,0.930155
CHEMBL1090416,inactive,,-5.158484,-3.516402
CHEMBL1090424,inactive,,4.966502,11.723726
CHEMBL1090425,inactive,,-3.871869,0.28645
CHEMBL1091478,inactive,,4.447399,12.393508
CHEMBL1091479,inactive,,-3.708454,-9.06223
CHEMBL1091816,inactive,,-2.980456,-7.290469
CHEMBL1092502,inactive,,-4.277302,0.040255
CHEMBL1093086,inactive,,4.145238,13.282834
CHEMBL1093385,inactive,,-2.120778,-4.881396
CHEMBL1093387,inactive,,4.111206,10.650995
CHEMBL1094715,inactive,,-1.483211,20.860779
CHEMBL1094785,active,,-0.599427,11.527894
CHEMBL1095042,inactive,,4.009471,9.596672
CHEMBL117405,active,,1.410283,17.462189
CHEMBL1204009,active,,1.141572,-8.659668
CHEMBL1204416,inactive,,-2.163379,-4.897192
CHEMBL1221540,active,,1.650761,8.023565
CHEMBL1221541,active,,3.86902,11.30777
