,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,1.161878,-3.398242
CHEMBL104127,inactive,,-1.349792,15.132087
CHEMBL104180,inactive,,-3.707358,-2.105102
CHEMBL104222,inactive,,-1.185142,7.708576
CHEMBL104377,inactive,,-2.511967,2.517663
CHEMBL104551,inactive,,-6.370704,-8.705167
CHEMBL104981,inactive,,1.313158,-6.861719
CHEMBL105968,inactive,,-6.422342,-0.209403
CHEMBL106487,inactive,,0.600779,1.35835
CHEMBL106746,inactive,,-7.484217,-13.235168
CHEMBL1077199,inactive,,-2.658762,2.176092
CHEMBL1077238,inactive,,-3.686159,1.149895
CHEMBL1078394,inactive,,-3.429148,0.301461
CHEMBL1078395,inactive,,-0.052584,-2.044657
CHEMBL1078495,inactive,,-7.148692,-6.849952
CHEMBL1078575,inactive,,-2.522459,1.243055
CHEMBL1078695,active,,-1.411917,5.852933
CHEMBL1078696,inactive,,4.312259,-1.957932
CHEMBL1078876,inactive,,-7.637004,-9.747586
CHEMBL1082500,active,,2.36578,-9.267127
CHEMBL1082501,active,,5.485738,-8.601227
CHEMBL1082827,active,,0.281227,-9.111626
CHEMBL1082828,active,,4.220266,-11.303408
CHEMBL1083053,active,,-1.20313,-15.192148
CHEMBL1083216,inactive,,1.893125,-4.071643
CHEMBL1083363,active,,2.495523,-16.397602
CHEMBL1083364,active,,1.603662,-12.008836
CHEMBL1083366,active,,0.937896,-16.594107
CHEMBL1083666,active,,1.470759,-16.537983
CHEMBL1083667,active,,5.963232,12.220695
CHEMBL1083668,active,,-4.964915,1.77847
CHEMBL1083669,active,,9.796958,-8.601157
CHEMBL1083670,active,,9.786932,-8.62486
CHEMBL1083831,inactive,,1.074162,-6.071626
CHEMBL1083832,inactive,,1.532161,-5.586995
CHEMBL1083994,active,,0.831654,-16.290041
CHEMBL1084136,inactive,,-7.460552,-2.129989
CHEMBL1084138,inactive,,4.484929,11.35542
CHEMBL1084144,inactive,,-3.303117,0.653665
CHEMBL1084145,inactive,,-5.324166,-6.205803
CHEMBL1084274,inactive,,1.359621,-16.502144
CHEMBL1084527,inactive,,0.903406,-15.621782
CHEMBL1084667,inactive,,-4.546727,-3.42865
CHEMBL1084706,active,,1.050053,-15.99345
CHEMBL1084707,active,,0.918776,-17.006514
CHEMBL1084772,active,,0.963705,-15.734018
CHEMBL1085009,active,,4.980027,-10.868664
CHEMBL1085010,active,,3.695813,-10.441792
CHEMBL1085013,active,,0.093986,-15.012742
CHEMBL1085016,active,,1.10201,-14.687132
CHEMBL1085270,active,,0.691532,-14.968784
CHEMBL1085441,inactive,,-0.538786,8.860011
CHEMBL1085442,inactive,,-1.711326,0.942808
CHEMBL1085444,inactive,,-6.213756,-10.917285
CHEMBL1085694,inactive,,-4.250242,-4.59163
CHEMBL1085898,inactive,,-5.317554,0.574593
CHEMBL1085928,inactive,,-0.515517,5.068479
CHEMBL1085929,inactive,,-3.690209,-4.061831
CHEMBL1086005,active,,0.843009,-15.555242
CHEMBL1086077,active,,-1.159667,-9.164581
CHEMBL1086149,inactive,,-3.068751,-3.383846
CHEMBL1086411,inactive,,-3.743059,-0.323962
