,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-6.536144,-11.138513
CHEMBL104127,inactive,,-3.164825,1.941054
CHEMBL104180,inactive,,-6.667759,-1.821855
CHEMBL104377,inactive,,-0.886321,4.551375
CHEMBL104551,inactive,,-1.490809,-1.07206
CHEMBL104981,inactive,,-3.733575,-0.561929
CHEMBL105968,inactive,,-4.418732,-5.058562
CHEMBL106487,inactive,,-2.098647,-3.909274
CHEMBL106746,inactive,,-6.444646,-4.814231
CHEMBL1077199,inactive,,2.126406,9.860106
CHEMBL1077238,inactive,,-6.491343,-4.817193
CHEMBL1078394,inactive,,-3.731259,-1.522538
CHEMBL1078495,inactive,,-5.990136,-6.090289
CHEMBL1078575,inactive,,3.506881,7.230372
CHEMBL1078695,active,,-1.963919,-13.238773
CHEMBL1078696,inactive,,2.203072,0.944673
CHEMBL1078876,inactive,,-1.614133,-2.33371
CHEMBL1082500,active,,4.445757,-9.962476
CHEMBL1082501,active,,0.604094,-1.427505
CHEMBL1082827,active,,5.013041,-7.414706
CHEMBL1082828,active,,1.183444,-2.328493
CHEMBL1083053,active,,-4.541767,-14.496609
CHEMBL1083216,inactive,,0.556909,2.345803
CHEMBL1083363,active,,2.90406,-16.051758
CHEMBL1083364,active,,-1.089423,-5.839264
CHEMBL1083366,active,,1.24778,-15.919197
CHEMBL1083666,active,,0.723954,-16.750509
CHEMBL1083667,active,,5.710617,12.894921
CHEMBL1083668,active,,2.601201,10.491437
CHEMBL1083669,active,,-6.16214,2.314752
CHEMBL1083670,active,,9.785617,-8.61611
CHEMBL1083831,inactive,,-2.395936,5.802597
CHEMBL1083832,inactive,,-5.589829,-1.25978
CHEMBL1083994,active,,1.074526,-15.969755
CHEMBL1084136,inactive,,-0.278437,15.061061
CHEMBL1084138,inactive,,-6.778614,-4.846393
CHEMBL1084144,inactive,,-0.319235,-3.386734
CHEMBL1084145,inactive,,0.765831,1.681716
CHEMBL1084274,inactive,,1.248966,-16.354019
CHEMBL1084527,inactive,,0.688273,-14.727132
CHEMBL1084667,inactive,,0.827866,-2.043699
CHEMBL1084706,active,,1.116513,-15.847714
CHEMBL1084707,active,,1.364296,-16.608557
CHEMBL1084772,active,,0.21357,-15.341434
CHEMBL1085009,active,,4.035385,-9.663313
CHEMBL1085010,active,,2.966562,-10.065523
