,activity,extra_tooltip,x,y
CHEMBL104127,inactive,,1.080037,15.388216
CHEMBL104180,inactive,,-3.565082,-2.123873
CHEMBL104222,inactive,,-3.449635,-2.712876
CHEMBL104377,inactive,,-1.614174,9.383345
CHEMBL104551,inactive,,-5.010536,-3.604983
CHEMBL105968,inactive,,-0.816477,0.770822
CHEMBL106487,inactive,,-6.861252,-14.812743
CHEMBL1077199,inactive,,-1.299703,13.659851
CHEMBL1077238,inactive,,-8.641978,-6.159021
CHEMBL1078394,inactive,,2.232495,3.029381
CHEMBL1078395,inactive,,-1.932155,-3.914591
CHEMBL1078495,inactive,,-3.625144,-6.455282
CHEMBL1078575,inactive,,-0.952112,-2.869592
CHEMBL1078695,active,,-3.888357,-4.720629
CHEMBL1078696,inactive,,3.141906,-0.377026
CHEMBL1078876,inactive,,4.335787,-2.381929
CHEMBL1082500,active,,4.309313,-8.546963
CHEMBL1082501,active,,4.5446,-2.611134
CHEMBL1082827,active,,4.764753,-6.926432
CHEMBL1082828,active,,1.448894,-13.791578
CHEMBL1083053,active,,0.069032,-11.225936
CHEMBL1083216,inactive,,-7.597775,-10.679773
CHEMBL1083363,active,,2.373892,-16.337778
CHEMBL1083364,active,,-0.02432,-11.451324
CHEMBL1083366,active,,0.64129,-16.77972
CHEMBL1083666,active,,1.122805,-16.676878
CHEMBL1083667,active,,5.652015,13.427135
CHEMBL1083668,active,,4.049568,10.029865
CHEMBL1083669,active,,9.77462,-8.526485
CHEMBL1083670,active,,9.794465,-8.593946
CHEMBL1083831,inactive,,-3.051793,8.41735
CHEMBL1083832,inactive,,3.107521,-3.112429
CHEMBL1083994,active,,1.521164,-15.420667
CHEMBL1084136,inactive,,-7.699045,-4.5014
CHEMBL1084138,inactive,,-7.807879,-5.163438
CHEMBL1084144,inactive,,-4.41199,4.769872
CHEMBL1084145,inactive,,-8.475565,-7.115144
CHEMBL1084274,inactive,,1.168916,-16.502781
CHEMBL1084527,inactive,,4.354926,-9.343654
CHEMBL1084667,inactive,,1.539211,-4.439713
CHEMBL1084706,active,,1.708004,-15.826965
CHEMBL1084707,active,,0.696631,-17.283319
CHEMBL1084772,active,,-2.294074,-10.152341
CHEMBL1085009,active,,2.845004,-7.463148
CHEMBL1085010,active,,3.110522,-10.019709
CHEMBL1085013,active,,0.24392,-17.050459
CHEMBL1085016,active,,-0.318276,-14.195882
CHEMBL1085270,active,,2.329496,-14.652816
CHEMBL1085441,inactive,,-1.936215,11.750095
CHEMBL1085442,inactive,,-2.69438,9.109383
CHEMBL1085444,inactive,,-3.872974,-13.91168
CHEMBL1085694,inactive,,-5.828131,-6.138676
CHEMBL1085897,inactive,,-4.850986,0.476383
CHEMBL1085898,inactive,,-0.324707,4.043229
CHEMBL1085928,inactive,,-5.607715,-1.196535
CHEMBL1085929,inactive,,-1.730574,1.546244
CHEMBL1086005,active,,1.821754,-15.452167
CHEMBL1086077,active,,1.234922,-10.79203
CHEMBL1086149,inactive,,-3.353045,2.856093
CHEMBL1086411,inactive,,1.449999,10.908113
CHEMBL1086542,active,,4.600203,-2.935781
CHEMBL1088076,inactive,,0.318954,-6.631088
CHEMBL1089052,inactive,,-0.517847,9.267779
CHEMBL1089053,inactive,,-4.556328,-0.654702
CHEMBL1089386,inactive,,-7.204553,-5.002142
CHEMBL1089387,inactive,,2.022737,11.613057
CHEMBL1089395,inactive,,2.713396,-10.025902
CHEMBL1089734,active,,-0.07235,-1.934719
CHEMBL1089735,inactive,,-0.124506,10.141291
CHEMBL1090416,inactive,,-0.53488,3.655987
CHEMBL1090424,inactive,,-4.078305,-0.418566
CHEMBL1090425,inactive,,-5.372471,0.277509
