,activity,extra_tooltip,x,y
CHEMBL104127,inactive,,2.496534,12.037071
CHEMBL104180,inactive,,-2.743164,0.645986
CHEMBL104222,inactive,,-5.855049,-6.595936
CHEMBL104377,inactive,,1.630426,10.192311
CHEMBL104551,inactive,,-6.067286,-2.385709
CHEMBL104981,inactive,,-2.083217,-5.904829
CHEMBL105968,inactive,,-4.005952,-6.985642
CHEMBL106487,inactive,,-4.005835,-2.75958
CHEMBL106746,inactive,,-2.465406,1.921172
CHEMBL1077199,inactive,,1.032907,9.454055
CHEMBL1078394,inactive,,1.704991,1.71545
CHEMBL1078395,inactive,,-1.086065,2.60185
CHEMBL1078495,inactive,,-5.486133,-3.416143
CHEMBL1078575,inactive,,-0.828981,-0.143023
CHEMBL1078695,active,,-6.01776,-10.591414
CHEMBL1078696,inactive,,-0.082823,3.542584
CHEMBL1078876,inactive,,2.595421,0.946661
CHEMBL1082500,active,,3.272124,-2.742714
CHEMBL1082501,active,,2.288996,-2.247049
CHEMBL1082827,active,,-1.441298,-9.91021
CHEMBL1082828,active,,4.13656,-8.865696
CHEMBL1083053,active,,0.122968,-15.918791
CHEMBL1083216,inactive,,-4.800613,-12.062016
CHEMBL1083363,active,,2.286608,-15.924314
CHEMBL1083364,active,,-3.574892,-14.821195
CHEMBL1083366,active,,0.730356,-16.834551
CHEMBL1083666,active,,1.180907,-16.162476
CHEMBL1083667,active,,-0.844568,12.043892
CHEMBL1083668,active,,3.456462,10.607058
CHEMBL1083669,active,,9.763441,-8.55728
CHEMBL1083670,active,,9.777119,-8.590067
CHEMBL1083831,inactive,,2.861876,2.358563
CHEMBL1083832,inactive,,-7.086884,-4.381073
CHEMBL1083994,active,,1.772681,-15.297523
CHEMBL1084136,inactive,,-1.479992,0.921503
CHEMBL1084138,inactive,,-7.836741,-4.436835
CHEMBL1084145,inactive,,-7.245417,-9.608047
CHEMBL1084274,inactive,,-3.811702,-14.433759
CHEMBL1084527,inactive,,0.522123,-14.58145
CHEMBL1084667,inactive,,-2.735445,-1.31802
CHEMBL1084706,active,,0.538069,-6.072803
CHEMBL1084707,active,,0.996546,-17.021894
CHEMBL1084772,active,,0.239196,-14.655591
CHEMBL1085009,active,,6.247323,-6.661585
CHEMBL1085010,active,,2.969352,-9.676254
CHEMBL1085013,active,,0.803926,-7.484372
CHEMBL1085016,active,,0.757111,-14.804022
CHEMBL1085270,active,,1.759333,-12.469939
CHEMBL1085441,inactive,,3.929014,11.141931
CHEMBL1085442,inactive,,-3.604601,4.377589
CHEMBL1085444,inactive,,-6.746946,-12.078622
CHEMBL1085694,inactive,,-1.260823,3.667627
CHEMBL1085897,inactive,,-3.094356,5.530096
CHEMBL1085898,inactive,,4.326906,10.572995
CHEMBL1085929,inactive,,-2.226576,2.049357
CHEMBL1086005,active,,1.14447,-15.936876
CHEMBL1086077,active,,2.177559,-6.597761
CHEMBL1086149,inactive,,0.102547,2.223507
CHEMBL1086411,inactive,,3.370868,8.434654
CHEMBL1086542,active,,1.910109,-1.601649
CHEMBL1088076,inactive,,-1.579512,2.262701
CHEMBL1089052,inactive,,-5.222336,1.353328
CHEMBL1089053,inactive,,-3.856356,-1.709996
CHEMBL1089386,inactive,,-7.652779,-4.06939
CHEMBL1089387,inactive,,-5.291959,-4.618047
CHEMBL1089395,inactive,,-0.26389,9.017066
CHEMBL1089734,active,,-7.560811,-6.26668
CHEMBL1089735,inactive,,0.272087,-5.379173
CHEMBL1090416,inactive,,2.877119,8.056479
CHEMBL1090424,inactive,,3.159868,7.113782
CHEMBL1090425,inactive,,5.350459,12.842344
CHEMBL1091478,inactive,,0.864214,14.439003
CHEMBL1091479,inactive,,1.179201,-5.491849
CHEMBL1091816,inactive,,-3.297391,-2.716964
CHEMBL1092502,inactive,,-3.174715,2.888199
CHEMBL1093086,inactive,,-8.158876,-4.857547
CHEMBL1093385,inactive,,-5.379914,-3.606974
CHEMBL1093387,inactive,,-8.635048,-9.425634
CHEMBL1094715,inactive,,5.029943,15.140254
CHEMBL1095042,inactive,,-6.817871,-5.236205
CHEMBL117405,active,,1.177882,17.312073
CHEMBL1204009,active,,0.647721,-4.051509
CHEMBL1204416,inactive,,-5.419611,-3.615349
CHEMBL1221540,active,,0.699483,8.5758
CHEMBL1221541,active,,2.153707,10.924168
CHEMBL1221542,active,,3.105156,10.131738
CHEMBL1221543,active,,-0.353151,9.697314
CHEMBL1221586,active,,-2.29829,11.312341
CHEMBL1221588,active,,4.685321,14.588714
CHEMBL1221589,active,,3.154611,12.016839
CHEMBL1221590,active,,0.55475,11.176028
CHEMBL1221635,active,,3.591822,11.678664
CHEMBL1221636,active,,3.39794,10.236302
CHEMBL1221637,active,,1.05829,13.596271
CHEMBL1221638,active,,0.410416,9.389478
CHEMBL1221732,active,,3.09319,1.364589
CHEMBL1221735,active,,2.257838,14.321733
CHEMBL1221736,active,,1.382354,-4.504593
CHEMBL1221802,active,,2.201502,-4.734118
CHEMBL1221803,active,,0.524912,14.092819
CHEMBL1221804,active,,4.399704,12.146494
CHEMBL1221861,active,,-2.450467,6.516676
CHEMBL1221862,active,,-6.459812,5.012487
CHEMBL122990,active,,8.220927,6.933206
CHEMBL1233771,active,,1.169582,17.522335
CHEMBL124584,inactive,,-0.785836,12.595688
CHEMBL124863,active,,-1.612152,-11.29918
CHEMBL125168,active,,-8.642358,1.172905
CHEMBL125246,inactive,,-2.385403,-0.03468
CHEMBL1255596,active,,-1.599766,-3.932984
CHEMBL1256786,active,,-5.417306,-0.605981
CHEMBL1257323,inactive,,-1.23135,-9.428451
CHEMBL1257554,active,,-0.740822,-10.020169
CHEMBL1257555,inactive,,3.13593,-12.277536
CHEMBL1257675,active,,1.021411,-7.270976
